phi0,phi,<alpha>,zeta,lindemannParameter,x-link,kT/E_Before_Conversion,kT/E
"0.00177,",0.514544028811639,"6.623853416666675,","0.5151029784666296,","0.14636603745121704,","3.175E-5,",0.0053994714460396,5.3994714460396
"0.00185,",0.520864168768789,"6.553578240740743,","0.5214358466698478,","0.14597152117354711,","3.35E-5,",0.0051178859466892,5.1178859466892
"0.00189,",0.516242846087827,"6.487710296296298,","0.5167832425697372,","0.14777853117716647,","3.525E-5,",0.0048634575047906,4.8634575047906
"0.00196,",0.520107158494628,"6.42548787962963,","0.5206688331580389,","0.1451224806658698,","3.7000000000000005E-5,",0.0046332259762142,4.6332259762142
"0.00199,",0.513787792158796,"6.3670363611111105,","0.5142789308399378,","0.1499766016316966,","3.875000000000001E-5,",0.0044240145136702,4.4240145136702
"0.00204,",0.513022611744777,"6.31144724074074,","0.513505748003215,","0.14875343229097573,","4.050000000000001E-5,",0.0042330732509409,4.2330732509409
"0.00211,",0.517459284714565,"6.258802064814811,","0.5179090179883709,","0.1477565432189727,","4.225000000000001E-5,",0.0040574846790761,4.0574846790761
"0.00216,",0.517029461823275,"6.20840864814815,","0.5175183617327046,","0.14477491693718814,","4.400000000000001E-5,",0.0038961360838344,3.8961360838344
"0.00222,",0.519226450908144,"6.160666148148144,","0.5196797273105629,","0.14770269817391302,","4.5750000000000014E-5,",0.0037471331248373,3.7471331248373
"0.00228,",0.521438041410248,"6.114798361111112,","0.5219276043887481,","0.14427913725661207,","4.7500000000000016E-5,",0.0036090564859984,3.6090564859984
"0.00231,",0.517073819287945,"6.071175722222226,","0.5175252333601618,","0.14952331456422863,","4.925000000000002E-5,",0.0034807893776578,3.4807893776578
"0.00234,",0.513008806496228,"6.029233398148153,","0.5134599317366739,","0.14930647010157053,","5.100000000000002E-5,",0.0033613455147321,3.3613455147321
"0.00239,",0.513585036394264,"5.989132629629628,","0.5140038416541117,","0.14849304997587667,","5.275000000000002E-5,",0.0032498744133489,3.2498744133489
"0.00245,",0.516365417216518,"5.950535166666664,","0.5167716407313003,","0.1449085756780551,","5.4500000000000024E-5,",0.0031457319213491,3.1457319213491
"0.00252,",0.521191687208013,"5.913226555555558,","0.5216312420763326,","0.14748510197400394,","5.6250000000000026E-5,",0.0030476783230596,3.0476783230596
"0.00253,",0.513878867934817,"5.877673212962963,","0.5142400394674105,","0.14467881525683307,","5.800000000000003E-5,",0.0029556834466536,2.9556834466536
"0.00258,",0.514823711712397,"5.843027796296304,","0.5152098641981567,","0.14693729492540175,","5.975000000000003E-5,",0.0028691402360335,2.8691402360335
"0.00261,",0.511941731881934,"5.809672898148149,","0.5123258798069474,","0.14979887023135238,","6.150000000000003E-5,",0.002787689059903,2.787689059903
"0.00268,",0.516976236874377,"5.777458287037039,","0.5173580380803517,","0.14351141435257603,","6.325000000000003E-5,",0.0027103432293483,2.7103432293483
"0.00271,",0.514364352807471,"5.746347064814813,","0.5147252260427945,","0.14902850213257837,","6.500000000000003E-5,",0.0026373694420006,2.6373694420006
"0.00277,",0.517503328241607,"5.716135064814815,","0.5178742358998274,","0.14539924075783056,","6.675000000000004E-5,",0.0025682292002125,2.5682292002125
"0.0028,",0.5151639074173,"5.687047925925928,","0.5154881682953255,","0.14378563278676024,","6.850000000000004E-5,",0.0025026070506281,2.5026070506281
"0.00285,",0.516504431318936,"5.658491407407407,","0.5168820991569658,","0.1487202061074357,","7.025000000000004E-5,",0.0024404605251449,2.4404605251449
"0.00288,",0.514374301141933,"5.63101183333333,","0.5147372859256227,","0.14782990511426028,","7.200000000000004E-5,",0.00238116706754,2.38116706754
"0.00291,",0.51239567365341,"5.604388611111109,","0.512726577178221,","0.1496259050292988,","7.375000000000004E-5,",0.0023245687146012,2.3245687146012
"0.00294,",0.51051159934316,"5.578405157407408,","0.5108406946933582,","0.14920851730080684,","7.550000000000005E-5,",0.0022705953679963,2.2705953679963
"0.003,",0.513872708296827,"5.553095648148146,","0.5142150314379794,","0.1450336900891688,","7.725000000000005E-5,",0.0022191689853671,2.2191689853671
"0.00305,",0.515542349658287,"5.528558398148143,","0.5158706066797135,","0.14464012161326162,","7.900000000000005E-5,",0.0021700486299672,2.1700486299672
"0.00308,",0.513881995422873,"5.5046265740740745,","0.5142063858574834,","0.1470375110937784,","8.075000000000005E-5,",0.0021229724689051,2.1229724689051
"0.00312,",0.513955514638803,"5.481259787037037,","0.5142903061849633,","0.14843202584181542,","8.250000000000005E-5,",0.0020779313688313,2.0779313688313
"0.00316,",0.51410838341648,"5.458574250000001,","0.5144285154218814,","0.1483954164979045,","8.425000000000006E-5,",0.0020347980105982,2.0347980105982
"0.00318,",0.511106886297846,"5.436483879629634,","0.5113993106803565,","0.1494637253412577,","8.600000000000006E-5,",0.0019933612655604,1.9933612655604
"0.00324,",0.514555793673376,"5.414837472222222,","0.5148501741239007,","0.1429998276238391,","8.775000000000006E-5,",0.0019536209512756,1.9536209512756
"0.00326,",0.511693998508722,"5.393704435185185,","0.5119879486016925,","0.14973557005517613,","8.950000000000006E-5,",0.001915505047632,1.915505047632
"0.00329,",0.510506572010451,"5.373094898148147,","0.5107911301986999,","0.1499109279848864,","9.125000000000006E-5,",0.0018786732976879,1.8786732976879
"0.00335,",0.513948450090475,"5.352799416666665,","0.5142724007917368,","0.1493955169060177,","9.300000000000007E-5,",0.001843423329332,1.843423329332
"0.00339,",0.514357737169185,"5.333076361111108,","0.5146833410448616,","0.14596365776948567,","9.475000000000007E-5,",0.0018092730886059,1.8092730886059
"0.00343,",0.514839617647221,"5.313921342592593,","0.5151280330917004,","0.1478946062417537,","9.650000000000007E-5,",0.0017764768125332,1.7764768125332
