phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.0000000000e-04, 6.8763277371e-02, -4.3469148412e-04, -1.2056505823e+01, -2.9523486687e+00
2.1105527638e-04, 7.2564479999e-02, -4.6620286668e-04, -1.1823340314e+01, -2.5706647365e+00
2.2211055276e-04, 7.6365682627e-02, -4.9710538751e-04, -1.1595102038e+01, -2.2201752189e+00
2.3316582915e-04, 8.0166885255e-02, -5.2741193746e-04, -1.1371705085e+01, -1.8968263450e+00
2.4422110553e-04, 8.3968087883e-02, -5.5713518064e-04, -1.1153063547e+01, -1.5972866930e+00
2.5527638191e-04, 8.7769290511e-02, -5.8628755441e-04, -1.0939091514e+01, -1.3187907766e+00
2.6633165829e-04, 9.1570493139e-02, -6.1488126942e-04, -1.0729703078e+01, -1.0590215865e+00
2.7738693467e-04, 9.5371695767e-02, -6.4292830958e-04, -1.0524812330e+01, -8.1602121990e-01
2.8844221106e-04, 9.9172898395e-02, -6.7044043205e-04, -1.0324333362e+01, -5.8812206241e-01
2.9949748744e-04, 1.0297410102e-01, -6.9742916726e-04, -1.0128180265e+01, -3.7389321111e-01
3.1055276382e-04, 1.0677375768e-01, -7.2390581891e-04, -9.9362671294e+00, -1.7209834155e-01
3.2160804020e-04, 1.1057334073e-01, -7.4988146397e-04, -9.7485080470e+00, 1.8337735456e-02
3.3266331658e-04, 1.1437292377e-01, -7.7536695267e-04, -9.5648171091e+00, 1.9835584856e-01
3.4371859296e-04, 1.1817250681e-01, -8.0037290850e-04, -9.3851084069e+00, 3.6878407357e-01
3.5477386935e-04, 1.2197208986e-01, -8.2490972823e-04, -9.2092960316e+00, 5.3035530118e-01
3.6582914573e-04, 1.2577167290e-01, -8.4898758186e-04, -9.0372940745e+00, 6.8372161934e-01
3.7688442211e-04, 1.2957125594e-01, -8.7261641270e-04, -8.8690166268e+00, 8.2946616429e-01
3.8793969849e-04, 1.3337083898e-01, -8.9580593730e-04, -8.7043777797e+00, 9.6811294535e-01
3.9899497487e-04, 1.3717042203e-01, -9.1856564548e-04, -8.5432916246e+00, 1.1001350363e+00
4.1005025126e-04, 1.4097135172e-01, -9.4090480032e-04, -8.3856722526e+00, 1.2259614415e+00
4.2110552764e-04, 1.4477241607e-01, -9.6283243817e-04, -8.2314337549e+00, 1.3459828810e+00
4.3216080402e-04, 1.4857348043e-01, -9.8435736865e-04, -8.0804902229e+00, 1.4605566871e+00
4.4321608040e-04, 1.5237454479e-01, -1.0054881746e-03, -7.9327557478e+00, 1.5700109685e+00
4.5427135678e-04, 1.5617560914e-01, -1.0262332123e-03, -7.7881444209e+00, 1.6746481661e+00
4.6532663317e-04, 1.5997667350e-01, -1.0466006110e-03, -7.6465703332e+00, 1.7747481024e+00
4.7638190955e-04, 1.6377773785e-01, -1.0665982734e-03, -7.5079475762e+00, 1.8705706056e+00
4.8743718593e-04, 1.6757880221e-01, -1.0862338755e-03, -7.3721902411e+00, 1.9623577773e+00
4.9849246231e-04, 1.7137986656e-01, -1.1055148666e-03, -7.2392124191e+00, 2.0503359580e+00
5.0954773869e-04, 1.7517900818e-01, -1.1244484689e-03, -7.1089282014e+00, 2.1347174371e+00
5.2060301508e-04, 1.7897784621e-01, -1.1430416784e-03, -6.9812516793e+00, 2.2157019443e+00
5.3165829146e-04, 1.8277668423e-01, -1.1613012639e-03, -6.8560969440e+00, 2.2934779561e+00
5.4271356784e-04, 1.8657552226e-01, -1.1792337678e-03, -6.7333780868e+00, 2.3682238416e+00
5.5376884422e-04, 1.9037436029e-01, -1.1968455056e-03, -6.6130091990e+00, 2.4401088712e+00
5.6482412060e-04, 1.9417319831e-01, -1.2141425660e-03, -6.4949043717e+00, 2.5092941074e+00
5.7587939698e-04, 1.9797203634e-01, -1.2311308112e-03, -6.3789776962e+00, 2.5759331927e+00
5.8693467337e-04, 2.0177087437e-01, -1.2478158765e-03, -6.2651432638e+00, 2.6401730481e+00
5.9798994975e-04, 2.0556971240e-01, -1.2642031704e-03, -6.1533151657e+00, 2.7021544944e+00
6.0904522613e-04, 2.0936999993e-01, -1.2802978748e-03, -6.0434074931e+00, 2.7620128061e+00
6.2010050251e-04, 2.1317060957e-01, -1.2961049449e-03, -5.9353343374e+00, 2.8198782058e+00
6.3115577889e-04, 2.1697121921e-01, -1.3116291090e-03, -5.8290097897e+00, 2.8758763064e+00
6.4221105528e-04, 2.2077182886e-01, -1.3268748688e-03, -5.7243479412e+00, 2.9301285081e+00
6.5326633166e-04, 2.2457243850e-01, -1.3418464991e-03, -5.6212628833e+00, 2.9827523546e+00
6.6432160804e-04, 2.2837304814e-01, -1.3565480483e-03, -5.5196687072e+00, 3.0338618542e+00
6.7537688442e-04, 2.3217365779e-01, -1.3709833376e-03, -5.4194795040e+00, 3.0835677694e+00
6.8643216080e-04, 2.3597426743e-01, -1.3851559619e-03, -5.3206093652e+00, 3.1319778775e+00
6.9748743719e-04, 2.3977487708e-01, -1.3990692891e-03, -5.2229723818e+00, 3.1791972080e+00
