phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.2000000000e-03, 7.5512954761e-01, 5.9168679714e-04, 5.2747071445e+01, 5.1620502417e+01
2.2025125628e-03, 7.5599038767e-01, 6.2333388152e-04, 5.2771978121e+01, 5.1586507082e+01
2.2050251256e-03, 7.5685122772e-01, 6.5499398253e-04, 5.2790554584e+01, 5.1546291040e+01
2.2075376884e-03, 7.5771206778e-01, 6.8666345083e-04, 5.2803293403e+01, 5.1500353412e+01
2.2100502513e-03, 7.5857290784e-01, 7.1833893258e-04, 5.2810687147e+01, 5.1449192727e+01
2.2125628141e-03, 7.5943374789e-01, 7.5001736936e-04, 5.2813228386e+01, 5.1393306931e+01
2.2150753769e-03, 7.6029458795e-01, 7.8169599821e-04, 5.2811409689e+01, 5.1333193383e+01
2.2175879397e-03, 7.6115542800e-01, 8.1337235165e-04, 5.2805723626e+01, 5.1269348866e+01
2.2201005025e-03, 7.6201626806e-01, 8.4504425765e-04, 5.2796662766e+01, 5.1202269582e+01
2.2226130653e-03, 7.6287710811e-01, 8.7670983963e-04, 5.2784719678e+01, 5.1132451163e+01
2.2251256281e-03, 7.6373794817e-01, 9.0836751647e-04, 5.2770386932e+01, 5.1060388671e+01
2.2276381910e-03, 7.6459878822e-01, 9.4001600249e-04, 5.2754157098e+01, 5.0986576599e+01
2.2301507538e-03, 7.6545962828e-01, 9.7165430753e-04, 5.2736522744e+01, 5.0911508880e+01
2.2326633166e-03, 7.6632046834e-01, 1.0032817368e-03, 5.2717976441e+01, 5.0835678881e+01
2.2351758794e-03, 7.6718130839e-01, 1.0348978911e-03, 5.2699010757e+01, 5.0759579418e+01
2.2376884422e-03, 7.6804214845e-01, 1.0665026665e-03, 5.2680118263e+01, 5.0683702748e+01
2.2402010050e-03, 7.6890298850e-01, 1.0980962546e-03, 5.2661791527e+01, 5.0608540580e+01
2.2427135678e-03, 7.6976382856e-01, 1.1296791426e-03, 5.2644523119e+01, 5.0534584073e+01
2.2452261307e-03, 7.7062466861e-01, 1.1612521131e-03, 5.2628805609e+01, 5.0462323841e+01
2.2477386935e-03, 7.7148550867e-01, 1.1928162439e-03, 5.2615131565e+01, 5.0392249959e+01
2.2502512563e-03, 7.7234634873e-01, 1.2243729086e-03, 5.2603993558e+01, 5.0324851959e+01
2.2527638191e-03, 7.7320718878e-01, 1.2559237761e-03, 5.2595884157e+01, 5.0260618841e+01
2.2552763819e-03, 7.7406802884e-01, 1.2874708107e-03, 5.2591295931e+01, 5.0200039070e+01
2.2577889447e-03, 7.7492886889e-01, 1.3190162724e-03, 5.2590721450e+01, 5.0143600582e+01
2.2603015075e-03, 7.7578970895e-01, 1.3505627164e-03, 5.2594653282e+01, 5.0091790784e+01
2.2628140704e-03, 7.7665054900e-01, 1.3821129934e-03, 5.2603583999e+01, 5.0045096563e+01
2.2653266332e-03, 7.7751138906e-01, 1.4136702497e-03, 5.2618006168e+01, 5.0004004280e+01
2.2678391960e-03, 7.7837222911e-01, 1.4452379269e-03, 5.2638412359e+01, 4.9968999783e+01
2.2703517588e-03, 7.7923306917e-01, 1.4768197621e-03, 5.2665295143e+01, 4.9940568400e+01
2.2728643216e-03, 7.8009390923e-01, 1.5084197880e-03, 5.2699147088e+01, 4.9919194949e+01
2.2753768844e-03, 7.8095474928e-01, 1.5400423326e-03, 5.2740460763e+01, 4.9905363738e+01
2.2778894472e-03, 7.8181558934e-01, 1.5716920194e-03, 5.2789728739e+01, 4.9899558567e+01
2.2804020101e-03, 7.8267642939e-01, 1.6033737673e-03, 5.2847443585e+01, 4.9902262734e+01
2.2829145729e-03, 7.8353726945e-01, 1.6350927908e-03, 5.2914097869e+01, 4.9913959035e+01
2.2854271357e-03, 7.8439810950e-01, 1.6668545997e-03, 5.2990184162e+01, 4.9935129765e+01
2.2879396985e-03, 7.8525894956e-01, 1.6986649993e-03, 5.3076195033e+01, 4.9966256727e+01
2.2904522613e-03, 7.8611978962e-01, 1.7305300905e-03, 5.3172623051e+01, 5.0007821228e+01
2.2929648241e-03, 7.8698062967e-01, 1.7624562695e-03, 5.3279960786e+01, 5.0060304087e+01
2.2954773869e-03, 7.8784146973e-01, 1.7944502281e-03, 5.3398700808e+01, 5.0124185632e+01
2.2979899497e-03, 7.8870230978e-01, 1.8265189533e-03, 5.3529335685e+01, 5.0199945710e+01
2.3005025126e-03, 7.8956174710e-01, 1.8586697278e-03, 5.3672357987e+01, 5.0288063683e+01
2.3030150754e-03, 7.9041557348e-01, 1.8909101297e-03, 5.3828260284e+01, 5.0389018434e+01
2.3055276382e-03, 7.9126939986e-01, 1.9232480325e-03, 5.3997535145e+01, 5.0503288368e+01
2.3080402010e-03, 7.9212322624e-01, 1.9556916052e-03, 5.4180675139e+01, 5.0631351416e+01
2.3105527638e-03, 7.9297705262e-01, 1.9882493123e-03, 5.4378172837e+01, 5.0773685039e+01
2.3130653266e-03, 7.9383087900e-01, 2.0209299136e-03, 5.4590520806e+01, 5.0930766225e+01
2.3155778894e-03, 7.9468470538e-01, 2.0537424646e-03, 5.4818211618e+01, 5.1103071497e+01
2.3180904523e-03, 7.9553853177e-01, 2.0866963161e-03, 5.5061737840e+01, 5.1291076915e+01
2.3206030151e-03, 7.9639235815e-01, 2.1198011144e-03, 5.5321592044e+01, 5.1495258075e+01
2.3231155779e-03, 7.9724618453e-01, 2.1530668011e-03, 5.5598266797e+01, 5.1716090115e+01
2.3256281407e-03, 7.9810001091e-01, 2.1865036136e-03, 5.5892254670e+01, 5.1954047715e+01
2.3281407035e-03, 7.9895383729e-01, 2.2201220845e-03, 5.6204048232e+01, 5.2209605101e+01
2.3306532663e-03, 7.9980766367e-01, 2.2539330418e-03, 5.6534140052e+01, 5.2483236049e+01
2.3331658291e-03, 8.0066149005e-01, 2.2879476092e-03, 5.6883022701e+01, 5.2775413882e+01
2.3356783920e-03, 8.0151531643e-01, 2.3221772057e-03, 5.7251188746e+01, 5.3086611480e+01
2.3381909548e-03, 8.0236914281e-01, 2.3566335459e-03, 5.7639130759e+01, 5.3417301274e+01
2.3407035176e-03, 8.0322296919e-01, 2.3913286395e-03, 5.8047341307e+01, 5.3767955257e+01
2.3432160804e-03, 8.0407679557e-01, 2.4262747921e-03, 5.8476312961e+01, 5.4139044978e+01
2.3457286432e-03, 8.0493062195e-01, 2.4614846046e-03, 5.8926538291e+01, 5.4531041552e+01
2.3482412060e-03, 8.0578444833e-01, 2.4969709732e-03, 5.9398509864e+01, 5.4944415656e+01
2.3507537688e-03, 8.0663827471e-01, 2.5327470897e-03, 5.9892720252e+01, 5.5379637537e+01
2.3532663317e-03, 8.0749210109e-01, 2.5688264414e-03, 6.0409662023e+01, 5.5837177009e+01
2.3557788945e-03, 8.0834592747e-01, 2.6052228110e-03, 6.0949827747e+01, 5.6317503458e+01
2.3582914573e-03, 8.0919975385e-01, 2.6419502766e-03, 6.1513709993e+01, 5.6821085845e+01
2.3608040201e-03, 8.1005358023e-01, 2.6790232118e-03, 6.2101801331e+01, 5.7348392707e+01
2.3633165829e-03, 8.1090740661e-01, 2.7164562858e-03, 6.2714594330e+01, 5.7899892159e+01
2.3658291457e-03, 8.1176123299e-01, 2.7542644630e-03, 6.3352581559e+01, 5.8476051898e+01
2.3683417085e-03, 8.1261505937e-01, 2.7924630035e-03, 6.4016255589e+01, 5.9077339201e+01
2.3708542714e-03, 8.1346888575e-01, 2.8310674626e-03, 6.4706108988e+01, 5.9704220935e+01
2.3733668342e-03, 8.1432271213e-01, 2.8700936913e-03, 6.5422634326e+01, 6.0357163549e+01
2.3758793970e-03, 8.1517653851e-01, 2.9095578360e-03, 6.6166324173e+01, 6.1036633087e+01
2.3783919598e-03, 8.1603036489e-01, 2.9494763385e-03, 6.6937671097e+01, 6.1743095180e+01
2.3809045226e-03, 8.1688419127e-01, 2.9898659360e-03, 6.7737167668e+01, 6.2477015055e+01
2.3834170854e-03, 8.1773801765e-01, 3.0307436612e-03, 6.8565306456e+01, 6.3238857536e+01
2.3859296482e-03, 8.1859184403e-01, 3.0721268425e-03, 6.9422580030e+01, 6.4029087043e+01
2.3884422111e-03, 8.1944567041e-01, 3.1140331034e-03, 7.0309480960e+01, 6.4848167598e+01
2.3909547739e-03, 8.2029949680e-01, 3.1564803631e-03, 7.1226501815e+01, 6.5696562825e+01
2.3934673367e-03, 8.2115332318e-01, 3.1994868361e-03, 7.2174135164e+01, 6.6574735952e+01
2.3959798995e-03, 8.2200714956e-01, 3.2430710324e-03, 7.3152873577e+01, 6.7483149813e+01
2.3984924623e-03, 8.2286097594e-01, 3.2872517576e-03, 7.4163209623e+01, 6.8422266852e+01
2.4010050251e-03, 8.2370907829e-01, 3.3320481125e-03, 7.5205635872e+01, 6.9392549123e+01
2.4035175879e-03, 8.2454859459e-01, 3.3774794936e-03, 7.6280644893e+01, 7.0394458293e+01
2.4060301508e-03, 8.2538811090e-01, 3.4235655928e-03, 7.7388729256e+01, 7.1428455643e+01
2.4085427136e-03, 8.2622762720e-01, 3.4703263973e-03, 7.8530381530e+01, 7.2495002071e+01
2.4110552764e-03, 8.2706714351e-01, 3.5177821899e-03, 7.9706094285e+01, 7.3594558094e+01
2.4135678392e-03, 8.2790665981e-01, 3.5659535489e-03, 8.0916360089e+01, 7.4727583849e+01
2.4160804020e-03, 8.2874617612e-01, 3.6148613479e-03, 8.2161671513e+01, 7.5894539097e+01
2.4185929648e-03, 8.2958569242e-01, 3.6645267562e-03, 8.3442521126e+01, 7.7095883223e+01
2.4211055276e-03, 8.3042520872e-01, 3.7149712382e-03, 8.4759401496e+01, 7.8332075237e+01
2.4236180905e-03, 8.3126472503e-01, 3.7662165542e-03, 8.6112805195e+01, 7.9603573780e+01
2.4261306533e-03, 8.3210424133e-01, 3.8182847595e-03, 8.7503224791e+01, 8.0910837123e+01
2.4286432161e-03, 8.3294375764e-01, 3.8711982052e-03, 8.8931152853e+01, 8.2254323167e+01
2.4311557789e-03, 8.3378327394e-01, 3.9249795377e-03, 9.0397081951e+01, 8.3634489449e+01
2.4336683417e-03, 8.3462279025e-01, 3.9796516990e-03, 9.1901504655e+01, 8.5051793144e+01
2.4361809045e-03, 8.3546230655e-01, 4.0352379263e-03, 9.3444913534e+01, 8.6506691061e+01
2.4386934673e-03, 8.3630182286e-01, 4.0917617525e-03, 9.5027801157e+01, 8.7999639652e+01
2.4412060302e-03, 8.3714133916e-01, 4.1492470059e-03, 9.6650660094e+01, 8.9531095010e+01
2.4437185930e-03, 8.3798085547e-01, 4.2077178101e-03, 9.8313982914e+01, 9.1101512870e+01
2.4462311558e-03, 8.3882037177e-01, 4.2671985845e-03, 1.0001826219e+02, 9.2711348615e+01
2.4487437186e-03, 8.3965988808e-01, 4.3277140435e-03, 1.0176399048e+02, 9.4361057273e+01
2.4512562814e-03, 8.4049940438e-01, 4.3892891974e-03, 1.0355166037e+02, 9.6051093522e+01
2.4537688442e-03, 8.4133892069e-01, 4.4519493517e-03, 1.0538176442e+02, 9.7781911691e+01
2.4562814070e-03, 8.4217843699e-01, 4.5157201073e-03, 1.0725479519e+02, 9.9553965761e+01
2.4587939698e-03, 8.4301795330e-01, 4.5806273609e-03, 1.0917124527e+02, 1.0136770937e+02
2.4613065327e-03, 8.4385746960e-01, 4.6466973043e-03, 1.1113160722e+02, 1.0322359580e+02
2.4638190955e-03, 8.4469698591e-01, 4.7139564249e-03, 1.1313637360e+02, 1.0512207802e+02
2.4663316583e-03, 8.4553650221e-01, 4.7824315055e-03, 1.1518603700e+02, 1.0706360862e+02
2.4688442211e-03, 8.4637601852e-01, 4.8521496246e-03, 1.1728108997e+02, 1.0904863988e+02
2.4713567839e-03, 8.4721553482e-01, 4.9231381557e-03, 1.1942202509e+02, 1.1107762374e+02
2.4738693467e-03, 8.4805505113e-01, 4.9954247683e-03, 1.2160933492e+02, 1.1315101178e+02
2.4763819095e-03, 8.4889456743e-01, 5.0690374269e-03, 1.2384351205e+02, 1.1526925529e+02
2.4788944724e-03, 8.4973408374e-01, 5.1440043917e-03, 1.2612504902e+02, 1.1743280518e+02
2.4814070352e-03, 8.5057360004e-01, 5.2203542183e-03, 1.2845443842e+02, 1.1964211207e+02
2.4839195980e-03, 8.5141311634e-01, 5.2981157577e-03, 1.3083217282e+02, 1.2189762622e+02
2.4864321608e-03, 8.5225263265e-01, 5.3773181566e-03, 1.3325874478e+02, 1.2419979759e+02
2.4889447236e-03, 8.5309214895e-01, 5.4579908567e-03, 1.3573464687e+02, 1.2654907580e+02
2.4914572864e-03, 8.5393166526e-01, 5.5401635957e-03, 1.3826037167e+02, 1.2894591015e+02
2.4939698492e-03, 8.5477118156e-01, 5.6238664062e-03, 1.4083641173e+02, 1.3139074962e+02
2.4964824121e-03, 8.5561069787e-01, 5.7091296169e-03, 1.4346325964e+02, 1.3388404286e+02
2.4989949749e-03, 8.5645021417e-01, 5.7959838513e-03, 1.4614140796e+02, 1.3642623821e+02
2.5015075377e-03, 8.5728162534e-01, 5.8844600288e-03, 1.4887134926e+02, 1.3901778370e+02
2.5040201005e-03, 8.5810763309e-01, 5.9745893641e-03, 1.5165357611e+02, 1.4165912702e+02
2.5065326633e-03, 8.5893364084e-01, 6.0664033674e-03, 1.5448858108e+02, 1.4435071558e+02
2.5090452261e-03, 8.5975964858e-01, 6.1599338444e-03, 1.5737685674e+02, 1.4709299645e+02
2.5115577889e-03, 8.6058565633e-01, 6.2552128960e-03, 1.6031889565e+02, 1.4988641641e+02
2.5140703518e-03, 8.6141166408e-01, 6.3522729190e-03, 1.6331519040e+02, 1.5273142190e+02
2.5165829146e-03, 8.6223767183e-01, 6.4511466052e-03, 1.6636623354e+02, 1.5562845909e+02
2.5190954774e-03, 8.6306367957e-01, 6.5518669421e-03, 1.6947251764e+02, 1.5857797382e+02
2.5216080402e-03, 8.6388968732e-01, 6.6544672128e-03, 1.7263453528e+02, 1.6158041163e+02
2.5241206030e-03, 8.6471569507e-01, 6.7589809955e-03, 1.7585277903e+02, 1.6463621777e+02
2.5266331658e-03, 8.6554170281e-01, 6.8654421642e-03, 1.7912774146e+02, 1.6774583716e+02
2.5291457286e-03, 8.6636771056e-01, 6.9738848880e-03, 1.8245991512e+02, 1.7090971444e+02
2.5316582915e-03, 8.6719371831e-01, 7.0843436319e-03, 1.8584979260e+02, 1.7412829397e+02
2.5341708543e-03, 8.6801972606e-01, 7.1968531559e-03, 1.8929786647e+02, 1.7740201976e+02
2.5366834171e-03, 8.6884573380e-01, 7.3114485158e-03, 1.9280462928e+02, 1.8073133558e+02
2.5391959799e-03, 8.6967174155e-01, 7.4281650628e-03, 1.9637057362e+02, 1.8411668487e+02
2.5417085427e-03, 8.7049774930e-01, 7.5470384433e-03, 1.9999619205e+02, 1.8755851079e+02
2.5442211055e-03, 8.7132375704e-01, 7.6681045995e-03, 2.0368197714e+02, 1.9105725621e+02
2.5467336683e-03, 8.7214976479e-01, 7.7913997688e-03, 2.0742842146e+02, 1.9461336371e+02
2.5492462312e-03, 8.7297577254e-01, 7.9169604842e-03, 2.1123601758e+02, 1.9822727557e+02
2.5517587940e-03, 8.7380178029e-01, 8.0448235742e-03, 2.1510525807e+02, 2.0189943381e+02
2.5542713568e-03, 8.7462778803e-01, 8.1750261627e-03, 2.1903663550e+02, 2.0563028013e+02
2.5567839196e-03, 8.7545379578e-01, 8.3076056689e-03, 2.2303064243e+02, 2.0942025597e+02
2.5592964824e-03, 8.7627980353e-01, 8.4425998077e-03, 2.2708777145e+02, 2.1326980248e+02
2.5618090452e-03, 8.7710581127e-01, 8.5800465893e-03, 2.3120851511e+02, 2.1717936052e+02
2.5643216080e-03, 8.7793181902e-01, 8.7199843194e-03, 2.3539336598e+02, 2.2114937069e+02
2.5668341709e-03, 8.7875782677e-01, 8.8624515993e-03, 2.3964281665e+02, 2.2518027330e+02
2.5693467337e-03, 8.7958383451e-01, 9.0074873255e-03, 2.4395735966e+02, 2.2927250838e+02
2.5718592965e-03, 8.8040984226e-01, 9.1551306902e-03, 2.4833748761e+02, 2.3342651568e+02
2.5743718593e-03, 8.8123585001e-01, 9.3054211808e-03, 2.5278369304e+02, 2.3764273469e+02
2.5768844221e-03, 8.8206185776e-01, 9.4583985804e-03, 2.5729646854e+02, 2.4192160462e+02
2.5793969849e-03, 8.8288786550e-01, 9.6141029675e-03, 2.6187630668e+02, 2.4626356440e+02
2.5819095477e-03, 8.8371387325e-01, 9.7725747159e-03, 2.6652370001e+02, 2.5066905271e+02
2.5844221106e-03, 8.8453988100e-01, 9.9338544951e-03, 2.7123914112e+02, 2.5513850793e+02
2.5869346734e-03, 8.8536588874e-01, 1.0097983270e-02, 2.7602312257e+02, 2.5967236820e+02
2.5894472362e-03, 8.8619189649e-01, 1.0265002301e-02, 2.8087613693e+02, 2.6427107138e+02
2.5919597990e-03, 8.8701790424e-01, 1.0434953143e-02, 2.8579867677e+02, 2.6893505507e+02
2.5944723618e-03, 8.8784391199e-01, 1.0607877648e-02, 2.9079123465e+02, 2.7366475659e+02
2.5969849246e-03, 8.8866991973e-01, 1.0783817963e-02, 2.9585430316e+02, 2.7846061303e+02
2.5994974874e-03, 8.8949592748e-01, 1.0962816529e-02, 3.0098837486e+02, 2.8332306119e+02
2.6020100503e-03, 8.9029068883e-01, 1.1144916084e-02, 3.0619394231e+02, 2.8825253762e+02
2.6045226131e-03, 8.9107763859e-01, 1.1330159662e-02, 3.1147149810e+02, 2.9324947861e+02
2.6070351759e-03, 8.9186458834e-01, 1.1518590591e-02, 3.1682153478e+02, 2.9831432019e+02
2.6095477387e-03, 8.9265153809e-01, 1.1710252494e-02, 3.2224454492e+02, 3.0344749813e+02
2.6120603015e-03, 8.9343848785e-01, 1.1905189291e-02, 3.2774102110e+02, 3.0864944796e+02
2.6145728643e-03, 8.9422543760e-01, 1.2103445198e-02, 3.3331145589e+02, 3.1392060495e+02
2.6170854271e-03, 8.9501238736e-01, 1.2305064724e-02, 3.3895634185e+02, 3.1926140409e+02
2.6195979899e-03, 8.9579933711e-01, 1.2510092674e-02, 3.4467617155e+02, 3.2467228017e+02
2.6221105528e-03, 8.9658628687e-01, 1.2718574152e-02, 3.5047143757e+02, 3.3015366769e+02
2.6246231156e-03, 8.9737323662e-01, 1.2930554552e-02, 3.5634263247e+02, 3.3570600090e+02
2.6271356784e-03, 8.9816018637e-01, 1.3146079568e-02, 3.6229024883e+02, 3.4132971383e+02
2.6296482412e-03, 8.9894713613e-01, 1.3365195186e-02, 3.6831477920e+02, 3.4702524024e+02
2.6321608040e-03, 8.9973408588e-01, 1.3587947691e-02, 3.7441671617e+02, 3.5279301365e+02
2.6346733668e-03, 9.0052103564e-01, 1.3814383660e-02, 3.8059655229e+02, 3.5863346735e+02
2.6371859296e-03, 9.0130798539e-01, 1.4044549968e-02, 3.8685478015e+02, 3.6454703436e+02
2.6396984925e-03, 9.0209493514e-01, 1.4278493783e-02, 3.9319189231e+02, 3.7053414747e+02
2.6422110553e-03, 9.0288188490e-01, 1.4516262571e-02, 3.9960838133e+02, 3.7659523924e+02
2.6447236181e-03, 9.0366883465e-01, 1.4757904093e-02, 4.0610473980e+02, 3.8273074197e+02
2.6472361809e-03, 9.0445578441e-01, 1.5003466404e-02, 4.1268146027e+02, 3.8894108774e+02
2.6497487437e-03, 9.0524273416e-01, 1.5252997855e-02, 4.1933903532e+02, 3.9522670838e+02
2.6522613065e-03, 9.0602968391e-01, 1.5506547093e-02, 4.2607795752e+02, 4.0158803550e+02
2.6547738693e-03, 9.0681663367e-01, 1.5764163060e-02, 4.3289871943e+02, 4.0802550044e+02
2.6572864322e-03, 9.0760358342e-01, 1.6025894995e-02, 4.3980181363e+02, 4.1453953435e+02
2.6597989950e-03, 9.0839053318e-01, 1.6291792429e-02, 4.4678773268e+02, 4.2113056811e+02
2.6623115578e-03, 9.0917748293e-01, 1.6561905193e-02, 4.5385696916e+02, 4.2779903238e+02
2.6648241206e-03, 9.0996443269e-01, 1.6836283408e-02, 4.6101001563e+02, 4.3454535761e+02
2.6673366834e-03, 9.1075138244e-01, 1.7114977497e-02, 4.6824736466e+02, 4.4136997399e+02
