#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 48.3597586204941
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.37809569104058205, 7.022760606995884, 0.3781606895572335, 0.7812504124063693
0.0012, 0.4124529179346009, 7.026872294238685, 0.4125389340624365, 0.8658705014069376
0.0013, 0.4467773477500839, 7.029603971193419, 0.44691717856763963, 0.7602367284078198
0.0014, 0.4811141429583108, 7.034389300411517, 0.4812954230728427, 0.7819711332068446
0.0015, 0.5153948405736561, 7.039522335390951, 0.5156736675780457, 0.6517092971039478
0.0016, 0.5497377921745954, 7.046051296296303, 0.5500519120832488, 0.6596701128453966
0.0017, 0.5840491921778352, 7.052342458847733, 0.5844301565884519, 0.6315928114751785
0.0018, 0.6182356952474467, 7.061421213991775, 0.6188084010936549, 0.6647182299214082
0.0019, 0.6524819403781253, 7.068010874485604, 0.653186645598858, 0.46682347318104067
0.002, 0.6866991739253409, 7.076654506172846, 0.687564890104061, 0.35107656320272007
0.0021, 0.7210004645662003, 7.076085987654317, 0.721943134609264, 0.183972616693711
0.0022, 0.7551623806675424, 7.082163755144031, 0.756321379114467, 0.14423732493754843
0.0023, 0.7892401028238044, 7.095088734567899, 0.79069962361967, 0.1248938177994929
0.0024, 0.823096677983776, 7.110654444444449, 0.8250778681248729, 0.10332124277984149
0.0025, 0.8566508092469336, 7.137579207818925, 0.8594561126300759, 0.08918649094215486
0.0026, 0.8894573507966542, 7.1789562345679006, 0.8938343571352789, 0.07946117703015844
0.0027, 0.9208447441713381, 7.241072613168717, 0.9282126016404819, 0.07236381120389994
0.0028, 0.9484340031763734, 7.328724125514394, 0.9625908461456849, 0.06846547411130001
#0.0029, 0.9675443060208324, 7.4207001646090545, 0.9969690906508879, 0.09094960193607983
#0.003, 0.9791203237997455, 7.475597458847733, 1.031347335156091, 0.15930871666246482
#0.0031, 0.9816708063800433, 7.439552767489709, 1.0657255796612939, 0.16360627580317175
#0.0032, 0.9797651215037873, 7.360378148148146, 1.1001038241664969, 0.13074648023149835
#0.0033, 0.9802355984463125, 7.296276872427982, 1.1344820686716999, 0.12864459482596818
#0.0034, 0.9795717609086484, 7.222291574074073, 1.1688603131769029, 0.11493510946637985
#0.0035, 0.979034664761892, 7.153777880658442, 1.2032385576821059, 0.10486051138968049
#0.0036, 0.9792822569011987, 7.092524742798347, 1.2376168021873089, 0.10953774919890528
#0.0037, 0.9781542506921158, 7.017125010288074, 1.2719950466925118, 0.08807216628711932
#0.0038, 0.9777945805876905, 6.9551045679012296, 1.3063732911977146, 0.07987323418373045
