This fits B3 to B8 into the virial expansion since maxPower is set to 6.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876492565993311, 4.774648292756861E-5, 29.53931356694871, 1.1727044321293687, 1.222805839470491, 8.550185972495203E-4, 1.4991461770628058, -5.213638970822166E-4, 1.0394998742282111E-5, 0.0013659874955894548, 7.00644748971193, 0.06875648901040608, 4068.5981447973704, 971.3062592985247, 5762.915015123388, 0.7059965545423298
3.0E-4, 0.10314719897366904, 7.161972439135293E-5, 24.315719405430144, 1.3292086953991, 1.3200557674895161, 0.0014103983309164123, 1.4985930620106291, -7.530065463303081E-4, 2.3421738853001755E-5, 0.0021399831383937186, 7.007731522633737, 0.10313473351560913, 4070.835443275312, 971.8403749664293, 5766.084008602956, 0.7059965545423298
4.0E-4, 0.13753598952587637, 9.549296585513724E-5, 28.772228608325925, 1.4287810360368793, 1.4108991579675205, 0.0020160086787124392, 1.4979898765671449, -9.765371141186377E-4, 4.121890587487177E-5, 0.0029513268869562053, 7.008765627572016, 0.13751297802081217, 4072.6378634696243, 972.2706710916094, 5768.637024170404, 0.7059965545423299
5.0E-4, 0.17190130625916097, 1.1936620731892148E-4, 30.4316230467053, 1.6475824392932403, 1.5152275731690172, 0.0027841710529519473, 1.49722701219549, -0.0011940355932402447, 6.378158273900654E-5, 0.0039144250634531854, 7.010133539094651, 0.1718912225260152, 4075.022917812999, 972.8400608740457, 5772.01530459972, 0.7059965545423298
6.0E-4, 0.20627462884388748, 1.4323944878270585E-4, 37.88092134687917, 1.7205709449476527, 1.6556274701950289, 0.0034690116489701573, 1.4965457186912738, -0.001406727072591923, 9.16959424263039E-5, 0.004784042779135776, 7.010953477366251, 0.20626946703121826, 4076.452986750317, 973.1814646845502, 5774.040907880809, 0.7059965545423298
7.0E-4, 0.24066118573428416, 1.6711269024649017E-4, 52.32957976788187, 1.9501576606249393, 1.8520761215071748, 0.004592851817321283, 1.4954302330708042, -0.0016154210498813184, 1.2627778508455937E-4, 0.006081995082118042, 7.012744804526748, 0.24064771153642134, 4079.5784361889177, 973.9276107758559, 5778.467911693351, 0.7059965545423298
8.0E-4, 0.2750046608952291, 1.9098593171027449E-4, 55.902427298114695, 2.248403291979259, 2.117275658252206, 0.0059675650359641685, 1.4940674064808779, -0.0018206928681456847, 1.6935989632225695E-4, 0.007618898007787596, 7.015408220164605, 0.2750259560416244, 4084.228430114077, 975.0377150536605, 5785.054337498465, 0.7059965545423298
9.0E-4, 0.3093695398309849, 2.148591731740588E-4, 89.05419979745439, 2.4095520661362624, 2.4543187339138273, 0.007261996107920362, 1.492782422021388, -0.0020229727110088343, 2.2293800117822676E-4, 0.00906203081775097, 7.016755689300411, 0.30940420054682743, 4086.5822898024135, 975.5996576607757, 5788.388432648351, 0.7059965545423299
0.001, 0.3437317999450945, 2.38732414637843E-4, 111.91974902443168, 2.9349143621668032, 2.8593418147163137, 0.010219589866221608, 1.489849583030268, -0.0022225944863660013, 2.894859539707982E-4, 0.01215269839861681, 7.020163713991766, 0.3437824450520305, 4092.539717762107, 977.0218888226243, 5796.826757058526, 0.7059965545423299
0.0011, 0.37812374531151066, 2.626056561016274E-4, 110.51745616660727, 3.22743912228705, 3.318790385913987, 0.012605770493973153, 1.4874818741002662, -0.0024198249427019227, 3.70883510850677E-4, 0.014654711925824399, 7.023199907407404, 0.3781606895572336, 4097.852037037205, 978.2901116304956, 5804.351325331441, 0.7059965545423301
