phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.0000000000e-04, 6.8765413135e-02, 2.1529134288e-01, -1.0866350873e+04, -1.5375402214e+04
2.1356783920e-04, 7.3429929420e-02, 1.8113808058e-01, -1.0225030172e+04, -1.3777762739e+04
2.2713567839e-04, 7.8094445705e-02, 1.4903160729e-01, -9.6025041602e+03, -1.2350914895e+04
2.4070351759e-04, 8.2758961990e-02, 1.1891142461e-01, -8.9985387367e+03, -1.1067868739e+04
2.5427135678e-04, 8.7423478276e-02, 9.0717792368e-02, -8.4128998000e+03, -9.9073575513e+03
2.6783919598e-04, 9.2087994561e-02, 6.4391728701e-02, -7.8453532488e+03, -8.8523882404e+03
2.8140703518e-04, 9.6752510846e-02, 3.9875010006e-02, -7.2956649818e+03, -7.8892110928e+03
2.9497487437e-04, 1.0141702713e-01, 1.7110170953e-02, -6.7636008977e+03, -7.0065738514e+03
3.0854271357e-04, 1.0608130138e-01, -3.9594955111e-03, -6.2489268950e+03, -6.1951726001e+03
3.2211055276e-04, 1.1074543326e-01, -2.3389938167e-02, -5.7514088725e+03, -5.4472414273e+03
3.3567839196e-04, 1.1540956513e-01, -4.1236347523e-02, -5.2708127287e+03, -4.7562416014e+03
3.4924623116e-04, 1.2007369701e-01, -5.7553155812e-02, -4.8069043625e+03, -4.1166231975e+03
3.6281407035e-04, 1.2473782888e-01, -7.2394036993e-02, -4.3594496725e+03, -3.5236402102e+03
3.7638190955e-04, 1.2940196076e-01, -8.5811906752e-02, -3.9282145572e+03, -2.9732056544e+03
3.8994974874e-04, 1.3406609263e-01, -9.7858922503e-02, -3.5129649154e+03, -2.4617769166e+03
4.0351758794e-04, 1.3872990799e-01, -1.0858648338e-01, -3.1134666458e+03, -1.9862642349e+03
4.1708542714e-04, 1.4339281902e-01, -1.1804523026e-01, -2.7294856469e+03, -1.5439570428e+03
4.3065326633e-04, 1.4805573005e-01, -1.2628504572e-01, -2.3607878176e+03, -1.1324642360e+03
4.4422110553e-04, 1.5271864107e-01, -1.3335505408e-01, -2.0071390563e+03, -7.4966538534e+02
4.5778894472e-04, 1.5738155210e-01, -1.3930362140e-01, -1.6683052619e+03, -3.9367062618e+02
4.7135678392e-04, 1.6204446312e-01, -1.4417835543e-01, -1.3440523329e+03, -6.2787474629e+01
4.8492462312e-04, 1.6670737415e-01, -1.4802610568e-01, -1.0341461681e+03, 2.4450678527e+02
4.9849246231e-04, 1.7137028518e-01, -1.5089296336e-01, -7.3835266605e+02, 5.2958820506e+02
5.1206030151e-04, 1.7603461462e-01, -1.5282426144e-01, -4.5643772546e+02, 7.9370560235e+02
5.2562814070e-04, 1.8069912136e-01, -1.5386457458e-01, -1.8816724498e+02, 1.0379969820e+03
5.3919597990e-04, 1.8536362810e-01, -1.5405771918e-01, 6.6692876715e+01, 1.2635034783e+03
5.5276381910e-04, 1.9002813485e-01, -1.5344675338e-01, 3.0837674096e+02, 1.4711812432e+03
5.6633165829e-04, 1.9469264159e-01, -1.5207397703e-01, 5.3711844910e+02, 1.6619116265e+03
5.7989949749e-04, 1.9935714833e-01, -1.4998093170e-01, 7.5315210246e+02, 1.8365099263e+03
5.9346733668e-04, 2.0402165507e-01, -1.4720840072e-01, 9.5671180238e+02, 1.9957329395e+03
6.0703517588e-04, 2.0868697668e-01, -1.4379640911e-01, 1.1480316502e+03, 2.1402854995e+03
6.2060301508e-04, 2.1335305495e-01, -1.3978422363e-01, 1.3273457472e+03, 2.2708261566e+03
6.3417085427e-04, 2.1801913322e-01, -1.3521035277e-01, 1.4948881949e+03, 2.3879721287e+03
6.4773869347e-04, 2.2268521148e-01, -1.3011254674e-01, 1.6508930944e+03, 2.4923036304e+03
6.6130653266e-04, 2.2735128975e-01, -1.2452779748e-01, 1.7955945471e+03, 2.5843676691e+03
6.7487437186e-04, 2.3201736802e-01, -1.1849233866e-01, 1.9292266545e+03, 2.6646813824e+03
6.8844221106e-04, 2.3668344629e-01, -1.1204164566e-01, 2.0520235177e+03, 2.7337349822e+03
7.0201005025e-04, 2.4134857711e-01, -1.0521043562e-01, 2.1642192382e+03, 2.7919943562e+03
7.1557788945e-04, 2.4600826013e-01, -9.8032667359e-02, 2.2660479173e+03, 2.8399033743e+03
7.2914572864e-04, 2.5066794315e-01, -9.0541541465e-02, 2.3577436563e+03, 2.8778859367e+03
7.4271356784e-04, 2.5532762617e-01, -8.2769500229e-02, 2.4395405565e+03, 2.9063477980e+03
7.5628140704e-04, 2.5998730919e-01, -7.4748227676e-02, 2.5116727194e+03, 2.9256781954e+03
7.6984924623e-04, 2.6464699221e-01, -6.6508649556e-02, 2.5743742461e+03, 2.9362513034e+03
7.8341708543e-04, 2.6930667523e-01, -5.8080933345e-02, 2.6278792382e+03, 2.9384275390e+03
7.9698492462e-04, 2.7396635825e-01, -4.9494488245e-02, 2.6724217968e+03, 2.9325547317e+03
8.1055276382e-04, 2.7863013303e-01, -4.0777965186e-02, 2.7082360234e+03, 2.9189691783e+03
8.2412060302e-04, 2.8329507688e-01, -3.1959256823e-02, 2.7355560192e+03, 2.8979965909e+03
8.3768844221e-04, 2.8796002073e-01, -2.3065497537e-02, 2.7546158856e+03, 2.8699529552e+03
8.5125628141e-04, 2.9262496458e-01, -1.4123063436e-02, 2.7656497240e+03, 2.8351453049e+03
8.6482412060e-04, 2.9728990843e-01, -5.1575723559e-03, 2.7688916357e+03, 2.7938724243e+03
8.7839195980e-04, 3.0195485228e-01, 3.8061161443e-03, 2.7645757219e+03, 2.7464254852e+03
8.9195979899e-04, 3.0661979613e-01, 1.2743900777e-02, 2.7529360842e+03, 2.6930886260e+03
9.0552763819e-04, 3.1128290727e-01, 2.1632438529e-02, 2.7342068237e+03, 2.6341394786e+03
9.1909547739e-04, 3.1594335266e-01, 3.0449144661e-02, 2.7086220418e+03, 2.5698496487e+03
9.3266331658e-04, 3.2060379804e-01, 3.9172192706e-02, 2.6764158399e+03, 2.5004851538e+03
9.4623115578e-04, 3.2526424343e-01, 4.7780514472e-02, 2.6378223192e+03, 2.4263068245e+03
9.5979899497e-04, 3.2992468882e-01, 5.6253800041e-02, 2.5930755812e+03, 2.3475706705e+03
9.7336683417e-04, 3.3458513420e-01, 6.4572497768e-02, 2.5424097272e+03, 2.2645282167e+03
9.8693467337e-04, 3.3924557959e-01, 7.2717814280e-02, 2.4860588585e+03, 2.1774268118e+03
1.0005025126e-03, 3.4390604445e-01, 8.0671714481e-02, 2.4242570764e+03, 2.0865099111e+03
