This fits B3 to B8 into the virial expansion since maxPower is set to 6.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.0
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06873490199105847, 4.774648292756861E-5, -9.708292576782693, 1.0571718529150194, 1.082287418552458, -5.152122435258331E-4, 1.5005154782543706, -5.213638970822166E-4, 6.151653556383575E-6, 0.0, 7.005, 0.06875648901040608, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
3.0E-4, 0.10308072257461706, 7.161972439135293E-5, -9.256335509832097, 1.0730515133556566, 1.093425637511029, -7.412470408890471E-4, 1.500741770915866, -7.530065463303081E-4, 1.1759505441260947E-5, 0.0, 7.005, 0.10313473351560913, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
4.0E-4, 0.13741971891649665, 9.549296585513724E-5, -8.915397588082934, 1.3281517648856618, 1.1170478296439743, -9.580279677185232E-4, 1.500961442078411, -9.765371141186377E-4, 1.8509146400114415E-5, 0.0, 7.005, 0.13751297802081217, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
5.0E-4, 0.1717369656795519, 1.1936620731892148E-4, -8.61342682544627, 1.181754421988968, 1.1651086844243363, -0.0011672266969466505, 1.5011693725016841, -0.0011940355932402447, 2.680889629359408E-5, 0.0, 7.005, 0.1718912225260152, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
6.0E-4, 0.20599916460274395, 1.4323944878270585E-4, -8.318091044621594, 1.311927339179026, 1.2416833287095592, -0.0013693368117229912, 1.5013739588616979, -0.001406727072591923, 3.739026086893167E-5, 0.0, 7.005, 0.20626946703121826, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
7.0E-4, 0.2402500430820151, 1.6711269024649017E-4, -8.016210201334722, 1.3291188588805187, 1.344726769807067, -0.001564331360475335, 1.5015699695708953, -0.0016154210498813184, 5.108968940598336E-5, 0.0, 7.005, 0.24064771153642134, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
8.0E-4, 0.274482706563232, 1.9098593171027449E-4, -7.705676030638312, 1.3672321174670419, 1.46783781619336, -0.0017520120890942505, 1.501759191595583, -0.0018206928681456847, 6.868077905143415E-5, 0.0, 7.005, 0.2750259560416244, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
9.0E-4, 0.30866990675443684, 2.148591731740588E-4, -7.390949185815421, 1.6592133064375534, 1.60199260268279, -0.0019322160370791664, 1.5019467129855537, -0.0020229727110088343, 9.07566739296679E-5, 0.0, 7.005, 0.30940420054682743, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.001, 0.342786967773387, 2.38732414637843E-4, -7.079910013958108, 1.6130196613463283, 1.7372128468422001, -0.002104933030717384, 1.5021198360637749, -0.0022225944863660013, 1.1766145564861709E-4, 0.0, 7.005, 0.3437824450520305, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0011, 0.3768774801667377, 2.626056561016274E-4, -6.781363647139218, 1.566260120378795, 1.8641339634475989, -0.002270356572353202, 1.502285177169685, -0.0024198249427019227, 1.4946837034872078E-4, 0.0, 7.005, 0.3781606895572336, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0012, 0.4109193193135308, 2.864788975654117E-4, -6.502953577165702, 2.0818731376276167, 1.9754381637790257, -0.002428880319073537, 1.5024602420815658, -0.00261488210504646, 1.8600178597292304E-4, 0.0, 7.005, 0.41253893406243664, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0013, 0.44485299670760003, 3.10352139029196E-4, -6.249398880433667, 1.9075267817919133, 2.0671176665498323, -0.0025810486996280316, 1.502609120326978, -0.002807947521593494, 2.2689882196546223E-4, 0.0, 7.005, 0.4469171785676397, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0014, 0.4787018250011982, 3.342253804929803E-4, -6.021035249551099, 2.2904338789987895, 2.13953314726648, -0.0027274690774653433, 1.5027710669370309, -0.002999174719602353, 2.717056421370093E-4, 0.0, 7.005, 0.48129542307284273, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0015, 0.5125331505488355, 3.580986219567647E-4, -5.812668934169001, 2.2943476424258202, 2.198232552815078, -0.0028686927831203953, 1.5029149888179623, -0.003188695233083918, 3.200024499635228E-4, 0.0, 7.005, 0.5156736675780458, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0016, 0.5460930393022057, 3.8197186342054886E-4, -5.612766633383827, 2.1031022565837265, 2.254495408070838, -0.0030050727419921866, 1.5030466832794163, -0.0033766230161081877, 3.715502741160014E-4, 0.0, 7.005, 0.5500519120832489, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0017, 0.5796637940159474, 4.0584510488433315E-4, -5.403011537610666, 2.485233664735408, 2.3255677413265725, -0.003136606068067165, 1.5031964844494012, -0.0035630577486152858, 4.264516805481209E-4, 0.0, 7.005, 0.5844301565884519, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0018, 0.6131199909080445, 4.297183463481176E-4, -5.158259591497416, 2.885001795615345, 2.434552755336484, -0.003262770765813026, 1.5033433122229523, -0.003748087361811589, 4.853165959985628E-4, 0.0, 7.005, 0.618808401093655, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0019, 0.647694962682275, 4.535915878119019E-4, -4.846932243188588, 2.587647028474003, 2.60992237077134, -0.0033823665244285847, 1.5034500705070901, -0.003931790000723226, 5.494234762946417E-4, 0.0, 7.005, 0.6531866455988581, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.002, 0.6811875142222721, 4.7746482927568624E-4, -4.431883236697153, 3.0162960909084955, 2.884614768881221, -0.003493370471129371, 1.5035782388867676, -0.004114235572503025, 6.208651013736537E-4, 0.0, 7.005, 0.687564890104061, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0021, 0.7142969872152206, 5.013380707394704E-4, -3.871777790466707, 3.2135022972429654, 3.294683060162166, -0.0035928196568842147, 1.503688540504896, -0.0042954869843524115, 7.026673274681967E-4, 0.0, 7.005, 0.721943134609264, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0022, 0.7470209392244677, 5.252113122032547E-4, -3.123022998350379, 3.692206207608645, 3.877460205822551, -0.0036767329697205116, 1.5037983054395323, -0.0044756011451519695, 7.988681754314581E-4, 0.0, 7.005, 0.756321379114467, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0023, 0.7788782411637515, 5.490845536670391E-4, -2.1422886067133042, 4.420001904163891, 4.6692053188458225, -0.0037400861019213734, 1.5039003954014942, -0.004654629784629776, 9.145436827084025E-4, 0.0, 7.005, 0.79069962361967, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0024, 0.8090780420372122, 5.729577951308231E-4, -0.8896575305888241, 5.441970168866541, 5.7021964714452125, -0.003776854134829701, 1.5039920659517296, -0.004832620129818146, 0.0010557659949884451, 0.0, 7.005, 0.8250778681248729, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0025, 0.8365639814290415, 5.968310365946075E-4, 0.6675543873803287, 6.796627899200816, 7.001235135707397, -0.0037801372464833583, 1.5040822678388328, -0.005009615468588517, 0.001229478222105159, 0.0, 7.005, 0.8594561126300759, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0026, 0.8608993331354673, 6.207042780583919E-4, 2.550269774916158, 8.716380724309513, 8.5795273842202, -0.003742385991611111, 1.504199729937457, -0.005185655622889315, 0.0014432696312782038, 0.0, 7.005, 0.8938343571352789, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
0.0027, 0.8822435126634101, 6.445775195221761E-4, 4.7623726173202305, 10.725500284851613, 10.433906977481428, -0.0036557435497574925, 1.5043260376457932, -0.005360777349080229, 0.0017050337993227364, 0.0, 7.005, 0.9282126016404819, 4066.077022346345, 970.7043856481937, 5759.344002722824, 0.7059965545423299
