This fits B3 to B5 into the virial expansion since maxPower is set to 3.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876052915573498, 4.774648292756861E-5, -8.829802251589884, 1.1577508581748437, 1.2453385174069336, -4.86329116708942E-4, 1.500487373194036, -5.213638970822166E-4, 1.0622196762424261E-5, 2.441258361085035E-5, 7.006087705761312, 0.06875648901040608, 4067.9714044343486, 971.1566360583095, 5762.0272765657555, 0.70599655454233
3.0E-4, 0.10313955471215659, 7.161972439135293E-5, -8.01131462056264, 1.2391768593213146, 1.389918511550522, -6.860299503106879E-4, 1.5006887176841097, -7.530065463303081E-4, 2.5009770417722904E-5, 4.19668256018973E-5, 7.007424619341567, 0.10313473351560913, 4070.3006205238266, 971.7126954395638, 5765.3264655979, 0.70599655454233
4.0E-4, 0.13752028817497075, 9.549296585513724E-5, -7.583088980249222, 1.3386381159769682, 1.5370614669696638, -8.696696016139103E-4, 1.5008750834254754, -9.765371141186377E-4, 4.5999562192687075E-5, 6.086795031204038E-5, 7.00849817901235, 0.13751297802081217, 4072.1716560265704, 972.159372263007, 5767.9766704618, 0.7059965545423299
5.0E-4, 0.17190770867682462, 1.1936620731892148E-4, -7.137598720035778, 1.4503481458753338, 1.6803814789460292, -0.0010485724098537067, 1.5010568987564887, -0.0011940355932402447, 7.368268944665918E-5, 7.178049393987886E-5, 7.009671841563788, 0.1718912225260152, 4074.2178101365093, 972.6478555743939, 5770.8749198891865, 0.7059965545423298
6.0E-4, 0.20627300510090177, 1.4323944878270585E-4, -6.6169438346695015, 1.4281006357634936, 1.8155348654958905, -0.0012107815690898093, 1.50121920233744, -0.001406727072591923, 1.0796393269896179E-4, 8.798157080315176E-5, 7.01100611111112, 0.20626946703121826, 4076.544797627943, 973.2033829170558, 5774.170952251472, 0.7059965545423298
7.0E-4, 0.2406366961856845, 1.6711269024649017E-4, -5.086702987170069, 1.8410368625175975, 1.9405731831897954, -0.001364660388857204, 1.5013838482771955, -0.0016154210498813184, 1.4868032074778125E-4, 1.0208034027633312E-4, 7.013685308641974, 0.24064771153642134, 4081.2200365947024, 974.3195140045993, 5780.793136080386, 0.7059965545423299
8.0E-4, 0.27501871036043246, 1.9098593171027449E-4, -4.467087119072282, 2.404742217561708, 2.054513491429565, -0.0014537404381694023, 1.5014953790079268, -0.0018206928681456847, 1.954298011160884E-4, 1.7152262886019402E-4, 7.015025771604939, 0.2750259560416244, 4083.5605051355087, 974.8782597107299, 5784.108263506643, 0.7059965545423299
9.0E-4, 0.3093742209261069, 2.148591731740588E-4, -5.685421301715727, 2.4550969810585532, 2.159900742993437, -0.0015779072352949796, 1.5016276278690506, -0.0020229727110088343, 2.4805286088987E-4, 1.9701261482398485E-4, 7.017457654320989, 0.30940420054682743, 4087.808892924943, 975.8924875860195, 5790.125839317885, 0.7059965545423299
0.001, 0.3437354048943202, 2.38732414637843E-4, -2.6361981328193127, 2.176682425724122, 2.2603940246524745, -0.001724938544537494, 1.5017649901819772, -0.0022225944863660013, 3.0629321467752734E-4, 1.9136272715098007E-4, 7.020175318930036, 0.3437824450520305, 4092.5600137628426, 977.0267341358874, 5796.85550507522, 0.7059965545423298
0.0011, 0.37809164950515817, 2.626056561016274E-4, -3.4541992778643644, 3.1363379808492735, 2.361860657367055, -0.0017033131966180215, 1.501786730003824, -0.0024198249427019227, 3.7003393077221465E-4, 3.464778153116865E-4, 7.022995555555548, 0.3781606895572336, 4097.494345686536, 978.2047191106553, 5803.844677886256, 0.70599655454233
0.0012, 0.4124549024521281, 2.864788975654117E-4, -4.5435350349365855, 2.5369066096856825, 2.4724519633199566, -0.0018891279647411858, 1.5019532394552126, -0.00261488210504646, 4.393985446612261E-4, 2.8635559564404805E-4, 7.026248199588482, 0.41253893406243664, 4103.190147710265, 979.5644916810792, 5811.912425507804, 0.7059965545423298
0.0013, 0.4467719062441951, 3.10352139029196E-4, 0.9902180616308618, 2.7121738342022113, 2.602511485267224, -0.001919066789734691, 1.5019978919860013, -0.002807947521593494, 5.148110265818768E-4, 3.74069705276926E-4, 7.030408137860086, 0.4469171785676397, 4110.482428769374, 981.3053955465381, 5822.241485914956, 0.7059965545423299
