This fits B3 to B7 into the virial expansion since maxPower is set to 5.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876532465895865, 4.774648292756861E-5, -8.96659764446988, 1.0878150090635814, 1.1204976929071113, -4.895096985898389E-4, 1.5004900065938138, -5.213638970822166E-4, 7.202385594639712E-6, 2.4651812897737928E-5, 7.006613971193414, 0.06875648901040608, 4068.88817580483, 971.3754991012553, 5763.325825920683, 0.7059965545423299
3.0E-4, 0.1031404344846139, 7.161972439135293E-5, -8.477903395919776, 1.190115209679871, 1.1633318305475067, -6.936101962366866E-4, 1.5006955586538364, -7.530065463303081E-4, 1.4875006652094214E-5, 4.4521343441527173E-5, 7.007227932098767, 0.10313473351560913, 4069.9578895866202, 971.6308744553535, 5764.8410086434715, 0.7059965545423298
4.0E-4, 0.13751561987519909, 9.549296585513724E-5, -8.25430729332478, 1.4985610340787576, 1.2181953980940667, -8.951171467316096E-4, 1.500901815130093, -9.765371141186377E-4, 2.5015534511674054E-5, 5.640443287535406E-5, 7.008545833333336, 0.13751297802081217, 4072.254722850479, 972.179203006455, 5768.09432942681, 0.70599655454233
5.0E-4, 0.17189477380902737, 1.1936620731892148E-4, -7.984213370843204, 1.313229649486399, 1.2948081443355983, -0.0010879916300180186, 1.5010931780688082, -0.0011940355932402447, 3.804051801439469E-5, 6.800344520783141E-5, 7.0099847119341545, 0.1718912225260152, 4074.7633815812396, 972.7781011627518, 5771.647687746508, 0.7059965545423298
6.0E-4, 0.2062793239487218, 1.4323944878270585E-4, -6.5167614773754865, 1.1403303394287017, 1.3980187259756793, -0.0012763283492611963, 1.501278729264599, -0.001406727072591923, 5.463690272405888E-5, 7.576182060666768E-5, 7.01128972222222, 0.20626946703121826, 4077.0395341111994, 973.3214925523131, 5774.87171556267, 0.70599655454233
7.0E-4, 0.24064129579568774, 1.6711269024649017E-4, -6.374196415652284, 2.1876537786089774, 1.5294433828316967, -0.0013989141429311303, 1.501429547877851, -0.0016154210498813184, 7.570965630783286E-5, 1.4079725064235508E-4, 7.014013755144037, 0.24064771153642134, 4081.7934264005667, 974.456400737482, 5781.605306907813, 0.70599655454233
8.0E-4, 0.27501849733822165, 1.9098593171027449E-4, -7.158417613982985, 1.2467676818189732, 1.6867543162537117, -0.0015803883598318564, 1.5015873795237211, -0.0018206928681456847, 1.0199614939013173E-4, 1.3830835892369645E-4, 7.015025524691355, 0.2750259560416244, 4083.560073938295, 974.8781567699779, 5784.107652742736, 0.7059965545423299
9.0E-4, 0.30936977703101565, 2.148591731740588E-4, -5.392257152142782, 1.8752541065875077, 1.8676812091170976, -0.0017403461713110286, 1.5017678404165489, -0.0020229727110088343, 1.3448095992501784E-4, 1.4814557977278786E-4, 7.017081923868313, 0.30940420054682743, 4087.1523166576044, 975.7357415483239, 5789.195840066312, 0.7059965545423298
0.001, 0.34374224047889174, 2.38732414637843E-4, -4.71510423793233, 1.721081256713441, 2.068313802753121, -0.0018373360042022026, 1.5018629980285034, -0.0022225944863660013, 1.739218126870162E-4, 2.1133666947678248E-4, 7.019531820987647, 0.3437824450520305, 4091.4346946219143, 976.7580839801354, 5795.261560836132, 0.7059965545423299
0.0011, 0.3780945304124479, 2.626056561016274E-4, -2.722660196022044, 1.5397892060892384, 2.2850330913176413, -0.0019648366356063026, 1.50198580563594, -0.0024198249427019227, 2.209925462571842E-4, 2.3399576083843606E-4, 7.022145113168721, 0.3781606895572336, 4096.005980407037, 977.8493980736174, 5801.736501479555, 0.7059965545423299
