phi0, phi, rho, Z_fit_curve, F_ex_fit_per_V, mu_kT, PV_NkT, alpha
1.0000000000000005E-4, 0.028960054526215622, 2.387324146378431E-5, 1.0639268033124634, 1.7599678462699097E-6, -42.27222037102475, -43.20275751029865, 6.615652098765432
1.0641282565130265E-4, 0.030817149610921215, 2.540419081617128E-5, 1.066905216985002, 1.9761486123941305E-6, -39.63714155862112, -38.04419635013702, 6.6156867293434605
1.1282565130260525E-4, 0.032674244695626804, 2.6935140168558247E-5, 1.0697863619311367, 2.2029934670690785E-6, -37.13393378919989, -33.450371423875666, 6.615721359921489
1.1923847695390786E-4, 0.0345313397803324, 2.8466089520945217E-5, 1.072576231749866, 2.440258347867777E-6, -34.758020620510905, -29.339897195459653, 6.615755990499517
1.2565130260521045E-4, 0.03638843486503799, 2.9997038873332187E-5, 1.075280723280455, 2.6877115501433047E-6, -32.50493637671273, -25.647409952706564, 6.6157906210775455
1.3206412825651306E-4, 0.03824552994974358, 3.152798822571916E-5, 1.077905637227618, 2.9451335415932996E-6, -30.37032433254487, -22.319697577795676, 6.615825251655574
1.3847695390781567E-4, 0.04010262503444917, 3.305893757810612E-5, 1.080456678786698, 3.2123167779729888E-6, -28.349934915829554, -19.312904290124667, 6.615859882233602
1.4488977955911825E-4, 0.04195972011915476, 3.458988693049309E-5, 1.0829394582688476, 3.4890655199567772E-6, -26.43962392821531, -16.590477318168404, 6.61589451281163
1.513026052104209E-4, 0.043816815203860354, 3.612083628288006E-5, 1.0853594917262075, 3.7751956511483725E-6, -24.635350784076184, -14.121635382912356, 6.61592914338966
1.5771543086172347E-4, 0.04567391028856595, 3.765178563526703E-5, 1.087722201577089, 4.070534497239438E-6, -22.933176767479406, -11.880210476502262, 6.615963773967688
1.6412825651302606E-4, 0.04753100537327153, 3.9182734987653996E-5, 1.0900329172311531, 4.3749206463168225E-6, -21.329263307134674, -9.843760842423858, 6.615998404545716
1.705410821643287E-4, 0.04938810045797713, 4.071368434004097E-5, 1.0922968757145903, 4.688203770318307E-6, -19.81987026923843, -7.992883775588026, 6.616033035123745
1.7695390781563127E-4, 0.051245195542682725, 4.2244633692427936E-5, 1.0945192222953035, 5.0102444476369034E-6, -18.401354268125843, -6.310677555686207, 6.616067665701773
1.833667334669339E-4, 0.05310229062738832, 4.377558304481491E-5, 1.0967050111080845, 5.340913986873691E-6, -17.070166994644218, -4.7823160083399054, 6.616102296279801
1.897795591182365E-4, 0.054959385712093904, 4.5306532397201875E-5, 1.0988592057797968, 5.680094251739199E-6, -15.822853562160638, -3.394709056974697, 6.61613692685783
1.961923847695391E-4, 0.05681648079679949, 4.683748174958884E-5, 1.1009866800545567, 6.027677487103352E-6, -14.656050870116706, -2.1362295936923696, 6.616171557435858
2.0260521042084168E-4, 0.05867358542141021, 4.836843110197581E-5, 1.1030928741881867, 6.383597864725006E-6, -13.566485985044421, -0.9964919785653257, 6.616214582044746
2.090180360721443E-4, 0.060530703988959204, 4.9899380454362775E-5, 1.1051828585781418, 6.747789575863808E-6, -12.550974538955234, 0.03382891750260599, 6.616269874852584
2.154308617234469E-4, 0.0623878225565082, 5.143032980674975E-5, 1.1072603129922605, 7.12013197730707E-6, -11.606419145016513, 0.9631465714775196, 6.616325167660422
2.218436873747495E-4, 0.0642449411240572, 5.2961279159136715E-5, 1.1093297578996337, 7.5005575917958084E-6, -10.72980783042757, 1.7990860606251522, 6.6163804604682595
2.2825651302605212E-4, 0.0661020596916062, 5.449222851152369E-5, 1.1113956270125056, 7.889008470733738E-6, -9.91821248640926, 2.5485867416785206, 6.616435753276098
2.3466933867735473E-4, 0.06795917825915519, 5.6023177863910654E-5, 1.1134622679114543, 8.285436027128438E-6, -9.168787335219667, 3.21798828947337, 6.616491046083936
2.4108216432865734E-4, 0.06981629682670419, 5.755412721629763E-5, 1.1155339426705697, 8.689800869681075E-6, -8.47876741410943, 3.813103190905624, 6.616546338891773
2.4749498997995995E-4, 0.07167341539425318, 5.9085076568684594E-5, 1.1176148284826375, 9.102072638024742E-6, -7.845467076129634, 4.339278148349645, 6.616601631699611
2.539078156312625E-4, 0.07353053396180217, 6.061602592107156E-5, 1.1197090182843172, 9.522229839111193E-6, -7.266278507705562, 4.8014463508278, 6.616656924507449
2.6032064128256516E-4, 0.07538765252935117, 6.214697527345853E-5, 1.1218205213813222, 9.950259684746242E-6, -6.738670262889214, 5.20417218530677, 6.616712217315286
2.667334669338677E-4, 0.07724477109690016, 6.36779246258455E-5, 1.123953264073601, 1.038615793027367E-5, -6.260185814204338, 5.551689658085513, 6.6167675101231245
2.7314629258517033E-4, 0.07910188966444916, 6.520887397823247E-5, 1.1261110902805178, 1.0829928714407677E-5, -5.828442119996064, 5.8479355577290475, 6.616822802930963
2.7955911823647294E-4, 0.08095900823199814, 6.673982333061943E-5, 1.128297762166032, 1.1281584400213833E-5, -5.441128208199697, 6.0965782017288275, 6.6168780957388
2.859719438877756E-4, 0.08281612679954714, 6.827077268300641E-5, 1.1305169607638783, 1.1741145417238672E-5, -5.096003776440394, 6.30104245800262, 6.616933388546638
2.923847695390781E-4, 0.08467324536709613, 6.980172203539337E-5, 1.132772286602747, 1.2208640104787696E-5, -4.790897808377996, 6.464531611092293, 6.616988681354476
2.9879759519038077E-4, 0.08653036393464514, 7.133267138778035E-5, 1.1350672603314669, 1.2684104556352075E-5, -4.523707206209259, 6.59004654509073, 6.617043974162313
3.052104208416834E-4, 0.08838738746846599, 7.286362074016731E-5, 1.1374029119198925, 1.3167406760078945E-5, -4.292395439241897, 6.68040263599593, 6.617078782297101
3.11623246492986E-4, 0.0902443890714265, 7.439457009255428E-5, 1.1397843459775656, 1.3658716364201867E-5, -4.0949912084515745, 6.738244681556125, 6.617108863199648
3.1803607214428854E-4, 0.09210139067438701, 7.592551944494125E-5, 1.14221539204313, 1.4158130090115017E-5, -3.9295871269375935, 6.766060143757788, 6.6171389441021935
3.2444889779559115E-4, 0.09395839227734752, 7.745646879732821E-5, 1.144699257492933, 1.4665712941722796E-5, -3.794338416187518, 6.766190935617308, 6.617169025004739
3.308617234468938E-4, 0.09581539388030805, 7.898741814971519E-5, 1.147239072949361, 1.5181536916446988E-5, -3.6874616180671724, 6.740843948022801, 6.617199105907285
3.372745490981963E-4, 0.09767239548326855, 8.051836750210215E-5, 1.1498378929060162, 1.570568085654445E-5, -3.6072333224456394, 6.6921004826160155, 6.617229186809831
3.43687374749499E-4, 0.09952939708622907, 8.204931685448913E-5, 1.1524986963529025, 1.6238230301573743E-5, -3.5519889103713775, 6.621924731930315, 6.6172592677123765
3.501002004008016E-4, 0.10138639868918958, 8.358026620687609E-5, 1.155224387401599, 1.677927734200991E-5, -3.5201213127109345, 6.53217142732569, 6.617289348614922
3.565130260521042E-4, 0.1032434002921501, 8.511121555926306E-5, 1.158017795910446, 1.7328920474008122E-5, -3.5100797841639344, 6.4245927579213165, 6.617319429517468
3.629258517034068E-4, 0.10510040189511063, 8.664216491165004E-5, 1.1608816781097226, 1.7887264455315685E-5, -3.5203686925673026, 6.300844649152487, 6.617349510420014
3.6933867735470936E-4, 0.10695740349807113, 8.817311426403699E-5, 1.1638187172268277, 1.8454420162332596E-5, -3.5495463234026134, 6.162492477275372, 6.6173795913225595
3.75751503006012E-4, 0.10881440510103166, 8.970406361642397E-5, 1.1668315241114595, 1.903050444832074E-5, -3.5962236994178514, 6.011016285736699, 6.617409672225105
3.821643286573147E-4, 0.11067140670399218, 9.123501296881095E-5, 1.1699226378607972, 1.9615640002761543E-5, -3.659063415279423, 5.847815560481957, 6.617439753127651
3.885771543086172E-4, 0.11252840830695268, 9.27659623211979E-5, 1.1730945264446797, 2.0209955211862186E-5, -3.7367784871654033, 5.674213613754493, 6.617469834030197
3.9498997995991985E-4, 0.11438540990991321, 9.429691167358488E-5, 1.176349587330788, 2.081358402021041E-5, -3.828131217213698, 5.491461619511056, 6.617499914932743
4.014028056112224E-4, 0.11624225077732858, 9.582786102597184E-5, 1.1796898507861393, 2.142663730168516E-5, -3.931932072739026, 5.3007423380742535, 6.6175280756368675
4.07815631262525E-4, 0.11809851758922571, 9.735881037835882E-5, 1.1831167841253691, 2.2049181328449514E-5, -4.047038580130965, 5.103173562923736, 6.617549378489486
4.1422845691382757E-4, 0.1199547844011228, 9.888975973074577E-5, 1.1866336219574554, 2.2681464232613124E-5, -4.172354233346823, 4.899811318458861, 6.617570681342106
4.2064128256513023E-4, 0.12181105121301991, 1.0042070908313275E-4, 1.1902424859922336, 2.3323640632137796E-5, -4.306827416911807, 4.691652834060797, 6.617591984194725
4.270541082164329E-4, 0.12366731802491704, 1.0195165843551973E-4, 1.193945430563281, 2.3975870028861692E-5, -4.449450343340612, 4.479639316746317, 6.6176132870473445
4.334669338677354E-4, 0.12552358483681414, 1.0348260778790668E-4, 1.1977444432530966, 2.463831667704522E-5, -4.599258004892542, 4.264658542078123, 6.617634589899963
4.3987975951903806E-4, 0.12737985164871124, 1.0501355714029366E-4, 1.2016414455182842, 2.531114945306588E-5, -4.755327139574601, 4.047547280710311, 6.617655892752583
4.462925851703406E-4, 0.12923611846060834, 1.0654450649268062E-4, 1.2056382933147294, 2.599454172626107E-5, -4.916775211303512, 3.8290935759604396, 6.617677195605202
4.527054108216433E-4, 0.13109238527250547, 1.080754558450676E-4, 1.2097367777227814, 2.6688671230920004E-5, -5.082759404142797, 3.6100388860613237, 6.617698498457821
4.591182364729458E-4, 0.13294865208440254, 1.0960640519745455E-4, 1.2139386255724345, 2.739371993942372E-5, -5.252475630525321, 3.391080103231963, 6.61771980131044
4.6553106212424844E-4, 0.13480491889629967, 1.1113735454984153E-4, 1.2182455000685055, 2.8109873936533924E-5, -5.425157553376532, 3.1728714603734987, 6.617741104163059
4.719438877755511E-4, 0.1366611857081968, 1.1266830390222851E-4, 1.2226590014158167, 2.8837323294830274E-5, -5.600075622049091, 2.9560263350358005, 6.617762407015679
4.783567134268536E-4, 0.13851745252009387, 1.1419925325461546E-4, 1.2271806674443748, 2.957626195129615E-5, -5.776536121986471, 2.74111895926388, 6.617783709868298
4.8476953907815627E-4, 0.140373719331991, 1.1573020260700244E-4, 1.2318119742345521, 3.03268875850531E-5, -5.953880238022333, 2.528686043044455, 6.617805012720917
4.911823647294588E-4, 0.1422299861438881, 1.172611519593894E-4, 1.2365543367422656, 3.108940149624373E-5, -6.1314831312344475, 2.3192283182602598, 6.617826315573536
4.975951903807615E-4, 0.1440862529557852, 1.1879210131177638E-4, 1.241409109424158, 3.186400848606312E-5, -6.308753029264379, 2.1132120093635542, 6.617847618426156
5.04008016032064E-4, 0.14594292049789595, 1.2032305066416333E-4, 1.2463844410458846, 3.2651741454160015E-5, -6.485130330013618, 1.9110702363573564, 6.617904172027185
5.104208416833667E-4, 0.14779982847813494, 1.2185400001655031E-4, 1.2514790522845751, 3.345253690779082E-5, -6.660086718634862, 1.7132043551081475, 6.617981876077261
5.168336673346693E-4, 0.14965673645837393, 1.233849493689373E-4, 1.256690059739707, 3.4266128417249586E-5, -6.8331242977252815, 1.5199852395387394, 6.618059580127336
5.232464929859718E-4, 0.1515136444386129, 1.2491589872132424E-4, 1.2620185821351597, 3.509273489610822E-5, -7.003774730639148, 1.331754509795733, 6.618137284177412
5.296593186372745E-4, 0.15337055241885186, 1.2644684807371122E-4, 1.267465680821438, 3.593257817645322E-5, -7.171598397833093, 1.1488257101057742, 6.618214988227487
5.36072144288577E-4, 0.15522746039909083, 1.2797779742609817E-4, 1.2730323604008562, 3.678588289580858E-5, -7.336183566152133, 0.9714854396889255, 6.618292692277563
5.424849699398797E-4, 0.15708436837932982, 1.2950874677848515E-4, 1.2787195693527151, 3.765287638520701E-5, -7.497145570977995, 0.7999944397724718, 6.618370396327639
5.488977955911824E-4, 0.15894127635956878, 1.3103969613087213E-4, 1.284528200658485, 3.853378855840972E-5, -7.654126011144858, 0.6345886394899658, 6.618448100377714
5.553106212424849E-4, 0.16079818433980775, 1.325706454832591E-4, 1.2904590924269839, 3.942885180227474E-5, -7.806791956539649, 0.4754801631855226, 6.61852580442779
5.617234468937875E-4, 0.16265509232004674, 1.3410159483564607E-4, 1.296513028519559, 4.0338300868273863E-5, -7.954835168299988, 0.3228583014262431, 6.618603508477865
5.6813627254509E-4, 0.16451200030028568, 1.3563254418803302E-4, 1.3026907391752673, 4.12623727651582E-5, -8.097971331522523, 0.17689044782184138, 6.6186812125279415
5.745490981963927E-4, 0.16636890828052467, 1.3716349354042E-4, 1.308992901636054, 4.22013066527718E-5, -8.235939300393463, 0.03772300357589183, 6.618758916578017
5.809619238476952E-4, 0.16822581626076363, 1.3869444289280695E-4, 1.3154201407719353, 4.315534373701464E-5, -8.368500355657138, -0.09451774847957346, 6.618836620628092
5.873747494989979E-4, 0.17008272424100263, 1.4022539224519393E-4, 1.3219730297061776, 4.412472716595343E-5, -8.495437474331993, -0.2197247987512765, 6.618914324678168
5.937875751503006E-4, 0.1719396322212416, 1.417563415975809E-4, 1.3286520904404764, 4.51097019270811E-5, -8.61655461159327, -0.33780959318088993, 6.618992028728243
6.002004008016031E-4, 0.17379653979113185, 1.4328729094996787E-4, 1.3354576858956495, 4.611049918694789E-5, -8.731675994725578, -0.44870124160450087, 6.619069264001259
6.066132264529058E-4, 0.17565343464021216, 1.4481824030235485E-4, 1.3423869418087224, 4.712688950354623E-5, -8.840645429072145, -0.552345750937598, 6.619131967185405
6.130260521042083E-4, 0.17751032948929246, 1.4634918965474183E-4, 1.3494435606463724, 4.8159594495730677E-5, -8.94332561587932, -0.6487052820213826, 6.619194670369551
6.194388777555109E-4, 0.1793672243383727, 1.4788013900712878E-4, 1.3566278661710935, 4.920886516184611E-5, -9.039597481961001, -0.7377574290775404, 6.6192573735536975
6.258517034068136E-4, 0.18122411918745301, 1.4941108835951576E-4, 1.3639401341497106, 5.027495384316106E-5, -9.129359521089635, -0.8194945207862806, 6.619320076737843
6.322645290581161E-4, 0.1830810140365333, 1.509420377119027E-4, 1.3713805929785607, 5.135811412801861E-5, -9.212527147029771, -0.8939229420802817, 6.619382779921989
