This fits only B3, B4, B5, B6, B7, B8, B9 into the virial expansion since maxPower is set to 7. The fitted B3, B4, B5, B6, B7, B8, B9 values are in the file named VirialCoefficientsXlink3e-571.txt
Number of particles: 108
dryVolFracMax: 0.0025
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 55.82726330677766
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.0E-4, 0.06876327737098159, 4.774648292756861E-5, -14.586977591493895, 1.1742783302931377, 1.1594670940257306, -4.886098360459626E-4, 1.500489797673818, -5.213638970822166E-4, 7.78041030490739E-6, 2.4973650731346594E-5, 7.006384166666664, 0.06875648901040608, 4068.487831962053, 971.2799240489837, 5762.758763885889, 0.7059965545423298
3.0E-4, 0.10314688296073879, 7.161972439135293E-5, -8.395297431231326, 1.3070364096100442, 1.2765497085125763, -6.964768765370891E-4, 1.5006996583732648, -7.530065463303081E-4, 1.77952056056148E-5, 3.8734464187604186E-5, 7.007547006172836, 0.10313473351560913, 4070.5138914140894, 971.7636101141683, 5765.628550486122, 0.7059965545423299
4.0E-4, 0.13751583866812558, 9.549296585513724E-5, -7.750053457456766, 1.440346290135105, 1.4342471008600834, -8.894557615181097E-4, 1.500895505541486, -9.765371141186377E-4, 3.331218802664984E-5, 5.376916457387818E-5, 7.008419012345684, 0.13751297802081217, 4072.0336621484244, 972.1264286512719, 5767.7812107569935, 0.7059965545423297
5.0E-4, 0.17189819351998462, 1.1936620731892148E-4, -7.139080780672153, 1.6539194716564976, 1.6243687216493057, -0.0010665146716312926, 1.501077710205944, -0.0011940355932402447, 5.562692480254949E-5, 7.189399680640268E-5, 7.010232520576131, 0.1718912225260152, 4075.195535423697, 972.8812702930567, 5772.259806657963, 0.7059965545423299
6.0E-4, 0.20626041021845554, 1.4323944878270585E-4, -6.533756313149118, 1.7813282533122177, 1.8346754722288785, -0.0012303217601310058, 1.501246687437587, -0.001406727072591923, 8.571847338650702E-5, 9.068683907441007E-5, 7.011152736625509, 0.20626946703121826, 4076.8005688977573, 973.2644438098937, 5774.533236271371, 0.7059965545423299
7.0E-4, 0.24063865199445753, 1.6711269024649017E-4, -5.723876290791604, 1.9694909384855772, 2.056810624511978, -0.0013784785558899606, 1.5014023319856058, -0.0016154210498813184, 1.2434780594723952E-4, 1.125946880441183E-4, 7.0127780555555495, 0.24064771153642134, 4079.636466600854, 973.9414645162199, 5778.55010814539, 0.70599655454233
8.0E-4, 0.2749984405907345, 1.9098593171027449E-4, -5.084356798501905, 2.309301465724614, 2.289167396673032, -0.0015036167217288019, 1.5015405818552394, -0.0018206928681456847, 1.7209970535654384E-4, 1.4497644106033905E-4, 7.015526697530867, 0.2750259560416244, 4084.4353589703032, 975.0871156791655, 5785.347439291801, 0.70599655454233
9.0E-4, 0.3093706642900705, 2.148591731740588E-4, -4.339508219025623, 2.525673984235519, 2.5372243666746948, -0.0016212387109672992, 1.501669269000116, -0.0020229727110088343, 2.2940264132598976E-4, 1.7233135871554532E-4, 7.017283168724281, 0.30940420054682743, 4087.5039764975513, 975.8196941510455, 5789.693944253484, 0.7059965545423298
0.001, 0.34372731532716394, 2.38732414637843E-4, -3.205492959375365, 2.8392636604351824, 2.814682679197346, -0.0017108129768225525, 1.501776103313914, -0.0022225944863660013, 2.971587081833038E-4, 2.146228013601451E-4, 7.019934681069953, 0.3437824450520305, 4092.139173364242, 976.9262658913524, 5796.259410949981, 0.70599655454233
0.0011, 0.3780664818037514, 2.626056561016274E-4, -2.2945004426764073, 3.235443600821204, 3.1387809974448597, -0.0017742897258265565, 1.5018625855986296, -0.0024198249427019227, 3.7654827780188175E-4, 2.6898693907348437E-4, 7.023219084362135, 0.3781606895572336, 4097.88560487179, 978.2981253607002, 5804.398872071393, 0.7059965545423299
