Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 5.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.164093606817634
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 0.001
Maximum x-link fraction: 0.01
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.498680648148147
Dry volume fraction: 0.020250000000000015
Reservoir volume fraction: 0.8723741459669347
Actual volume fraction: 0.0
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
The coupling constant increment - dlambda: 0.0
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
7.5E-4, 0.032310436914763915, -8.1855259147476, 0.9840704321526016, 1.00150807394979, 1.0137186065127364, -0.017437641797188305, -0.0016284520476124212, -0.0016284519949333427, 1.5016284521002916, -0.0017184551416278252, 1.800130677428875E-7, 8.982308094766116E-5, 3.5050764814814803, 0.032310153554330895, 658.6164126119609, 721.5079105628436, 0.9128332523730455
0.00125, 0.05384939870739083, -7.500160361978489, 1.0264203083466588, 1.0269345217088761, 1.1144533610113445, -5.142133622173638E-4, -0.0025622091110364766, -0.002562206766044942, 1.502562211456028, -0.00271165360943737, 3.515093481909178E-6, 1.459294049189841E-4, 3.5050509259259264, 0.05385025592388482, 658.6020067760026, 721.4921291088698, 0.912833252373045
0.00175, 0.075388237592141, -7.0183152129477, 1.2416198503839166, 1.2127460089973632, 1.1504228136753312, 0.0288738413865534, -0.003418983440998585, -0.003418957742218098, 1.503419009139779, -0.003655743101574757, 3.0315815090925246E-5, 2.0644384548524725E-4, 3.5050488888888887, 0.07539035829343875, 658.6008584937699, 721.4908711767887, 0.9128332523730454
0.00225, 0.09693012502113181, -6.710523629551658, 1.1374319602715834, 1.148884192352546, 1.198560224904245, -0.011452232080962441, -0.004237708448512989, -0.004237685257744004, 1.5042377316392819, -0.00456524810492825, 5.67492179163395E-5, 2.7079043849892166E-4, 3.505069814814815, 0.09693046066299268, 658.6126545475463, 721.5037936396213, 0.9128332523730456
0.00275, 0.11847859523440755, -6.343383389873613, 1.2446896006110084, 1.2813216335342879, 1.3467876131166776, -0.03663203292327951, -0.005021002950565755, -0.0050209497011078335, 1.5050210562000237, -0.005448004534695674, 1.0294045166283307E-4, 3.2406113246708683E-4, 3.505165370370371, 0.11847056303254662, 658.6665215035479, 721.5628043689763, 0.912833252373045
0.00325, 0.14001119593004543, -5.824437314932627, 1.4827549665836264, 1.4634029806143924, 1.5738007348512406, 0.019351985969233848, -0.005752079682151102, -0.005751973392782262, 1.50575218597152, -0.006308936832459306, 1.7697155367593555E-4, 3.7988559663226757E-4, 3.5050969444444444, 0.14001066540210055, 658.6279478711868, 721.5205473277688, 0.9128332523730451
0.00375, 0.16154288500572592, -5.293244285688498, 1.7860921487136172, 1.7554912553364566, 1.8408311328719051, 0.030600893377160668, -0.006411484934666376, -0.006411270513136223, 1.5064116993561965, -0.007151431961720067, 2.9437807236128025E-4, 4.4556895469241125E-4, 3.50505388888889, 0.16155076777165447, 658.6036770070873, 721.4939588308703, 0.9128332523730452
0.00425, 0.18306839682608822, -4.965739954154503, 2.0347597663442656, 2.026903177785547, 1.943425625714257, 0.007856588558718663, -0.007015748671741482, -0.00701542528491546, 1.5070160720585675, -0.007977964101083191, 4.562060196254599E-4, 5.060094097162486E-4, 3.5049872222222236, 0.1830908701412084, 658.5660974906967, 721.4527908340945, 0.9128332523730452
0.00475, 0.20462428366291305, -4.5138781237220975, 2.083755088006983, 1.9807602122059722, 2.0843704720701792, 0.10299487580101106, -0.007596968024385292, -0.00759662854339859, 1.507597307505372, -0.008790420581887748, 6.269469428723122E-4, 5.66505614630144E-4, 3.5050882407407413, 0.20463097251076234, 658.6230414548752, 721.5151723961491, 0.9128332523730452
0.00525, 0.22615853638320016, -4.141749840099299, 2.292029234213283, 2.291218649008699, 2.3163606483734176, 8.105852045837131E-4, -0.008093357695598595, -0.008092866263215466, 1.5080938491279818, -0.009590288891495413, 8.470692308631331E-4, 6.498619650336843E-4, 3.505080092592592, 0.2261710748803163, 658.618448236155, 721.5101405694619, 0.9128332523730454
0.00575, 0.24769051857129207, -3.866505584820687, 2.321771045433096, 2.4644758524056303, 2.5320458240453023, -0.14270480697253426, -0.008585737964538098, -0.008585118665225303, 1.508586357263851, -0.01037877174272353, 0.001102551419157141, 6.904823590282914E-4, 3.505063425925926, 0.24771117724987024, 658.6090530825625, 721.4998482695614, 0.9128332523730454
0.00625, 0.2692035296321488, -3.0295498554769265, 2.762581170396617, 2.726961521981119, 2.9787605008754214, 0.035619648415498265, -0.009016417910073543, -0.009015631402428323, 1.5090172044177188, -0.011156861803155093, 0.0014045663026701863, 7.358775904113633E-4, 3.5049602777777795, 0.2692512796194242, 658.5509095084672, 721.4361525464443, 0.9128332523730452
0.00675, 0.29074257822278926, -2.4447833396294176, 3.444678443358672, 3.368716401528211, 3.25697135474606, 0.07596204183046114, -0.009308989716801833, -0.009307835521159635, 1.5093101439124441, -0.011925392354919073, 0.001799676299948348, 8.167263381688925E-4, 3.505013518518519, 0.29079138198897814, 658.5809203514319, 721.4690291346786, 0.9128332523730451
0.00725, 0.3123070925153782, -2.103256440839929, 3.2723768267350715, 3.3206867821511845, 3.492422026174217, -0.04830995541611326, -0.009600066940009644, -0.009598812851437624, 1.5096013210285817, -0.012685072861692171, 0.002209997235060616, 8.750086866219096E-4, 3.505109629629629, 0.3123314843585321, 658.6350987556178, 721.528381052507, 0.9128332523730451
0.00775, 0.33380995965318694, -1.4879858203133216, 3.7157960351910715, 3.824204634483533, 3.9239123859337868, -0.10840859929246181, -0.009811105205526145, -0.00980953921705918, 1.5098126711939932, -0.013436514678104073, 0.0026995254333894107, 9.258840391885171E-4, 3.5050183333333322, 0.33387158672808603, 658.5836344204449, 721.4720023710346, 0.9128332523730452
0.00825, 0.35531126949232905, -0.6532983568984022, 4.190315926710218, 4.205826887995878, 4.417449969723007, -0.015510961285659616, -0.009955297387839915, -0.009953342451166351, 1.5099572523245135, -0.014180250097584531, 0.0032563557615169127, 9.685969482277031E-4, 3.504929259259259, 0.35541168909764, 658.5334253507144, 721.4169988207149, 0.9128332523730451
