Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 0.001
Maximum x-link fraction: 0.01
#x-link fraction increment: 0.001
Reservoir swelling ratio: 3.5055745959281923
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
1.5E-4, 0.006461674883518826, -9.804025164631621, 0.9917047335246051, 1.0, 1.0, -0.008295266475394934, -3.8348477041631344E-4, -3.8348477041631344E-4, 1.5003834847704163, -4.013247781823274E-4, 0.0, 1.7840007766013942E-5, 3.505005555555557, 0.006462028930928308, 658.5764317151961, 721.4641118770916, 0.9128332523730454
2.5E-4, 0.010770291868598292, -9.22064510936509, 1.0089998275605114, 1.0, 1.0, 0.008999827560511386, -6.088625874112889E-4, -6.088625874112889E-4, 1.5006088625874112, -6.383869716487445E-4, 0.0, 2.952438423745566E-5, 3.505095462962964, 0.010770048218213847, 658.6271127347752, 721.5196324439063, 0.9128332523730454
3.5E-4, 0.015079349450646358, -8.8875957568944, 0.9848315462045572, 1.0, 1.0, -0.015168453795442894, -8.237381447117827E-4, -8.237381447117827E-4, 1.5008237381447118, -8.656273699807302E-4, 0.0, 4.188922526894749E-5, 3.505164444444445, 0.015078067505499384, 658.665999522828, 721.5622325441456, 0.9128332523730452
4.5E-4, 0.01938649437955755, -8.655111922472189, 0.970836290155723, 1.0, 1.0, -0.029163709844276988, -0.0010332140264849787, -0.0010332140264849787, 1.501033214026485, -0.0010859508705559368, 0.0, 5.273684407095821E-5, 3.505096574074074, 0.01938608679278492, 658.6277390870177, 721.5203186067304, 0.9128332523730456
5.5E-4, 0.023694436985391046, -8.399042142234286, 1.0274114839516095, 1.0, 1.0, 0.027411483951609483, -0.0012369892983542965, -0.0012369892983542965, 1.5012369892983544, -0.00130092465641393, 0.0, 6.393535805963347E-5, 3.50508212962963, 0.023694106080070464, 658.6195965388335, 721.5113985239409, 0.9128332523730455
6.5E-4, 0.028001113787289172, -8.226659824138984, 1.0199674671310046, 1.0, 1.0, 0.01996746713100464, -0.0014342387487370973, -0.0014342387487370973, 1.5014342387487372, -0.0015115336158711644, 0.0, 7.729486713406705E-5, 3.5050230555555557, 0.028002125367356002, 658.5862963030675, 721.4749184377047, 0.9128332523730451
7.5E-4, 0.03231091622822644, -8.050367396130143, 1.0494930202654602, 1.0, 1.0055459791508443, 0.04949302026546011, -0.0016297833711984631, -0.0016297833711984631, 1.5016297833711985, -0.0017184551416278254, 0.0, 8.867177042936217E-5, 3.505094444444445, 0.03231014465464154, 658.6265385789011, 721.5190034616988, 0.9128332523730454
8.5E-4, 0.036619404209396654, -7.957489249117345, 1.0131417644484806, 1.0110919583016884, 1.0048935110154509, 0.0020498061467922606, -0.0018186154781770802, -0.0018186147801427508, 1.5018186161762115, -0.001922184069404958, 2.648009988424343E-7, 1.0330379022903555E-4, 3.505103703703702, 0.03661816394192709, 658.631758190025, 721.5247214952064, 0.9128332523730454
9.5E-4, 0.04092608824314763, -7.871781926644567, 0.9827073495627779, 1.0, 1.0087514813851213, -0.017292650437222005, -0.002009725495777755, -0.002009725495777755, 1.5020097254957778, -0.0021230978654703772, 2.959540575297795E-7, 1.1307641563509259E-4, 3.505064259259259, 0.040926183229212626, 658.60952283812, 721.5003628822317, 0.9128332523730454
0.00105, 0.04523391791816597, -7.712811094244296, 1.0383713548103055, 1.0175029627702423, 1.0222697766870155, 0.0208683920400631, -0.002194465379547158, -0.0021944639436665375, 1.5021944668154277, -0.0023214940272964185, 7.449595727627468E-7, 1.262836881764976E-4, 3.5050629629629615, 0.04523420251649816, 658.6087921073483, 721.4995623737384, 0.9128332523730451
0.00115, 0.04954039842932015, -7.707892605932296, 0.9672339502073184, 1.0287035394390496, 1.0164754743478628, -0.06146958923173123, -0.0023779850990126522, -0.0023779829862003916, 1.5023779872118248, -0.0025176130974465497, 1.5011546313957425E-6, 1.3812684380250167E-4, 3.505029074074073, 0.049542221803783704, 658.5896889089616, 721.4786350046519, 0.9128332523730454
0.00125, 0.05385142055187319, -7.5538000628285875, 0.9928274589720265, 1.0067433692078975, 1.048171454560055, -0.013915910235870974, -0.0025624901422638367, -0.0025624896997297037, 1.502562490584798, -0.0027116536094373704, 1.7926758981140884E-6, 1.473707912754195E-4, 3.5050980555555555, 0.05385024109106924, 658.6285742239595, 721.5212334911736, 0.9128332523730455
0.00135, 0.05815885966536729, -7.398320351208451, 1.1166783543999836, 1.0901390094488441, 1.0735679393045487, 0.02653934495113958, -0.002738652484750764, -0.0027386436012921812, 1.5027386613682094, -0.002903782219694676, 4.088000307841804E-6, 1.610417346360702E-4, 3.505081574074073, 0.05815826037835478, 658.6192833652427, 721.5110554453008, 0.9128332523730455
0.00145, 0.06246379586002981, -7.31198035334123, 1.108846471584539, 1.0636738328231308, 1.0666737300449847, 0.04517263876140824, -0.0029157339186054944, -0.002915726247655038, 1.502915741589556, -0.0030941408209538028, 5.910915931370953E-6, 1.7249598641693722E-4, 3.505028240740741, 0.06246627966564032, 658.5892191628358, 721.478120402314, 0.9128332523730452
0.00155, 0.06677469628544384, -7.254392516665984, 1.0693025824207325, 1.0740649260822266, 1.0956042704010143, -0.004762343661494187, -0.0030877738298582882, -0.003087766832111569, 1.503087780827605, -0.003282851684140692, 8.086735170306593E-6, 1.8699111911209702E-4, 3.5050763888888894, 0.06677429895292586, 658.6163604165248, 721.5078533832482, 0.9128332523730454
0.00165, 0.07108289261934447, -7.290644046906794, 1.0383144499899084, 1.1219219970476877, 1.0749558621942559, -0.08360754705777927, -0.0032621056470523682, -0.003262089888880396, 1.5032621214052244, -0.0034700212679412913, 1.1519133295270036E-5, 1.9639648759365325E-4, 3.5050850925925943, 0.0710823182402114, 658.6212667996572, 721.5132282785203, 0.9128332523730454
0.00175, 0.07539066528148067, -7.104470753838562, 1.0820011929228974, 1.035378939283108, 1.0735463627147392, 0.0466222536397894, -0.0034358764413749032, -0.0034358726273881848, 1.5034358802553616, -0.0036557431015747576, 1.306187254613067E-5, 2.0680478765372362E-4, 3.5050735185185187, 0.07539033752749694, 658.6147423593453, 721.5060808172562, 0.9128332523730454
0.00185, 0.07969788857202102, -6.944989938066695, 1.1901008696196997, 1.1137354398196906, 1.133278158515609, 0.07636542980000909, -0.0036013191386099317, -0.003601304087894354, 1.5036013341893255, -0.0038401000065966108, 1.652349888085761E-5, 2.222573691058215E-4, 3.5050630555555564, 0.07969835681478249, 658.6088443023868, 721.4996195528981, 0.9128332523730454
0.00195, 0.08400911069554501, -7.046335045864586, 1.0395676799398805, 1.1589687388234027, 1.1664090623120074, -0.11940105888352208, -0.0037674752848849405, -0.0037674522238433715, 1.5037674983459266, -0.004023165836985632, 2.121176006964994E-5, 2.3447879203104203E-4, 3.505115925925925, 0.08400637610206803, 658.6386481189362, 721.5322693456965, 0.9128332523730452
0.00205, 0.08830821845355442, -6.826169377006276, 1.2367217096077385, 1.1820016288171968, 1.1655744107178863, 0.05472008079054169, -0.0039377568545792335, -0.003937729720882075, 1.5039377839882764, -0.004205006861409398, 2.6644511468879278E-5, 2.4060549536128445E-4, 3.504997037037037, 0.08831439538935357, 658.5716299408708, 721.458851579756, 0.9128332523730452
