Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 3.0E-5
Maximum x-link fraction: 1.0E-4
x-link fraction increment: 3.0E-6
Reservoir swelling ratio: 7.0053187131881725
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
1.5E-4, 0.051557099369806424, -9.571816331058054, 1.090475186930756, 1.094310725284016, 1.1348916642788611, -0.0038355383532599316, -3.8015955824408055E-4, -3.8015952308844715E-4, 1.5003801595933997, -4.013247781823274E-4, 3.1537381401175977E-6, 1.801148179812925E-5, 7.005024938271606, 0.051567366757804566, 4066.120449024781, 5759.405513898987, 0.7059965545423298
2.5E-4, 0.08588140404960407, -8.797832598430412, 1.2400007365673087, 1.2383464201297172, 1.2423120734972681, 0.0016543164375914896, -5.976513581913531E-4, -5.976512092225321E-4, 1.5005976515071602, -6.383869716487445E-4, 1.0946331873314645E-5, 2.978928158407681E-5, 7.004942716049378, 0.0859456112630076, 4065.9772711469236, 5759.202711382549, 0.7059965545423299
3.5E-4, 0.12019308711112496, -8.209921444267188, 1.3335413208855988, 1.341616294916706, 1.389177637540532, -0.008074974031107207, -8.002251222046448E-4, -8.002248255259422E-4, 1.5008002254188832, -8.656273699807302E-4, 2.3480352919150378E-5, 4.192189485693496E-5, 7.004986543209876, 0.12032385576821064, 4066.0535892671137, 5759.310811230484, 0.70599655454233
4.5E-4, 0.1544129740886086, -7.65413920194283, 1.5393521948655025, 1.534343635854845, 1.5612530079732534, 0.0050085590106575, -9.896462322667359E-4, -9.896456242570986E-4, 1.5009896468402764, -0.0010859508705559368, 4.294553982516392E-5, 5.335909846403711E-5, 7.004799413580246, 0.1547021002734137, 4065.7277390580875, 5758.8492647726025, 0.70599655454233
5.5E-4, 0.1886025814494493, -7.120060961741673, 1.7120785070887112, 1.7069054102816268, 1.758154726784971, 0.005173096807084414, -0.0011656833489354418, -0.001165682366668567, 1.5011656843312022, -0.00130092465641393, 6.936511667135359E-5, 6.587619080713442E-5, 7.0046936728395135, 0.18908034477861674, 4065.543619621832, 5758.588471097236, 0.7059965545423299
6.5E-4, 0.2227101463113976, -6.60877657399687, 1.9380098050117345, 1.9379322997031556, 1.9634769261737048, 7.750530857891212E-5, -0.0013296041014197824, -0.0013296025470515512, 1.501329605655788, -0.0015115336158711644, 1.043684403336411E-4, 7.756107411774083E-5, 7.004742633744857, 0.22345858928381981, 4065.6288713531508, 5758.7092248470535, 0.7059965545423298
7.5E-4, 0.2568014744779469, -6.042752424670655, 2.1457489447675226, 2.133318829521663, 2.220540772300444, 0.012430115245859819, -0.0014812291867978987, -0.0014812270182237527, 1.501481231355372, -0.0017184551416278254, 1.4748111753451763E-4, 8.974483729540907E-5, 7.004821244855964, 0.25783683378902283, 4065.7657531230116, 5758.903109319972, 0.70599655454233
8.5E-4, 0.2906548933617374, -5.50326642172989, 2.4317358734694356, 2.45887189234878, 2.500283833951454, -0.02713601887934443, -0.0016181242768998436, -0.0016181210805927503, 1.501618127473207, -0.001922184069404958, 2.0197326748989036E-4, 1.0208652501522407E-4, 7.0045285288065875, 0.29221507829422594, 4065.25607623801, 5758.181183863365, 0.7059965545423299
9.5E-4, 0.3245554301984614, -4.9092196749385355, 2.698914115039402, 2.713327762889278, 2.7967432800042262, -0.014413647849876098, -0.0017439908030488865, -0.0017439865875841132, 1.5017439950185136, -0.0021230978654703772, 2.6663751576111504E-4, 1.1246954666037582E-4, 7.004596532921813, 0.326593322799429, 4065.3744811351335, 5758.34889700072, 0.7059965545423298
0.00105, 0.358210856438231, -4.2380305224823624, 3.0759064215968377, 3.0605090879496224, 3.1383994731302245, 0.015397333647215185, -0.0018525222502969803, -0.0018525165902354332, 1.5018525279103585, -0.0023214940272964185, 3.4389565367828103E-4, 1.250761233211572E-4, 7.00432799382716, 0.360971567304632, 4064.906929524806, 5757.686639363171, 0.7059965545423301
0.00115, 0.3917777049642233, -3.5785626544216247, 3.4252441025008373, 3.4125288190679277, 3.499391864213895, 0.012715283432909496, -0.0019463418550371052, -0.0019463345491693073, 1.5019463491609049, -0.0025176130974465497, 4.342425037312073E-4, 1.3702873867823688E-4, 7.004155288065843, 0.3953498118098351, 4064.6062516282204, 5757.26074791278, 0.70599655454233
