Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 0.001
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.04913684331933
Number of monomers: 2916666.666666667
Number of chains: 29166.66666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
#Minimum x-link fraction: 0.001
#Maximum x-link fraction: 0.01
#x-link fraction increment: 0.001
Reservoir swelling ratio: 2.2592361271381374
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.0015, 0.017296733596548968, -7.480344609969989, 1.0148709556964632, 1.0, 1.0, 0.01487095569646315, -0.0030110366919067605, 1.5030110366919067, -0.0031886952330839173, 0.0, 1.7765854117715658E-4, 2.258712777777778, 0.017297212926912584, 187.02687308304024, 193.07748218006986, 0.9686622747059306
0.0025, 0.028829034559054712, -6.927707936020733, 0.9853447205749126, 1.0, 1.0, -0.014655279425087372, -0.004706011702076496, 1.5047060117020765, -0.005009615468588517, 0.0, 3.03603766512021E-4, 2.2587436111111114, 0.028828688211520972, 187.0345324109951, 193.08538929915034, 0.9686622747059305
0.0035, 0.040361156128381086, -6.5847587307222, 0.9801325007658815, 1.0, 1.0098293243122556, -0.01986749923411847, -0.006318773578850715, 1.5063187735788508, -0.006732317752748802, 0.0, 4.135441738980866E-4, 2.258753148148148, 0.040360163496129364, 187.0369015547775, 193.0878350884047, 0.9686622747059296
0.0045, 0.05189209724412823, -6.3009733526470795, 1.0185982054124658, 1.0196586486245112, 1.0149625290560365, -0.0010604432120453406, -0.007850002405262355, 1.5078507292117913, -0.0083858510593413, 4.693156654646463E-6, 5.304286908952602E-4, 2.258741111111111, 0.051891638780737756, 187.03391137661382, 193.08474817334482, 0.9686622747059298
0.0055, 0.06342240943607391, -6.060599483807032, 1.038789205487989, 1.0146349980707863, 1.022823803760139, 0.024154207417202696, -0.009327266744943, 1.509327873355575, -0.00998588721876166, 9.229928783337992E-6, 6.487839344032286E-4, 2.2587303703703703, 0.06342311406534615, 187.03124324454325, 193.0819937230681, 0.96866227470593
0.0065, 0.07495490228897955, -5.76178558574782, 1.0709894203280184, 1.0336735181896346, 1.1035709086392287, 0.0373159021383837, -0.01074372550310659, 1.5107454451501066, -0.011542275114174435, 1.894705795979861E-5, 7.778829061080875E-4, 2.2587375925925923, 0.07495458934995454, 187.03303733055455, 193.0838458505414, 0.9686622747059299
0.0075, 0.08648493782312208, -5.545772234976135, 1.173856181366239, 1.1786488403487663, 1.182990069080658, -0.004792658982527249, -0.012078316715965192, 1.5120913278618573, -0.01306178867258147, 6.451125898232528E-5, 9.059495517417963E-4, 2.258732407407408, 0.08648606463456292, 187.03174926764137, 193.08251611679745, 0.9686622747059298
0.0085, 0.0980167031011571, -5.389893437121899, 1.2226062976579726, 1.2111511431923856, 1.1987444497789497, 0.011455154465587043, -0.01339163669648131, 1.513408673741609, -0.014549376251193227, 1.235213824478278E-4, 0.0010171811271363642, 2.2587297222222227, 0.09801753991917131, 187.03108223738542, 193.0818275070793, 0.9686622747059298
0.0095, 0.10955199986435535, -5.199380220318939, 1.2291563645083516, 1.2111790673293237, 1.2353975446888064, 0.01797729717902801, -0.01465180126573474, 1.514669588193319, -0.01600881251268785, 1.8846859845912819E-4, 0.001150755720909826, 2.258754351851852, 0.10954901520377971, 187.0372005743468, 193.08814378172025, 0.9686622747059299
0.0105, 0.12107916155217872, -4.759885030672411, 1.3183520713739647, 1.2818453975566388, 1.4409575222987008, 0.036506673817325946, -0.015874157885715272, 1.5158994503846168, -0.017443072431788696, 2.755930306101903E-4, 0.0012680290165615925, 2.2587240740740744, 0.1210804904883881, 187.02967917892005, 193.08037905749887, 0.9686622747059299
0.0115, 0.132613981117295, -4.7398517842028935, 1.5155517023394323, 1.6269120658556813, 1.513218254797923, -0.111360363516249, -0.016924478959276637, 1.5169933415067973, -0.018854561434130442, 4.5150421715372407E-4, 0.001409715710179361, 2.2587497222222224, 0.1326119657729965, 187.0360505008249, 193.08695650153825, 0.9686622747059295
0.0125, 0.14414536949281548, -4.397213066046215, 1.4507378158769482, 1.4540385364232664, 1.6222604121272057, -0.003300720546318355, -0.018137270408651762, 1.5181860793761086, -0.020245264854879076, 5.991591695669198E-4, 0.001460026309203639, 2.2587460185185186, 0.1441434410576049, 187.0351304454019, 193.08600668089684, 0.9686622747059298
0.0135, 0.15567488041750588, -4.005282721038253, 1.9629968293929716, 1.8268053707450052, 1.707301491863802, 0.13619145864796647, -0.01902399354514521, 1.519130628170887, -0.021616849258292548, 8.444771457257655E-4, 0.0016417439416798085, 2.2587398148148154, 0.1556749163422133, 187.0335893593278, 193.0844157383009, 0.9686622747059289
0.0145, 0.16720270666770248, -4.078010160391496, 1.6077359825129092, 1.649042455260005, 1.7454371564275162, -0.04130647274709582, -0.020049652039253147, 1.5201404808253562, -0.022970733571724255, 0.001061978480918814, 0.0017682742654491017, 2.2587171296296296, 0.16720639162682172, 187.02795411665375, 193.07859818679572, 0.9686622747059298
0.0155, 0.1787360383896662, -3.6391536796305464, 2.013440762900815, 1.8865934062336467, 1.8436791970276212, 0.12684735666716845, -0.02097109997016105, 1.5210953420912026, -0.02430814050443357, 0.001346876960826743, 0.0018659214524042703, 2.2587314814814814, 0.1787378669114301, 187.03151925702883, 193.08227866498538, 0.9686622747059291
0.0165, 0.19026764614128971, -3.376808751492008, 1.8717853828158189, 1.8579645624173144, 2.019276128942911, 0.013820820398504489, -0.02178721992960593, 1.5219219349676794, -0.025630134643279998, 0.0016385962002816025, 0.002069603475319008, 2.258730277777778, 0.1902693421960385, 187.03122024351507, 193.0819699779211, 0.9686622747059297
0.0175, 0.20179665226332183, -3.482554029313236, 2.08980522532663, 2.2325855477362206, 2.0568893549764846, -0.14278032240959077, -0.022583407384188823, 1.522782106660124, -0.026937651280455093, 0.0020321631849635068, 0.002123381435367687, 2.258722962962963, 0.2018008174806469, 187.0294031682445, 193.0800941174504, 0.9686622747059298
0.0185, 0.21332834953735896, -3.111653803633811, 2.0215147782892147, 1.951626622087388, 2.0953766569882935, 0.06988815620182692, -0.023450016994655327, 1.523611944657559, -0.028231518631514057, 0.002375470916857426, 0.0022441030570978064, 2.2587237962962963, 0.2133322927652553, 187.02961017622584, 193.08030782246044, 0.9686622747059307
