Number of particles: 108
dryVolFracMax: 0.0022
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 59.02417080547838
Number of monomers: 2916666.666666667
Number of chains: 145.83333333333334
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
Reservoir swelling ratio: 6.328780114650727
Mean swelling ratio: 6.327114825102882
Dry volume fraction: 0.0022
Reservoir volume fraction: 0.557676959103823
Actual volume fraction: 0.0
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
The coupling constant increment - dlambda: 0.0
phi0, phi, rho, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_reconstructed, (PV/NKT)_FR, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2, B2_HS, B2*
2.0E-4, 0.050689715492360995, 4.774648292756861E-5, -14.773152438801745, 1.1133828154498107, 1.1073436922212068, 1.1133828154498107, 0.006039123228603893, -4.924261738554917E-4, 1.5004930540646508, -5.213638970822166E-4, 5.017603521048182E-6, 2.3920119705676752E-5, 6.328320102880657, 0.050697905373074816, 3199.688646563167, 4246.331711283948, 0.7535182986436283
3.0E-4, 0.07601983770927284, 7.161972439135293E-5, -8.661042405320776, 1.2124258703260964, 1.206469421161473, 1.2124258703260964, 0.005956449164623345, -7.053660707056161E-4, 1.5007071147312039, -7.530065463303081E-4, 1.1910997178838042E-5, 3.572947844585401E-5, 6.32830259259259, 0.07604685805961223, 3199.6620862846166, 4246.296462931519, 0.7535182986436286
4.0E-4, 0.10133732918050539, 9.549296585513724E-5, -8.168719111723034, 1.313052794554389, 1.3250557048721887, 1.313052794554389, -0.012002910317799653, -9.059604871960879E-4, 1.5009094096119844, -9.765371141186377E-4, 2.3082931770363432E-5, 4.7493695152186344E-5, 6.328238734567901, 0.10139581074614963, 3199.565225221616, 4246.167917860783, 0.7535182986436286
5.0E-4, 0.1266434628572963, 1.1936620731892148E-4, -7.7309691321934935, 1.4244276805050855, 1.4470558462774137, 1.4244276805050855, -0.02262816577232818, -0.0010953936783136033, 1.501101372643953, -0.0011940355932402447, 3.907583747227781E-5, 5.956607745436357E-5, 6.328232644032929, 0.12674476343268704, 3199.5559870847674, 4246.155657857456, 0.7535182986436284
6.0E-4, 0.15192362293364756, 1.4323944878270585E-4, -7.330506256902206, 1.605875086635303, 1.571209871943388, 1.605875086635303, 0.03466521469191508, -0.0012750870728799244, 1.501285246738729, -0.001406727072591923, 6.012726228086548E-5, 7.151273743113305E-5, 6.328280658436218, 0.15209371611922445, 3199.62881591981, 4246.252309571388, 0.7535182986436285
7.0E-4, 0.17720664618492354, 1.6711269024649017E-4, -6.94391313060995, 1.7295965468205048, 1.7067496738509962, 1.7295965468205048, 0.022846872969508603, -0.0014453995701592193, 1.5014596175095978, -0.0016154210498813184, 8.6528726676852E-5, 8.349275304524722E-5, 6.328322962962964, 0.17744266880576187, 3199.692984860001, 4246.337468671448, 0.7535182986436284
8.0E-4, 0.20247792901618628, 1.9098593171027449E-4, -6.539706597005823, 1.7995183962681016, 1.8644429336709754, 1.7995183962681016, -0.06492453740287374, -0.0016066345026211118, 1.5016246979794785, -0.0018206928681456847, 1.1881618596494225E-4, 9.524217955963053E-5, 6.328170092592588, 0.2027916214922993, 3199.4611099515514, 4246.029745675381, 0.7535182986436285
9.0E-4, 0.2276716842323725, 2.148591731740588E-4, -6.118138520440043, 2.0891667312725817, 2.0499801120940875, 2.0891667312725817, 0.0391866191784942, -0.0017576475595444657, 1.5017856327587356, -0.0020229727110088343, 1.5779479141990997E-4, 1.0753036004445868E-4, 6.328292510288063, 0.2281405741788367, 3199.6467931239276, 4246.2761672589195, 0.7535182986436283
0.001, 0.252861865150552, 2.38732414637843E-4, -5.684045646565277, 2.265966733106807, 2.2615005937463417, 2.265966733106807, 0.004466139360465249, -0.0018987540990358022, 1.5019348327361548, -0.0022225944863660013, 2.0428794126012298E-4, 1.1955244607007622E-4, 6.328119156378597, 0.2534895268653741, 3199.383852013656, 4245.927216064574, 0.7535182986436285
0.0011, 0.2780254472171932, 2.626056561016274E-4, -5.2294186713496424, 2.5045700252572343, 2.4930073744945833, 2.5045700252572343, 0.01156265076265095, -0.0020290407479677153, 1.5020760964185536, -0.0024198249427019227, 2.591108816576153E-4, 1.3167331307659233E-4, 6.328154279835387, 0.27883847955191154, 3199.437125683804, 4245.997915966944, 0.7535182986436285
