Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 5.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.164093606817634
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.498520185185184
Dry volume fraction: 0.020250000000000015
Reservoir volume fraction: 0.8723741459669347
Actual volume fraction: 0.8465172826847158
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
The coupling constant increment - dlambda: 0.0
DryVolFrac, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta
7.5E-4, -8.16918985322964, 1.0049661353485952, 1.002740776741294, 1.0190867235501533, 0.0022253586073014233, -0.0016300088913845222, 1.5016300187051996, -0.0017184551416278252, 3.271561247161677E-7, 8.811909411858685E-5, 3.5050524074074065, 0.032310153554330895
0.00125, -7.524577585876852, 1.0486344284163696, 1.0372598548532088, 1.0667632681031258, 0.011374573563160737, -0.002558811924280898, 1.5025591911915612, -0.00271165360943737, 4.992827766941328E-6, 1.478488573895303E-4, 3.5049545370370376, 0.05385025592388482
0.00175, -7.047042246802599, 1.110956018806917, 1.1111706232943266, 1.168463377603723, -2.146044874096896E-4, -0.0034263694675906948, 1.5034277855879228, -0.003655743101574757, 2.0259974541642172E-5, 2.0911365944242021E-4, 3.505043796296295, 0.07539035829343875
0.00225, -6.633015341278441, 1.2656879702583472, 1.2575191671400698, 1.2628905585334647, 0.008168803118277279, -0.004241169335914973, 1.504245878719615, -0.00456524810492825, 5.678762498983466E-5, 2.6729114402344184E-4, 3.5051109259259263, 0.09693046066299268
0.00275, -6.271639372589101, 1.3380830553144394, 1.3254884315135416, 1.3523705109745072, 0.012594623800897764, -0.0050098852363439535, 1.5050176085118552, -0.005448004534695674, 1.0825941680575391E-4, 3.2985988154596627E-4, 3.505107592592593, 0.11847056303254662
0.00325, -5.884359625917864, 1.442030673926132, 1.4384323052561168, 1.5120175531543945, 0.003598368670015275, -0.0057384129470709365, 1.505749642226654, -0.006308936832459306, 1.8027694857858715E-4, 3.902469368097822E-4, 3.505106111111112, 0.14001066540210055
0.00375, -5.474546589736403, 1.586680996309347, 1.6530539249382281, 1.7600633277775974, -0.06637292862888122, -0.00641467261843676, 1.5064349544856206, -0.007151431961720067, 2.859644339391356E-4, 4.5079490934417225E-4, 3.50499175925926, 0.16155076777165447
0.00425, -4.966707467577891, 1.9682097933616594, 1.9541465872753963, 1.9654409578251348, 0.014063206086263151, -0.007045364673486077, 1.507079050829196, -0.007977964101083191, 4.379858844803768E-4, 4.946135431167368E-4, 3.5050335185185193, 0.1830908701412084
0.00475, -4.395980058059945, 2.1196382343498184, 2.0889878680543315, 2.277627795022432, 0.03065036629548668, -0.007600386684971436, 1.5076418103930824, -0.008790420581887748, 6.19501987221679E-4, 5.705319096946335E-4, 3.505018703703704, 0.20463097251076234
0.00525, -4.00727725545068, 2.5106844571759916, 2.58089802389099, 2.5230301758655296, -0.07021356671499833, -0.008094827607446533, 1.5081630018608214, -0.009590288891495413, 8.734185239885429E-4, 6.220427600603366E-4, 3.5050363888888887, 0.2261710748803163
