This fits only B3, B4, B5, B6, B7, B8, B9, B10 into the virial expansion since maxPower is set to 8. The fitted B3, B4, B5, B6, B7, B8, B9, B10 values are in the file named VirialCoefficientsXlink3e-5_maxPower8.txt
Number of particles: 108
dryVolFracMax: 0.0025
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 55.82726330677766
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
Reservoir swelling ratio: 7.0053187131881725
Mean swelling ratio: 6.999786625514402
Dry volume fraction: 0.0025999999999999994
Reservoir volume fraction: 0.8938343571352789
Actual volume fraction: 0.0
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06873124037274171, 4.774648292756861E-5, -14.695315383417487, 1.1342546721336815, 1.1382752415393065, -4.911075668576096E-4, 1.5004920658948753, -5.213638970822166E-4, 6.4079680192491366E-6, 2.3848362205357808E-5, 7.0049801851851905, 0.06875648901040608, 4066.042517705961, 970.6961482720786, 5759.295129056003, 0.7059965545423298
3.0E-4, 0.10303130387003603, 7.161972439135293E-5, -8.538028209387678, 1.3045481670687076, 1.2742176184087421, -7.016496250695794E-4, 1.5007048978482107, -7.530065463303081E-4, 1.5345987695038038E-5, 3.601093356569076E-5, 7.004920030864195, 0.10313473351560913, 4065.937768833039, 970.6711413207154, 5759.14675882353, 0.70599655454233
4.0E-4, 0.13732712642589648, 9.549296585513724E-5, -7.969516549443446, 1.4075059447090774, 1.4462411741289056, -8.987683849922376E-4, 1.50090435669974, -9.765371141186377E-4, 3.0193649771847503E-5, 4.757507935455259E-5, 7.0049061111111115, 0.13751297802081217, 4065.9135301249257, 970.6653547553998, 5759.112426208226, 0.7059965545423299
5.0E-4, 0.17149230531492876, 1.1936620731892148E-4, -7.430808927923233, 1.6589333113392293, 1.630737397965363, -0.0010821660109385563, 1.501093839868552, -0.0011940355932402447, 5.197922724062091E-5, 5.9890355061067574E-5, 7.004804043209882, 0.1718912225260152, 4065.7358004564067, 970.6229249224814, 5758.860683239545, 0.7059965545423299
6.0E-4, 0.20568321190798441, 1.4323944878270585E-4, -6.93630481847012, 1.8005502513820861, 1.8208535761786686, -0.0012535633766073487, 1.5012704519319542, -0.001406727072591923, 8.123523533730416E-5, 7.192846064727005E-5, 7.0047469753086355, 0.20626946703121826, 4065.6364310304616, 970.5992022194844, 5758.719932657541, 0.7059965545423298
7.0E-4, 0.23978898954167302, 1.6711269024649017E-4, -6.425845206428793, 2.0039450970766093, 2.0257799489786397, -0.0014133501705340518, 1.501437922863441, -0.0016154210498813184, 1.1844244270912243E-4, 8.362843663814419E-5, 7.004726944444447, 0.24064771153642134, 4065.6015526921324, 970.5908756295564, 5758.670529670931, 0.7059965545423301
8.0E-4, 0.27373762219953834, 1.9098593171027449E-4, -5.920508771394234, 2.297269217802638, 2.2619112569975064, -0.0015603748850512996, 1.5015974060011015, -0.0018206928681456847, 1.6437995966003252E-4, 9.593802343435267E-5, 7.004673621399176, 0.2750259560416244, 4065.5087059871553, 970.5687101114861, 5758.539018115558, 0.7059965545423299
9.0E-4, 0.3076606310740265, 2.148591731740588E-4, -5.348357080465761, 2.546639560781629, 2.543517776581472, -0.0016960336415099467, 1.5017457650964117, -0.0020229727110088343, 2.202410338046947E-4, 1.0669803569419292E-4, 7.004562716049383, 0.30940420054682743, 4065.315600833101, 970.5226096517798, 5758.265496732472, 0.7059965545423297
0.001, 0.34141382482458404, 2.38732414637843E-4, -4.70515657318764, 2.8629874068549714, 2.8770729240112503, -0.0018157401250842988, 1.5018828862923943, -0.0022225944863660013, 2.8752886820098095E-4, 1.1932549308072161E-4, 7.004361100823045, 0.3437824450520305, 4064.9645699550683, 970.4388072026545, 5757.7682834305415, 0.70599655454233
0.0011, 0.3749527317434656, 2.626056561016274E-4, -4.04401937818547, 3.2813671345482787, 3.260878639950609, -0.0019206883195031876, 1.5020124188169384, -0.0024198249427019227, 3.6788734803462587E-4, 1.3124927516410938E-4, 7.004328847736624, 0.3781606895572336, 4064.908416204009, 970.4254014820732, 5757.688745151357, 0.7059965545423299
