This fits B3 to B5 into the virial expansion since maxPower is set to 3.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06871881611221493, 4.774648292756861E-5, -14.540650244841002, 1.1765759175752055, 1.2209893469595767, -4.873792582767811E-4, 1.5004886320195723, -5.213638970822166E-4, 9.903332560387289E-6, 2.408130624504822E-5, 7.004908837448567, 0.06875648901040608, 4065.9182775361623, 970.6664881163475, 5759.119150619565, 0.7059965545423299
3.0E-4, 0.10303791404688167, 7.161972439135293E-5, -8.354928766188543, 1.282408788744661, 1.3529544322840947, -6.942649086710473E-4, 1.5006972143882285, -7.530065463303081E-4, 2.3022188516661026E-5, 3.571944914259986E-5, 7.004861893004115, 0.10313473351560913, 4065.836533005292, 970.6469730471094, 5759.003364600009, 0.7059965545423299
4.0E-4, 0.13728490234072124, 9.549296585513724E-5, -7.780418488461778, 1.4793061893858972, 1.5010373971090727, -8.862977219726543E-4, 1.5008930514838927, -9.765371141186377E-4, 4.2289966337185124E-5, 4.7949425808798294E-5, 7.004834485596704, 0.13751297802081217, 4065.7888088942254, 970.6355797548381, 5758.935766379084, 0.7059965545423299
5.0E-4, 0.17150899261754837, 1.1936620731892148E-4, -7.275485999882085, 1.645186948466562, 1.6671757721646092, -0.0010657525271997267, 1.501076952218376, -0.0011940355932402447, 6.82966036166902E-5, 5.9986462423827784E-5, 7.004863786008233, 0.1718912225260152, 4065.8398292790066, 970.6477599744926, 5759.008033565735, 0.7059965545423298
6.0E-4, 0.20570796883914805, 1.4323944878270585E-4, -6.7545880216699015, 1.7774891948248057, 1.853725920681875, -0.0012336765900557887, 1.5012498504157867, -0.001406727072591923, 1.0169194889479503E-4, 7.135853364133907E-5, 7.004791995884776, 0.20626946703121826, 4065.714822928797, 970.617916906662, 5758.830969882623, 0.70599655454233
7.0E-4, 0.2397882824537242, 1.6711269024649017E-4, -6.242818794475486, 2.001672274034318, 2.0635542532904623, -0.001388260348859148, 1.5014129062981822, -0.0016154210498813184, 1.432097032539106E-4, 8.395099776825962E-5, 7.004719074074075, 0.24064771153642134, 4065.587848623017, 970.5876040240462, 5758.651118713435, 0.7059965545423297
8.0E-4, 0.27369429744812573, 1.9098593171027449E-4, -5.711714726659588, 2.324537930867703, 2.299930375847468, -0.001531749231046117, 1.5015694855243782, -0.0018206928681456847, 1.9366659946518794E-4, 9.527703763437998E-5, 7.00452032921811, 0.2750259560416244, 4065.241799736291, 970.5049909377353, 5758.160962090856, 0.7059965545423298
9.0E-4, 0.3077246011977555, 2.148591731740588E-4, -5.156714348989715, 2.4865593415502856, 2.5667450514989607, -0.0016609746385427423, 1.5017089737969411, -0.0020229727110088343, 2.5401606500580757E-4, 1.0798200746028458E-4, 7.004553847736622, 0.30940420054682743, 4065.300159850115, 970.5189233886271, 5758.243625545017, 0.7059965545423298
0.001, 0.34128912383923576, 2.38732414637843E-4, -4.582459172267235, 2.9469565182702864, 2.8680481953557995, -0.0017779642046725024, 1.5018487680253536, -0.0022225944863660013, 3.2527077558595826E-4, 1.1935950610754093E-4, 7.004307623456794, 0.3437824450520305, 4064.8714642729274, 970.4165798583406, 5757.6364050502, 0.7059965545423299
0.0011, 0.3750328653807516, 2.626056561016274E-4, -3.9475861217397004, 3.216483273732204, 3.208721391249398, -0.00187977094717768, 1.5019689279745523, -0.0024198249427019227, 4.086569632030113E-4, 1.3139703232123128E-4, 7.004265915637863, 0.3781606895572336, 4064.7988507088453, 970.3992446468518, 5757.533552474483, 0.7059965545423298
