Number of particles: 108
dryVolFracMax: 0.0022
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 59.02417080547838
Number of monomers: 2916666.666666667
Number of chains: 116.66666666666669
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 4.0E-5
Reservoir swelling ratio: 6.615767467021942
Mean swelling ratio: 6.613314547325104
Dry volume fraction: 0.0022
Reservoir volume fraction: 0.6370351219059244
Actual volume fraction: 0.0
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
The coupling constant increment - dlambda: 0.0
phi0, phi, rho, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_reconstructed, (PV/NKT)_FR, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2, B2_HS, B2*
2.0E-4, 0.05789638097629821, 4.774648292756861E-5, -14.727117400993395, 1.1397413192236314, 1.1319397805027047, 1.1397413192236314, 0.007801538720926704, -4.920179611451395E-4, 1.5004928784746538, -5.213638970822166E-4, 5.645075559177814E-6, 2.370086037789936E-5, 6.615345349794241, 0.05791228380962948, 3560.7066809668127, 4850.71952818917, 0.7340574239088331
3.0E-4, 0.08681446935034405, 7.161972439135293E-5, -8.554675945421751, 1.2659394432886077, 1.263251679721743, 1.2659394432886077, 0.0026877635668647315, -7.031680595588297E-4, 1.5007056337388243, -7.530065463303081E-4, 1.3990837275029236E-5, 3.58476494964492E-5, 6.6152805452674945, 0.08686842571444423, 3560.6020389691375, 4850.576975312151, 0.7340574239088331
4.0E-4, 0.11570995999092726, 9.549296585513724E-5, -8.04036742658525, 1.4064036099210502, 1.412038972596821, 1.4064036099210502, -0.005635362675770805, -9.00473650124101E-4, 1.5009055634204393, -9.765371141186377E-4, 2.7827588131514918E-5, 4.8235875863021706E-5, 6.615260205761321, 0.11582456761925897, 3560.569196523232, 4850.532234335716, 0.7340574239088332
5.0E-4, 0.1445805222666467, 1.1936620731892148E-4, -7.562778837462029, 1.5665794925008365, 1.5562441882198554, 1.5665794925008365, 0.010335304280981061, -0.001087067325623661, 1.5010957817897186, -0.0011940355932402447, 4.7624864771454556E-5, 5.934340284512908E-5, 6.615254927983543, 0.1447807095240737, 3560.560674464807, 4850.520624810156, 0.7340574239088332
6.0E-4, 0.1734603317156449, 1.4323944878270585E-4, -7.105832637035931, 1.6705158484488196, 1.6983720307382235, 1.6705158484488196, -0.027856182289403897, -0.001261569740771959, 1.5012740482737894, -0.001406727072591923, 7.346888937333273E-5, 7.168844244663125E-5, 6.615382520576134, 0.17373685142888845, 3560.7667027743396, 4850.801295371917, 0.734057423908833
7.0E-4, 0.20227654698049552, 1.6711269024649017E-4, -6.668936618482437, 1.8349109507638208, 1.8550921907006714, 1.8349109507638208, -0.020181239936850615, -0.001426345842314057, 1.5014446416264315, -0.0016154210498813184, 1.0561589370235547E-4, 8.345931386490596E-5, 6.615293086419754, 0.20269299333370322, 3560.6222894195867, 4850.604562323452, 0.7340574239088332
8.0E-4, 0.23100999730793084, 1.9098593171027449E-4, -6.224259862706995, 2.0847904195562963, 2.0422645626453115, 2.0847904195562963, 0.04252585691098476, -0.0015799880091713677, 1.5016071860962088, -0.0018206928681456847, 1.4476066048683676E-4, 9.594419848748032E-5, 6.615135452674895, 0.23164913523851796, 3560.3677606282586, 4850.257819980091, 0.7340574239088331
9.0E-4, 0.2597477897759916, 2.148591731740588E-4, -5.763925788669675, 2.2878073530922913, 2.265069651244739, 2.2878073530922913, 0.022737701847552305, -0.001723532359585547, 1.501760342068425, -0.0020229727110088343, 1.9192454101161862E-4, 1.075158104116689E-4, 6.615141306584362, 0.2606052771433327, 3560.3772126292633, 4850.270696358283, 0.7340574239088331
0.001, 0.2884035309321973, 2.38732414637843E-4, -5.232526771879033, 2.5355907878910804, 2.5169746531887007, 2.5355907878910804, 0.01861613470237966, -0.0018551951934358568, 1.5019042754782, -0.0022225944863660013, 2.481205218154498E-4, 1.1927877111469486E-4, 6.6150008127571995, 0.2895614190481475, 3560.1503692222777, 4849.961669571552, 0.7340574239088333
0.0011, 0.31711184557251976, 2.626056561016274E-4, -4.71174467658188, 2.733251403411373, 2.78718052414877, 2.733251403411373, -0.053929120737397085, -0.001973367109767115, 1.5020340571419504, -0.0024198249427019227, 3.1421897004242053E-4, 1.3223886289238717E-4, 6.615176800411527, 0.31851756095296224, 3560.43452301114, 4850.348769789611, 0.7340574239088332
0.0012, 0.34562848834339827, 2.864788975654117E-4, -4.197769958886293, 3.0461588221418916, 3.070363787487551, 3.0461588221418916, -0.024204965345659524, -0.0020801644301953357, 1.5021580788580107, -0.00261488210504646, 3.9075068746869854E-4, 1.4396698738242594E-4, 6.614938220164611, 0.34747370285777696, 3560.049309401103, 4849.82399666221, 0.734057423908833
0.0013, 0.3740451457959958, 3.10352139029196E-4, -3.6556359776672265, 3.4117844068247525, 3.376068362712097, 3.4117844068247525, 0.03571604411265561, -0.0021737958614429396, 1.5022741559314456, -0.002807947521593494, 4.78401524922113E-4, 1.5575013522844136E-4, 6.614792654320996, 0.3764298447625917, 3559.814291252748, 4849.503833496904, 0.7340574239088331
0.0014, 0.40255727402519154, 3.342253804929803E-4, -3.0112079621081453, 3.6549579510732406, 3.7291596132351827, 3.6549579510732406, -0.07420166216194213, -0.0022547081909924296, 1.5023737605856031, -0.002999174719602353, 5.782336440984903E-4, 1.66232884511433E-4, 6.614742572016457, 0.4053859866674065, 3559.733435043221, 4849.393683790774, 0.7340574239088329
