#Minimum dry volume fraction: 0.01
#Maximum dry volume fraction: 0.04
#Dry volume fraction increment: 0.001
#Initial configuration: FCC
#Number of particles: 32
#Dry volume fraction increment: 0.001
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 14.964407707272978
#Number of monomers: 2916666.666666667
#Number of chains: 2916.666666666667
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 0.001
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.0
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.011, 0.47390149794626973, 3.505119513888889, 0.0, 0.0
0.012, 0.5169678212983919, 3.5050781597222227, 0.0, 0.0
0.013, 0.5600404337146058, 3.5050624305555553, 0.0, 0.0
0.014, 0.6031194197597597, 3.5050627083333334, 0.0, 0.0
0.015, 0.6461603110855494, 3.504991423611111, 0.0, 0.0
0.016, 0.689314314323934, 3.505122673611111, 0.0, 0.0
0.017, 0.7323798002772608, 3.5050984722222225, 0.0, 0.0
0.018, 0.7475480500367445, 3.462634097222223, 0.0, 0.0
0.019, 0.7554587305113307, 3.413099201388889, 0.0, 0.0
0.02, 0.762594495963361, 3.3663185416666668, 0.0, 0.0
0.021, 0.7690679687817896, 3.322036458333333, 0.0, 0.0
0.022, 0.7749748510638735, 3.280038784722222, 0.0, 0.0
0.023, 0.780343671982199, 3.240066805555556, 0.0, 0.0
0.024, 0.7852679490287591, 3.201986180555557, 0.0, 0.0
0.025, 0.7897615634364351, 3.1655904166666655, 0.0, 0.0
0.026, 0.7939359702263878, 3.1308470833333324, 0.0, 0.0
0.027, 0.7977543244981398, 3.0975156249999993, 0.0, 0.0
0.028, 0.8013126129509278, 3.0655921527777785, 0.0, 0.0
0.029, 0.8046060321049691, 3.034925659722222, 0.0, 0.0
0.03, 0.8076501897438007, 3.0054053124999993, 0.0, 0.0
0.031, 0.8104681585577976, 2.9769712152777776, 0.0, 0.0
0.032, 0.8131262226644906, 2.9496108333333333, 0.0, 0.0
0.033, 0.815573005433327, 2.9231615972222214, 0.0, 0.0
0.034, 0.8178733512232377, 2.8976335416666665, 0.0, 0.0
0.035, 0.8200314840678388, 2.872969895833334, 0.0, 0.0
0.036, 0.8220472183146748, 2.849092812499999, 0.0, 0.0
0.037, 0.8239546945039474, 2.825994826388889, 0.0, 0.0
0.038, 0.8257293444743249, 2.8035884027777787, 0.0, 0.0
