phi0, phi, F_total_per_V, F_fitted, mu_kT_calculated, Pressure_calculated
3.6503559360e-01, 3.6503559360e-01, -6.3265060639e-03, 2.6328595043e-01, -1.7444831558e+01, -1.7835302529e+00
3.9280753225e-01, 3.9280753225e-01, -9.8739050288e-03, 1.1109875235e-01, -2.7690331773e+01, -2.7077842771e+00
4.1158081038e-01, 4.1158081038e-01, -1.3686523926e-02, -2.3626252239e-02, -3.2113336030e+01, -3.1317556650e+00
4.3674311441e-01, 4.3674311441e-01, -1.7885520409e-02, -2.2739890249e-01, -3.5221665941e+01, -3.4449788786e+00
4.5297523895e-01, 4.5297523895e-01, -2.2480031061e-02, -3.6515885390e-01, -3.5689624126e+01, -3.4943125510e+00
4.8218552581e-01, 4.8218552581e-01, -2.7453046476e-02, -6.0964345313e-01, -3.3904568259e+01, -3.2932237887e+00
4.9134374997e-01, 4.9134374997e-01, -3.3055371441e-02, -6.8253948120e-01, -3.2733295502e+01, -3.1570656016e+00
5.2639382602e-01, 5.2639382602e-01, -3.9190726785e-02, -9.3071280514e-01, -2.6050868609e+01, -2.3430287116e+00
5.3813401642e-01, 5.3813401642e-01, -4.5831458482e-02, -9.9975003069e-01, -2.3167032444e+01, -1.9765193951e+00
6.9570106887e-01, 6.9570106887e-01, -5.3698494774e-02, -9.8409107808e-01, 2.3058348512e+01, 4.8137690810e+00
7.5524134814e-01, 7.5524134814e-01, -1.3229539187e-01, -5.8527636394e-01, 3.1240254732e+01, 6.2179127450e+00
7.8931425988e-01, 7.8931425988e-01, -2.0070632416e-01, -3.3229073454e-01, 3.0129510188e+01, 6.0097419488e+00
8.2322993432e-01, 8.2322993432e-01, -2.4723448472e-01, -1.1094180932e-01, 2.3550739924e+01, 4.7394080569e+00
8.5677020957e-01, 8.5677020957e-01, -2.7851609571e-01, 3.0628142944e-02, 1.0670618860e+01, 2.1519276572e+00
8.8971047626e-01, 8.8971047626e-01, -3.0039704977e-01, 4.1707337306e-02, -9.1096464419e+00, -1.9766211139e+00
9.2115544069e-01, 9.2115544069e-01, -3.1379142189e-01, -1.2072821611e-01, -3.5450878913e+01, -7.6752626051e+00
9.4899647896e-01, 9.4899647896e-01, -3.1437904840e-01, -4.5260107161e-01, -6.5519459871e+01, -1.4391240152e+01
9.6858312045e-01, 9.6858312045e-01, -5.9316775301e-01, -8.1667638929e-01, -9.0790293087e+01, -2.0176961651e+01
5.7497226197e-01, 5.7497226197e-01, -1.1798729872e+00, -1.1586794211e+00, -1.2669345665e+01, -5.8037218533e-01
5.7122463063e-01, 5.7122463063e-01, -1.2257502951e+00, -1.1468316514e+00, -1.3813397480e+01, -7.3689908893e-01
5.8698084171e-01, 5.8698084171e-01, -1.2715988604e+00, -1.1896617109e+00, -8.9277330968e+00, -6.1393613343e-02
5.6973410631e-01, 5.6973410631e-01, -1.3182592830e+00, -1.1418359802e+00, -1.4264701952e+01, -7.9836317534e-01
5.6761306351e-01, 5.6761306351e-01, -1.3650739435e+00, -1.1344510732e+00, -1.4903027137e+01, -8.8502292174e-01
5.8058061994e-01, 5.8058061994e-01, -1.4121505339e+00, -1.1744839823e+00, -1.0934798873e+01, -3.4111646508e-01
5.6870974716e-01, 5.6870974716e-01, -1.4596361905e+00, -1.1383097920e+00, -1.4573564263e+01, -8.4033502951e-01
5.4955336722e-01, 5.4955336722e-01, -1.5083504431e+00, -1.0588019213e+00, -2.0118511806e+01, -1.5806704240e+00
5.5359326754e-01, 5.5359326754e-01, -1.5570936248e+00, -1.0776630446e+00, -1.8989939591e+01, -1.4320598574e+00
5.4601300400e-01, 5.4601300400e-01, -1.6062712273e+00, -1.0413871084e+00, -2.1086940990e+01, -1.7073167971e+00
5.1771635317e-01, 5.1771635317e-01, -1.6552544390e+00, -8.7470328115e-01, -2.7994607106e+01, -2.5853090830e+00
5.3510141667e-01, 5.3510141667e-01, -1.7049407080e+00, -9.8269746472e-01, -2.3937934605e+01, -2.0752792047e+00
