phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.2000000000e-03, 7.5526119821e-01, -1.0266503322e-02, -5.7722608597e+02, -5.5767870933e+02
2.2029145729e-03, 7.5624839759e-01, -1.0645420139e-02, -5.1245157478e+02, -4.9220955898e+02
2.2058291457e-03, 7.5723559697e-01, -1.0980357401e-02, -4.5079593927e+02, -4.2994463552e+02
2.2087437186e-03, 7.5822279635e-01, -1.1273451393e-02, -3.9216235723e+02, -3.7078272754e+02
2.2116582915e-03, 7.5921385266e-01, -1.1526771769e-02, -3.3645582376e+02, -3.1462459028e+02
2.2145728643e-03, 7.6020783090e-01, -1.1742322605e-02, -2.8358313363e+02, -2.6137292480e+02
2.2174874372e-03, 7.6120180914e-01, -1.1922043805e-02, -2.3345286659e+02, -2.1093236003e+02
2.2204020101e-03, 7.6219450724e-01, -1.2067812282e-02, -1.8597536994e+02, -1.6320943217e+02
2.2233165829e-03, 7.6317920451e-01, -1.2181443127e-02, -1.4106274309e+02, -1.1811256586e+02
2.2262311558e-03, 7.6416390178e-01, -1.2264690927e-02, -9.8628820405e+01, -7.5552053603e+01
2.2291457286e-03, 7.6514859906e-01, -1.2319250874e-02, -5.8589155670e+01, -3.5440037747e+01
2.2320603015e-03, 7.6614291919e-01, -1.2346760061e-02, -2.0861005145e+01, 2.3095101858e+00
2.2349748744e-03, 7.6714122930e-01, -1.2348798488e-02, 1.4636688067e+01, 3.7780807813e+01
2.2378894472e-03, 7.6813953940e-01, -1.2326890436e-02, 4.7983310530e+01, 7.1056281362e+01
2.2408040201e-03, 7.6914028037e-01, -1.2282505498e-02, 7.9256595047e+01, 1.0221658542e+02
2.2437185930e-03, 7.7014740238e-01, -1.2217059701e-02, 1.0853263683e+02, 1.3134062186e+02
2.2466331658e-03, 7.7115452439e-01, -1.2131916762e-02, 1.3588590953e+02, 1.5850555869e+02
2.2495477387e-03, 7.7216164639e-01, -1.2028389088e-02, 1.6138928183e+02, 1.8378684977e+02
2.2524623116e-03, 7.7315534884e-01, -1.1907738969e-02, 1.8511403367e+02, 2.0725825340e+02
2.2553768844e-03, 7.7414658648e-01, -1.1771179627e-02, 2.0712987222e+02, 2.2899185116e+02
2.2582914573e-03, 7.7513782412e-01, -1.1619876323e-02, 2.2750494862e+02, 2.4905806743e+02
2.2612060302e-03, 7.7612450324e-01, -1.1454947462e-02, 2.4630587403e+02, 2.6752568817e+02
2.2641206030e-03, 7.7710472448e-01, -1.1277465584e-02, 2.6359773572e+02, 2.8446187929e+02
2.2670351759e-03, 7.7808494572e-01, -1.1088458493e-02, 2.7944411420e+02, 2.9993220668e+02
2.2699497487e-03, 7.7906516697e-01, -1.0888910315e-02, 2.9390709822e+02, 3.1400065352e+02
2.2728643216e-03, 7.8007322150e-01, -1.0679762416e-02, 3.0704730221e+02, 3.2672964036e+02
2.2757788945e-03, 7.8108176433e-01, -1.0461914503e-02, 3.1892388203e+02, 3.3818004311e+02
2.2786934673e-03, 7.8209030717e-01, -1.0236225676e-02, 3.2959455093e+02, 3.4841121170e+02
2.2816080402e-03, 7.8308497889e-01, -1.0003515370e-02, 3.3911559711e+02, 3.5748098957e+02
2.2845226131e-03, 7.8406838032e-01, -9.7645642691e-03, 3.4754189808e+02, 3.6544573105e+02
2.2874371859e-03, 7.8505178175e-01, -9.5201154445e-03, 3.5492693849e+02, 3.7236032052e+02
2.2903517588e-03, 7.8603466515e-01, -9.2708752072e-03, 3.6132282626e+02, 3.7827819183e+02
2.2932663317e-03, 7.8701377428e-01, -9.0175140613e-03, 3.6678030808e+02, 3.8325134505e+02
2.2961809045e-03, 7.8799288341e-01, -8.7606676962e-03, 3.7134878640e+02, 3.8733036647e+02
2.2990954774e-03, 7.8897199254e-01, -8.5009378754e-03, 3.7507633525e+02, 3.9056444595e+02
2.3020100503e-03, 7.8996957997e-01, -8.2388933934e-03, 3.7800971703e+02, 3.9300139610e+02
2.3049246231e-03, 7.9097548264e-01, -7.9750709137e-03, 3.8019439832e+02, 3.9468767009e+02
2.3078391960e-03, 7.9198138532e-01, -7.7099759610e-03, 3.8167456669e+02, 3.9566838041e+02
2.3107537688e-03, 7.9298296786e-01, -7.4440837216e-03, 3.8249314609e+02, 3.9598731637e+02
2.3136683417e-03, 7.9397216602e-01, -7.1778399615e-03, 3.8269181442e+02, 3.9568696385e+02
2.3165829146e-03, 7.9496136419e-01, -6.9116618715e-03, 3.8231101839e+02, 3.9480852119e+02
2.3194974874e-03, 7.9595056236e-01, -6.6459389336e-03, 3.8138999119e+02, 3.9339192014e+02
2.3224120603e-03, 7.9694521963e-01, -6.3810337215e-03, 3.7996676774e+02, 3.9147584142e+02
