phi0, phi, F_total_per_V, F_fitted, mu_kT_calculated, Pressure_calculated
2.4300000000e-03, 7.0289394756e-01, -2.4787517640e-02, -2.6939912477e-02, 4.3949689907e+00, 7.6443139623e-01
2.4400000000e-03, 7.0393165899e-01, -2.2250934705e-02, -2.5882607944e-02, 4.1425988040e+00, 7.2205174176e-01
2.4500000000e-03, 7.0864533520e-01, -2.9539254278e-02, -2.1811392845e-02, 3.1284812645e+00, 5.5107725386e-01
2.4600000000e-03, 7.1146446411e-01, -2.2962559696e-02, -1.9880965521e-02, 2.6198570280e+00, 4.6486271094e-01
2.4700000000e-03, 7.1435883876e-01, -1.9617839111e-02, -1.8230639535e-02, 2.1684937319e+00, 3.8804688442e-01
2.4800000000e-03, 7.1732017087e-01, -1.4667032687e-02, -1.6840240054e-02, 1.7762609582e+00, 3.2102062431e-01
2.4900000000e-03, 7.2007814016e-01, -1.3838804211e-02, -1.5774555230e-02, 1.4699975431e+00, 2.6847594276e-01
2.5000000000e-03, 7.2313044842e-01, -1.3592107780e-02, -1.4808246936e-02, 1.1925542097e+00, 2.2068445899e-01
2.5100000000e-03, 7.2594655344e-01, -1.3195709606e-02, -1.4077494427e-02, 9.8943363550e-01, 1.8555324338e-01
2.5200000000e-03, 7.2886928460e-01, -1.1303079081e-02, -1.3446329227e-02, 8.2765104492e-01, 1.5746152109e-01
2.5300000000e-03, 7.3171944921e-01, -1.3153034494e-02, -1.2924309130e-02, 7.1355835953e-01, 1.3757235887e-01
2.5400000000e-03, 7.3464388764e-01, -1.1420529143e-02, -1.2455191092e-02, 6.3672104063e-01, 1.2412543423e-01
2.5500000000e-03, 7.3746239847e-01, -1.1686118352e-02, -1.2041928663e-02, 5.9687341775e-01, 1.1712518199e-01
2.5600000000e-03, 7.4033115307e-01, -1.0307092854e-02, -1.1638345361e-02, 5.8639769812e-01, 1.1527888661e-01
2.5700000000e-03, 7.4321883181e-01, -1.2638061074e-02, -1.1230080872e-02, 6.0204163449e-01, 1.1805058474e-01
2.5800000000e-03, 7.4613933181e-01, -8.9965180638e-03, -1.0798257694e-02, 6.3998232077e-01, 1.2479680091e-01
2.5900000000e-03, 7.4899091127e-01, -1.2273648227e-02, -1.0345011089e-02, 6.9403028893e-01, 1.3444346270e-01
2.6000000000e-03, 7.5187884487e-01, -1.1205581407e-02, -9.8438948770e-03, 7.6139795584e-01, 1.4651319258e-01
2.6100000000e-03, 7.5476450672e-01, -1.1990062750e-02, -9.2936972362e-03, 8.3691173852e-01, 1.6009410609e-01
2.6200000000e-03, 7.5763272785e-01, -1.2629546764e-02, -8.6937637254e-03, 9.1562814214e-01, 1.7430479056e-01
2.6300000000e-03, 7.6053713618e-01, -8.4564088782e-03, -8.0313607076e-03, 9.9451255537e-01, 1.8859990049e-01
2.6400000000e-03, 7.6338688391e-01, -7.1955121928e-03, -7.3297991712e-03, 1.0666811672e+00, 2.0172731552e-01
2.6500000000e-03, 7.6625078403e-01, -3.1237889514e-03, -6.5783271110e-03, 1.1295753440e+00, 2.1321030212e-01
2.6600000000e-03, 7.6909663844e-01, -7.1544759268e-03, -5.7934851061e-03, 1.1781555037e+00, 2.2211261142e-01
2.6700000000e-03, 7.7202124676e-01, -2.7623677934e-03, -4.9588520836e-03, 1.2090654767e+00, 2.2779747400e-01
2.6800000000e-03, 7.7486454576e-01, -3.3984425793e-03, -4.1343244817e-03, 1.2162180479e+00, 2.2911676552e-01
2.6900000000e-03, 7.7771616770e-01, -1.0340573072e-03, -3.3114610627e-03, 1.1963369854e+00, 2.2543063393e-01
2.7000000000e-03, 7.8060245465e-01, -2.3298465144e-03, -2.5031158556e-03, 1.1441771455e+00, 2.1572637237e-01
2.7100000000e-03, 7.8342141998e-01, -1.4848048768e-03, -1.7600863114e-03, 1.0578158988e+00, 1.9960137056e-01
2.7200000000e-03, 7.8632512137e-01, -6.9290423595e-04, -1.0693304495e-03, 9.2778836467e-01, 1.7523496367e-01
2.7300000000e-03, 7.8920169831e-01, -1.5951923486e-03, -4.8934132064e-04, 7.5340508711e-01, 1.4243690737e-01
2.7400000000e-03, 7.9198134941e-01, -8.0171044175e-04, -5.8306632468e-05, 5.3759655793e-01, 1.0170255869e-01
2.7500000000e-03, 7.9491282099e-01, -3.5937863906e-04, 2.2250240249e-04, 2.5513328165e-01, 4.8194512232e-02
2.7600000000e-03, 7.9775934944e-01, -1.0750905803e-03, 2.8625349648e-04, -7.7451089768e-02, -1.5036892217e-02
2.7700000000e-03, 8.0062925416e-01, -9.2070385917e-04, 1.0059032559e-04, -4.7536438059e-01, -9.0959910292e-02
2.7800000000e-03, 8.0349580220e-01, 1.6946691370e-03, -3.7973991414e-04, -9.3997200913e-01, -1.7992615429e-01
