Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 50.08833798856053
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
DryVolFrac increment: 1.0E-4
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	phi, 	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter, 		kT/E
8.0E-4, 0.2571479002893269, -89.02730698641888, -67.3956959204414, 1.5044410217586388, -67.4908216802702, 0.09512575982880377, -0.004139354487297623, 1.5041534297831445, -0.001913486020702557, 1.1133931445482545E-4, 7.00948721193416, 0.27502595604162433, 0.0, 0.004087148348820234, 0.9828733406758094, 0.005714441243849956
9.0E-4, 0.28696397939400253, -106.75343610919771, -77.64472866672625, 1.5965030519947967, -77.87755789598337, 0.23282922925711513, -0.006475245726250276, 1.5064940655181405, -0.0021398989376261754, 1.3088869816612342E-4, 7.010179897119334, 0.30940420054682743, 0.0, 0.004250836092672318, 1.002354668053694, 0.005714825974071586
0.001, 0.3124314293202399, -128.7796173122658, -90.24650162376552, 1.7116534241764398, -90.39292416258876, 0.1464225388232245, -0.009236455601944717, 1.5092615647621512, -0.0023399140261760876, 1.515424686448389E-4, 7.01006161522634, 0.3437824450520304, 0.0, 0.004724994777175353, 0.9847147141141601, 0.0057142878435790245
0.0011, 0.3424498119568082, -146.1945992434446, -97.68102849271149, 1.7208931258589901, -97.9027296850026, 0.22170119229111157, -0.012624019525669194, 1.5126518676142546, -0.0026004113728394563, 1.6818835314522554E-4, 7.012249444444444, 0.3781606895572335, 0.0, 0.0044121149220674345, 1.0519261405973304, 0.005714324531093826
0.0012, 0.36263436707899555, -161.92106952721514, -104.87052536611793, 1.8255167994126387, -104.99377064756573, 0.1232452814477931, -0.01621673353882458, 1.5162521206688226, -0.002833792194175951, 1.9270762140944725E-4, 7.011675997942382, 0.4125389340624365, 0.0, 0.00444111762015858, 1.0793410752654193, 0.005714446338583761
0.0013, 0.3960892801649134, -178.77619199006202, -112.24205711569387, 1.7852833816158762, -112.32331033573904, 0.0812532200451763, -0.02035518110746402, 1.5203914197964685, -0.0030938839815276738, 2.0619081877335053E-4, 7.013466193415646, 0.44691717856763963, 0.0, 0.004214352661943073, 1.1379594159844884, 0.005715164699578752
0.0014, 0.4124714677564609, -193.60821082847704, -121.23167438867354, 1.8662652893101344, -122.2704436948854, 1.0387693062118573, -0.024752667937533803, 1.5247952787893075, -0.003354978955834537, 2.2830884131981355E-4, 7.012384248971192, 0.4812954230728427, 0.0, 0.00402095365903606, 1.1941418118859297, 0.005714751114574098
0.0015, 0.43758211754095605, -217.01194945531853, -134.71878895518918, 2.2317672733325224, -135.39756023650173, 0.6787712813125495, -0.029599292240423004, 1.5296657788869747, -0.003492796331335975, 2.884039484780506E-4, 7.014932962962966, 0.5156736675780457, 0.0, 0.004866743338553731, 1.1106800179382754, 0.005714311429478156
0.0016, 0.45298431215968843, -235.40341208994477, -141.76804175615047, 2.153806502796937, -142.48271074319823, 0.7146689870477586, -0.03511422527728055, 1.5351801976079633, -0.003803321817498024, 2.991716425118005E-4, 7.014808950617289, 0.5500519120832488, 0.0, 0.004242666765164215, 1.2154346887344025, 0.005714288460068031
0.0017, 0.48903545671546517, -253.14281044953083, -155.32526682264293, 2.3699104357284257, -157.1575177398991, 1.8322509172561647, -0.04083897723686695, 1.5409234698853882, -0.004049693009922237, 3.599233343809642E-4, 7.017103868312763, 0.5844301565884519, 0.0, 0.004180579862642963, 1.2494219712455952, 0.00571442037680479
0.0018, 0.5001489299815811, -286.8077896895845, -176.56670489601225, 2.6130781367154823, -177.20548528495308, 0.638780388940821, -0.04720090415464581, 1.5473074799339825, -0.0041456144087730195, 4.28999101343472E-4, 7.016943055555548, 0.6188084010936549, 0.0, 0.005222181852132321, 1.1393992605030498, 0.005714316774183715
0.0019, 0.5364856513319223, -293.73125503667103, -172.0172587851758, 2.4169101690466546, -174.16272399279384, 2.1454652076180207, -0.05453304047077438, 1.554632306865972, -0.0045293960000604245, 4.380894181319341E-4, 7.021346193415635, 0.653186645598858, 0.0, 0.004157476007171472, 1.3002117457304312, 0.005714285825712636
0.002, 0.520324882862991, -339.45157437119985, -227.39683032051983, 2.9379294714831286, -245.3209979697207, 17.924167649200893, -0.061225538508547526, 1.5613684326976813, -0.004693488129608132, 5.775521948435334E-4, 7.0195488786008235, 0.687564890104061, 0.0, 0.004614928905181622, 1.2553704979928744, 0.005714320393128617
0.0021, 0.6263068000262804, -1595.5679289715426, -1525.1117330457669, 5.892025245296651, -1566.9272726216684, 41.81553957590164, -0.07074065927122516, 1.5711193290427068, -0.004226410885935348, 0.0013516606022697356, 7.048740195473256, 0.721943134609264, 0.0, 0.011832917560336623, 0.7968408792158187, 0.005714318190868253
0.0022, 0.7552141993739625, -2862.425193712108, -2662.36361225918, 10.29696744286467, -2699.431611834889, 37.067999575708804, -0.1374082953889633, 1.6381339198190634, -0.0017228333631110894, 0.0027028267224799363, 7.083115740740737, 0.756321379114467, 0.007317398761843504, 0.3784227851223521, 0.14310781424009936, 0.005714292432441236
0.0023, 0.7894040441104503, -2451.670854245283, -2086.71924398237, 11.590142349586959, -2124.272697715939, 37.55345373356912, -0.2074113949142426, 1.7082534071993698, -0.0014436057668897582, 0.003367238731395885, 7.093771111111106, 0.79069962361967, 0.03583638631847671, 0.5863367614065724, 0.11668458265551741, 0.005714672306406881
0.0024, 0.8231926515880064, -1812.9795076161804, -1380.4477013034518, 13.777353890442194, -1455.2166862590075, 74.76898495555562, -0.25446695597520325, 1.7555282532077068, -0.0012377466573654636, 0.004788675427988501, 7.111222191358025, 0.8250778681248729, 0.09547110259754202, 0.803606027583386, 0.1010942795475925, 0.005714291473523527
0.0025, 0.8567674091541552, -1429.8354235299328, -948.4634540407003, 16.750737707569986, -1097.5740289470682, 149.11057490636784, -0.2939747900226703, 1.795360338230424, -9.930441628110652E-4, 0.007336251080753663, 7.137573343621405, 0.8594561126300759, 0.19419751985324288, 1.1220250008323516, 0.0867274338556729, 0.005714374564035633
0.0026, 0.8896735239375512, -882.7003826685575, -371.9238524276731, 21.02495646878057, -682.3314317800873, 310.4075793524142, -0.322736568614008, 1.8246651017637867, -7.83025511604471E-4, 0.012495081033535626, 7.178257685185187, 0.8938343571352789, 0.3491244604618014, 1.4705418908651837, 0.07675326214938252, 0.005714300319960003
0.0027, 0.921098154442751, -301.6449422061493, 213.33871656674614, 26.813907509935067, -409.0953450094986, 622.4340615762447, -0.33612062877391286, 1.8389434468277277, -6.151698820367923E-4, 0.02311828134839435, 7.241601419753087, 0.9282126016404819, 0.588069777433859, 1.8077188907133739, 0.07010250983083219, 0.005714498833448102
0.0028, 0.9490055833564687, -5953.598610558939, -5438.210944305956, 34.11716481356602, -6458.302884455932, 1020.0919401499763, -0.33713905369724134, 1.8414041384986686, -5.19427768968281E-4, 0.04392658361318923, 7.332422962962962, 0.9625908461456849, 0.9475049474283247, 2.036339392967013, 0.0668557383595695, 0.005714518773939158
0.0029, 0.9684594438850628, -20021.39516175722, -18981.654573183336, 41.387845014590866, -17962.942731699877, -1018.7118414834571, -0.6203840231905614, 2.1267200800104122, -0.0011788592949876137, 0.07496169686854334, 7.436158076131696, 0.9969690906508879, 1.4133071126003696, 1.0920295058648941, 0.09236907049317286, 0.00571759257138909
0.003, 0.5814446545851518, -15123.66899731938, -13190.02741869864, 1.714481405254873, -11629.125398934659, -1560.9020197639813, -1.2930902559741873, 2.7931646125751994, -0.007459579623819854, 4.5644826351792886E-4, 7.011144053497943, 1.031347335156091, 0.6291590426371608, 0.003104261335104045, 1.7521544026891056, 0.005714286734980922
