Starting dry volume fraction: 0.0028
Maximum dry volume fraction: 0.0039
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 48.769606624490535
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00281, 0.7115643465237956, 473.5910552110831, 473.3019003453544, 492.43522454661274, 10.308195794192427, 502.7434203408052, 19.133324201257853, 471.194770190537, 2.107130154817393, -0.012641386472956187, -0.012372277396102757, 1.5133736100181652, -0.0018315552784064916, 0.0015624462015530615, 6.365512026748974, 0.7123055704917012, 0.0, 0.5470786670716248, 0.12913827385810306, 0.003428643053057398
0.00282, 0.7141045564900652, -125.21974568273352, -106.49350293462479, -109.35249617444163, 10.454932925285394, -98.89756324915624, -2.8589932398170306, -124.08298044659041, 17.589477511965626, -0.010682235544347324, -0.010430176719882098, 1.5114311985259292, -0.0018671401106042016, 0.0016150812861389743, 6.36684543209876, 0.7148404657603549, 0.0, 0.5314014718615733, 0.13118456919780808, 0.0034286127587333987
0.00283, 0.7166323028573324, -70.38030434307946, -67.41868791452025, -50.78436414997248, 10.62272686934675, -40.16163728062573, 16.634323764548125, -74.01048301236548, 6.591795097845239, -0.0132392667178997, -0.013038702871390424, 1.5140042268609182, -0.0018584480940419888, 0.0016578842475327127, 6.366294567901242, 0.7173753610290087, 0.0, 0.5395563781410747, 0.13034313336851688, 0.0034285732925781924
0.00284, 0.7191884376873855, -76.84167272700982, -70.9678668322325, -60.590528466360304, 10.618298643581161, -49.97222982277914, 10.37733836587252, -82.48230578647279, 11.514438954240294, -0.011018276744322717, -0.010875697056288361, 1.5117827566340478, -0.0018008509738324532, 0.0016582712857980985, 6.366237510288067, 0.7199102562976624, 0.0, 0.5750209394131175, 0.12640823785316976, 0.003428572133711869
0.00285, 0.7217172014958431, -443.5394399310195, -433.7345420094977, -423.54177529907827, 10.855887454369089, -412.68588784470916, 10.192766710419559, -442.23106805069887, 8.496526041201138, -0.013606158679398298, -0.01350911628778581, 1.5143929912245682, -0.0018215820022415114, 0.0017245396106290243, 6.367570195473246, 0.7224451515663162, 0.0, 0.5668830197338197, 0.12746158742142366, 0.0034286333008580893
0.00286, 0.7242156086874173, 1332.7184422256507, 1330.2002378824561, 1351.9576165259537, 10.828507895140357, 1362.786124421094, 21.757378643497457, 1331.7718764725971, -1.5716385901408845, -0.013136021573959693, -0.01308199568641531, 1.5139201256486121, -0.0017649671292547567, 0.0017109412417103751, 6.36765805555555, 0.7249800468349699, 0.0, 0.6031862599746888, 0.12371073432038801, 0.0034288925857563473
0.00287, 0.7267813979224494, 1232.0056474170901, 1224.6766627633247, 1242.5767189698843, 10.911782957332582, 1253.488501927217, 17.90005620655937, 1219.4737986479329, 5.2028641153917805, -0.007242896844500012, -0.007241856458761916, 1.5080341116743115, -0.0017300405989237777, 0.001729000213185682, 6.368019475308646, 0.7275149421036237, 3.390084032549138E-9, 0.6280164492887671, 0.1213816070687604, 0.0034287829186239282
0.00288, 0.7292746637559169, -1108.8533217988424, -1102.2776177960839, -1098.3033476493554, 10.999278744477524, -1087.3040689048778, 3.974270146728278, -1122.554071794565, 20.276453998481244, -0.0072536279128528735, -0.007309903094306564, 1.5080522261648934, -0.0016915566884961055, 0.0017478318699497958, 6.368361502057614, 0.7300498373722774, 1.5075469328913315E-5, 0.6559653936563585, 0.11890536735062177, 0.003428694405972774
0.00289, 0.7317863360007342, -863.9246043970876, -854.890984404476, -845.7529636384381, 11.277971462432955, -834.4749921760052, 9.138020766037906, -870.4503564099612, 15.559372005485203, -0.01253728146434463, -0.012652420557115782, 1.5133674085636437, -0.0017228117782006366, 0.0018379508709717894, 6.3690241255144056, 0.7325847326409312, 9.849147585769201E-5, 0.6399126374440937, 0.12052672740496047, 0.003428590170066964
0.0029, 0.7343192989987241, 1856.589101723715, 1864.0570225297904, 1873.0244181507717, 11.302467512941044, 1884.3268856637128, 8.96739562098097, 1850.932275643629, 13.124746886161258, -0.011378564050308074, -0.01155355740632446, 1.5122086512071296, -0.0016598484261058858, 0.0018348417821222708, 6.368460174897122, 0.7351196279095848, 2.434072882730999E-4, 0.6842345273633629, 0.11669204936211124, 0.003428573886644337
