Starting dry volume fraction: 0.0022
Maximum dry volume fraction: 0.0028
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 54.465075645095865
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00221, 0.46818202273947734, -27.309892837665735, -30.98496791749643, -17.465443327515032, 2.162324266478403, -30.735946870239328, -0.2490210472571015, -0.0051939181371683275, 1.505267785110234, -0.005159065232249616, 3.334130225586212E-4, 6.334094063786009, 0.5602118543724768, 0.0, 0.004775100772269115, 1.2759017930617826, 0.0034288086352959267
0.00222, 0.46034542343716833, 1.5032930288694089, -13.426866540871993, 11.428710219270426, 2.343581310673546, -20.952220979568658, 7.525354438696665, -0.005260331762978307, 1.5053454248380302, -0.005117207476043973, 3.5165347933574997E-4, 6.333715082304526, 0.5627467496411305, 0.0, 0.005187078658537175, 1.226028789557373, 0.003428600526755599
0.00223, 0.46722496976157224, 10.624375417227805, 23.746450468945437, 20.367051451692237, 2.599578658327383, 23.39185190834187, 0.35459856060356637, -0.005186740441674523, 1.5052893169164911, -0.005086489563358964, 3.7251199264511965E-4, 6.334541440329216, 0.5652816449097843, 0.0, 0.005551696878027321, 1.1868609528499927, 0.0034285726198306273
0.00224, 0.4701647816100664, -10.10067968346093, -25.787397744707256, -0.35874278419945643, 2.316252238843979, -30.29856684214121, 4.511169097433951, -0.005209604107030833, 1.5052947308942795, -0.0051789616582708, 3.5668747747999305E-4, 6.334378847736625, 0.567816540178438, 0.0, 0.005085625898814606, 1.2419045785691651, 0.003428593771625702
0.00225, 0.4553879429880456, -3.4799859896567717, -13.232237362213706, 6.265872299465404, 2.771965224977741, -22.184287516384234, 8.952050154170529, -0.0052349676346808436, 1.50535059301086, -0.005011317408456375, 3.9723594809487725E-4, 6.334073724279842, 0.5703514354470918, 0.0, 0.006458295597014714, 1.1036879655530902, 0.0034285811563836903
0.00226, 0.46805704134563164, -31.74224440209589, -0.24442791094242633, -22.055722997609678, 2.8304265726514486, 3.178915334714236, -3.423343245656662, -0.005226219816195165, 1.5053473304128357, -0.005130410085893402, 4.0296135467056496E-4, 6.334387829218108, 0.5728863307157455, 0.0, 0.005723529846793757, 1.1741275113168963, 0.003428595642388166
0.00227, 0.4707708724623282, -22.222332100144516, 26.120773946895675, -12.282673052317726, 2.5973170742666656, 34.78002488254816, -8.659250935652487, -0.005386525687723582, 1.5054919637454187, -0.005160860530471946, 3.8445671779883207E-4, 6.333800617283954, 0.5754212259843993, 0.0, 0.005668563620418655, 1.1815439123504337, 0.00342857625918858
0.00228, 0.4676549270804329, 14.019420515542878, 26.788918843528215, 23.81590517174539, 2.3484452031410528, 24.72158865755245, 2.0673301859757665, -0.005332323636218196, 1.505422160008627, -0.005359243175376527, 3.65003760831357E-4, 6.334365853909464, 0.577956121253053, 0.0, 0.004562022081845019, 1.3189976383224635, 0.0034286245080155284
0.00229, 0.47291150978509205, -9.610803616954241, -31.682526314430163, 0.11960582769901415, 2.638596296088863, -39.76340365407486, 8.080877339644694, -0.005319587885493604, 1.5054301621179624, -0.0052220665301714285, 3.9752927971757965E-4, 6.334332654320992, 0.5804910165217068, 0.0, 0.005559525492003451, 1.196568020308485, 0.0034286218021238896
0.0023, 0.46738937793396207, 2.5395761898874767, 4.922685820809987, 12.334446228357391, 2.784006214350315, 1.197459323001412, 3.7252264978085745, -0.005378211843299908, 1.5054985342146125, -0.0052530067473871775, 4.070589794636506E-4, 6.3348106687242804, 0.5830259117903605, 0.0, 0.005504216869326105, 1.204312712327302, 0.0034285716082271566
