phi0, phi, F_total_per_V, F_fitted, mu_kT_calculated, Pressure_calculated
2.1000000000e-03, 6.9570106887e-01, -5.3698494774e-02, -5.5478958413e-02, 4.2304957069e+01, 7.0817574403e+00
2.2000000000e-03, 7.5524134814e-01, -1.3229539187e-01, -1.2370062806e-01, -2.1193266844e+01, -3.6974561235e+00
2.3000000000e-03, 7.8931425988e-01, -2.0070632416e-01, -2.1831279993e-01, -2.4791126903e+00, -2.4884004001e-01
2.4000000000e-03, 8.2322993432e-01, -2.4723448472e-01, -2.2798630223e-01, -4.1243310538e+00, -5.8257461871e-01
2.5000000000e-03, 8.5677020957e-01, -2.7851609571e-01, -2.9174598120e-01, -8.0592474382e+00, -1.3566809216e+00
2.6000000000e-03, 8.8971047626e-01, -3.0039704977e-01, -2.9454386607e-01, 6.6929419357e+00, 1.7161462220e+00
2.7000000000e-03, 9.2115544069e-01, -3.1379142189e-01, -3.1538454816e-01, -2.1718299732e+01, -4.4606771944e+00
2.8000000000e-03, 9.4899647896e-01, -3.1437904840e-01, -3.1416570954e-01, 1.0576798331e+02, 2.4276560661e+01
3.0000000000e-03, 5.7497226197e-01, -1.1798729872e+00, -1.2947528996e+00, 1.7958217210e+01, 3.7597790018e+00
3.1000000000e-03, 5.7122463063e-01, -1.2257502951e+00, -1.3177697379e+00, 3.3557531495e+01, 5.8940042152e+00
3.2000000000e-03, 5.8698084171e-01, -1.2715988604e+00, -1.3040009364e+00, -2.0047159490e+01, -1.5052348914e+00
3.3000000000e-03, 5.6973410631e-01, -1.3182592830e+00, -1.3308124989e+00, 3.9729167637e+01, 6.7345356559e+00
3.4000000000e-03, 5.6761306351e-01, -1.3650739435e+00, -1.3530849293e+00, 4.8143204058e+01, 7.8768562161e+00
3.5000000000e-03, 5.8058061994e-01, -1.4121505339e+00, -1.2852479275e+00, -3.0386721301e+00, 8.6407823359e-01
3.6000000000e-03, 5.6870974716e-01, -1.4596361905e+00, -1.3410364147e+00, 4.3865834453e+01, 7.2966768566e+00
3.8000000000e-03, 5.5359326754e-01, -1.5570936248e+00, -1.5624399986e+00, 5.6794975544e+01, 9.0685015712e+00
