phi0, phi, F_total_per_V, F_fitted, mu_kT_calculated, Pressure_calculated
1.9000000000e-03, 5.2639382602e-01, -3.9190726785e-02, -6.5934324637e-01, 1.0377562190e+02, 1.3700542220e+01
2.0000000000e-03, 5.3813401642e-01, -4.5831458482e-02, -8.7387291342e-01, -1.7573413336e+02, -2.1702697417e+01
2.1000000000e-03, 6.9570106887e-01, -5.3698494774e-02, -1.0965436324e-01, 8.3867363574e+00, 1.5025767658e+00
2.2000000000e-03, 7.5524134814e-01, -1.3229539187e-01, -3.7051346153e-02, -2.0015876668e+01, -3.5718250927e+00
2.3000000000e-03, 7.8931425988e-01, -2.0070632416e-01, -2.5997354090e-01, -2.4107259093e+01, -4.2826744567e+00
2.4000000000e-03, 8.2322993432e-01, -2.4723448472e-01, -2.9913148284e-01, 1.4644658918e+01, 3.1772697139e+00
2.5000000000e-03, 8.5677020957e-01, -2.7851609571e-01, -1.7838126794e-01, 8.9274486062e-01, 3.6098385471e-01
2.6000000000e-03, 8.8971047626e-01, -3.0039704977e-01, -3.6801986769e-01, -3.5755270563e+01, -7.2264979872e+00
2.7000000000e-03, 9.2115544069e-01, -3.1379142189e-01, -2.9027313367e-01, 7.6328327371e+01, 1.7075614201e+01
2.8000000000e-03, 9.4899647896e-01, -3.1437904840e-01, -3.1809809804e-01, -3.3024346937e+02, -7.4500616239e+01
3.0000000000e-03, 5.7497226197e-01, -1.1798729872e+00, -1.3791159354e+00, 1.0987431406e+02, 1.6460960767e+01
3.1000000000e-03, 5.7122463063e-01, -1.2257502951e+00, -1.4661202207e+00, 8.3608767969e+01, 1.2867834107e+01
3.2000000000e-03, 5.8698084171e-01, -1.2715988604e+00, -9.8774050921e-01, 1.5289653898e+02, 2.2413340213e+01
3.3000000000e-03, 5.6973410631e-01, -1.3182592830e+00, -1.4937465228e+00, 7.1514975290e+01, 1.1220784230e+01
3.4000000000e-03, 5.6761306351e-01, -1.3650739435e+00, -1.5252917707e+00, 5.2795424240e+01, 8.6794754131e+00
3.5000000000e-03, 5.8058061994e-01, -1.4121505339e+00, -1.2118559927e+00, 1.3765752642e+02, 2.0291659332e+01
3.6000000000e-03, 5.6870974716e-01, -1.4596361905e+00, -1.5101644099e+00, 6.2688745447e+01, 1.0021380467e+01
3.7000000000e-03, 5.4955336722e-01, -1.5083504431e+00, -1.3416101672e+00, -1.3919165901e+02, -1.6919806626e+01
3.8000000000e-03, 5.5359326754e-01, -1.5570936248e+00, -1.4566104151e+00, -9.8148740688e+01, -1.1514791839e+01
3.9000000000e-03, 5.4601300400e-01, -1.6062712273e+00, -1.2114297636e+00, -1.6721082477e+02, -2.0584669342e+01
4.0000000000e-03, 5.1771635317e-01, -1.6552544390e+00, -1.4572239444e+00, 7.5175746138e+02, 9.4371195163e+01
4.1000000000e-03, 5.3510141667e-01, -1.7049407080e+00, -7.5565169379e-01, -1.4701748570e+02, -1.8025252325e+01
