Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 50.08833798856053
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
DryVolFrac increment: 1.0E-4
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	phi, 	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter, 		kT/E
8.0E-4, 0.2749785120707641, -6.4870983715967245, 2.5491221415697844, 1.0, 2.5512414800394527, -0.0021193384696682293, -0.0017750297599608835, 1.5017837987832652, -0.0017177959666296065, 9.590336542291176E-5, 7.004311203703706, 0.0, 0.0, 0.008144302842791466, 0.6962749951977978, 0.0057143371598434725
9.0E-4, 0.3093254280274845, -7.0555993421408525, -0.049262743273635494, 1.0, -0.0378545149339714, -0.011408228339664095, -0.0019532135968374784, 1.5019650837332759, -0.00192074108046453, 1.0776236828679137E-4, 7.004119125514402, 0.0, 0.0, 0.00844416382216773, 0.7111812069169987, 0.005714285762730357
0.001, 0.34366489211766205, -4.234403693984504, 0.2980852936121436, 1.0, 0.30651206850635093, -0.008426774894207333, -0.002111909813494176, 1.5021293671776699, -0.002045107782682675, 1.1930585559587849E-4, 7.003918055555554, 0.0, 0.0, 0.010846199672722675, 0.6499385484970697, 0.0057143860856253455
0.0011, 0.3779684202713872, -1.685036551010832, 3.16268524874311, 1.0, 3.1557196788728366, 0.006965569870273436, -0.002155391480520743, 1.5021798550318854, -0.0021237910823679058, 1.3122119054234633E-4, 7.003531162551442, 0.0, 0.0, 0.014963883955683882, 0.5711977522205206, 0.005714315368716589
0.0012, 0.4122440758898143, 1.0994387627375748, 2.764212945467791, 1.0, 2.7534229678490227, 0.010789977618768022, -0.002192364382409344, 1.502224577155889, -0.0022708239218953495, 1.4349683533919689E-4, 7.003051882716049, 0.0, 0.0, 0.016663763634162054, 0.5572092201831992, 0.0057142868360090795
0.0013, 0.44651679062884064, 10.986589880642336, -0.6462996989103242, 1.0, -0.6689674168523909, 0.02266771794206663, -0.002102897146405786, 1.5021457660756798, -0.0022163547843762257, 1.5565251324770916E-4, 7.002630205761316, 0.0, 0.0, 0.028251069183734375, 0.43951607822639716, 0.005714449924935848
0.0014, 0.48088687021334886, 20.810426712437344, 2.6080266867573108, 1.0, 2.595544884633417, 0.012481802123893663, -0.0016677933562410565, 1.5017209240454146, -0.001732849379413169, 1.6852567964657227E-4, 7.002742767489715, 0.0, 0.0, 0.10535742176845364, 0.23328556772174738, 0.005714418065014025
0.0015, 0.5151217080849185, 17.756310203353276, 4.641317738269485, 1.0, 4.658535419121187, -0.01721768085170304, -0.0011092724626649787, 1.5011653879054905, -0.0013565479199053353, 1.803235724920904E-4, 7.002224434156379, 0.0, 0.0, 0.2695123036699069, 0.14925156100449344, 0.005714546022877109
0.0016, 0.5493641439273853, 13.861294476210066, 3.3807511019584395, 1.0, 3.362457883940339, 0.018293218018100528, -8.199919942600371E-4, 1.5008892644036225, -0.0011396246765492358, 1.917467389406795E-4, 7.001804341563793, 0.0, 0.0, 0.4629733203450797, 0.11635179981452591, 0.005714309593480102
0.0017, 0.5835706328346731, 18.136007806207598, 5.0837183922024645, 1.0, 5.037506501208609, 0.046211890993855066, -4.474444026026137E-4, 1.5005392250357497, -8.960929199011376E-4, 2.0516535168146687E-4, 7.001295771604941, 0.0, 0.0, 0.7798999389640364, 0.09147616680924706, 0.005714318642215463
0.0018, 0.6175981899796242, 25.4358815166236, 7.833943164407913, 1.0, 7.6786168355697155, 0.1553263288381973, 4.593859283330497E-5, 1.5000764931021007, -5.69205941383464E-4, 2.1809029440288789E-4, 7.000169475308645, 0.0, 0.0, 1.4126513590005836, 0.06927625992817013, 0.005714378398369195
0.0019, 0.6514602206718304, -4.484473021146653, -28.840216912675338, 1.0, -29.294622506546467, 0.4544055938711307, 7.670294799785129E-4, 1.4994065752430092, -1.2401166356570826E-4, 2.3681389252319597E-4, 6.998570925925924, 0.0, 0.0, 2.8647555038973285, 0.049531921909598306, 0.005714319004807857
0.002, 0.6847388314714139, -918.3358682969061, -950.0011948329422, 1.0, -951.710991430894, 1.7097965979517216, -1.681792217100157E-4, 1.50044059555805, 4.999013639380417E-4, 2.647143414931839E-4, 6.995155740740745, 0.0, 0.0, 6.963278369047949, 0.03231822849156645, 0.005714286855860874
0.0021, 0.7161607672641308, -2903.123398052977, -2861.3166725076885, 1.0, -2879.364519323652, 18.047846815963425, -0.04308027837743361, 1.5436235364581763, 0.0014547043678478425, 3.4492210074623113E-4, 6.986067129629638, 0.0, 0.0, 24.248067215798308, 0.017602686801024912, 0.005714376120790963
0.0022, 0.739607229961284, -5532.101854620149, -5305.741827536805, 1.0, -5414.487803178447, 108.74597564164213, -0.13878211098347143, 1.640377998786164, 0.00274520418455444, 0.0011592852752515482, 6.953044084362136, 0.0, 0.0, 115.89404722306362, 0.008177516379706354, 0.005714523296057688
0.0023, 0.7507543877095678, -2989.286388043655, -2446.443472968151, 1.0, -2736.3479998402913, 289.90452687214025, -0.3072186851326252, 1.8118625921891278, 0.0035129287599585685, 0.005642549540639102, 6.885550545267493, 0.0, 1.9365939088047677E-4, 254.7591549971546, 0.0055978613732956505, 0.005714486121358018
0.0024, 0.7580700007723845, 2480.088038647571, 2966.3806604569418, 1.0, 2466.633053463425, 499.74760699351714, -0.28151002247581103, 1.791547360261123, 0.003846504546035894, 0.015491863299971757, 6.811369362139913, 0.0, 7.627491448811915E-4, 314.95713724054013, 0.005106489546697365, 0.005714303210986274
0.0025, 0.7643772511892613, 3688.79320328724, 4002.905617256405, 1.0, 3297.9707267580666, 704.9348904983383, -0.18880320393647182, 1.7067597704761663, 0.004073876980088794, 0.030794728734379315, 6.738985617283946, 0.0, 0.00165652819593048, 339.62283932887317, 0.00498493292642311, 0.005714325394080479
0.0026, 0.7702511375276214, 4307.286511973572, 4475.351033942403, 1.0, 3569.3997165664023, 905.9513173760001, -0.10538312077172571, 1.6338254323155752, 0.004278908008444716, 0.05161360331294846, 6.669766995884778, 0.0, 0.002863007247203552, 355.3862808705824, 0.00493725108441354, 0.005714332562859538
0.0027, 0.7756914669756074, 5182.384109964555, 5154.716397679526, 1.0, 4049.4749680386053, 1105.2414296409213, 0.016854577971620842, 1.5247208899071139, 0.004484927826571691, 0.07802099502059992, 6.6033299691358, 0.0, 0.004364833892493859, 371.0131710805008, 0.004893328269858041, 0.005714288192396241
0.0028, 0.7807258940447254, 5360.120612520883, 5145.870464304002, 1.0, 3842.725700135834, 1303.1447641681677, 0.14205749365879977, 1.415215910647294, 0.004683673579591897, 0.11016432732862912, 6.539431028806584, 0.0, 0.00611577683766984, 383.31817461867286, 0.0048728614723104816, 0.005714302316138114
0.0029, 0.7855254659787126, 5606.371468425246, 5210.426405976531, 1.0, 3711.410413869983, 1499.0159921065476, 0.27278148528705776, 1.3027967652413606, 0.0049022031506945766, 0.1481104547785793, 6.478308662551439, 0.0, 0.008092031766895094, 402.8096107683277, 0.004809432654669079, 0.0057143041947426846
