phi0, phi, F_total_per_V, F_fitted, mu_kT_calculated, Pressure_calculated
1.2000000000e-03, 4.1225819360e-01, -2.1673662512e-03, 2.4684702731e-01, -1.1270029047e+02, -1.1338741320e+01
1.3000000000e-03, 4.4650420357e-01, -2.0340125862e-03, -2.8238489296e-01, -2.4702014399e+01, -2.3507269905e+00
1.4000000000e-03, 4.8080943754e-01, -1.6919999341e-03, -2.7281531276e-01, 2.0761219621e+01, 2.6558877133e+00
1.5000000000e-03, 5.1512769114e-01, -1.1191738193e-03, -3.1225129341e-02, 3.3621311164e+01, 4.1658958925e+00
1.6000000000e-03, 5.4935686901e-01, -7.9511997009e-04, 2.1616674270e-01, 2.4037251031e+01, 2.9363017077e+00
1.7000000000e-03, 5.8355085610e-01, -4.3042680053e-04, 3.2806318737e-01, 2.1652694781e+00, -2.6414072498e-02
1.8000000000e-03, 6.1761691004e-01, 4.5862593191e-05, 2.4603951122e-01, -2.1884048528e+01, -3.4727369037e+00
1.9000000000e-03, 6.5143410858e-01, 7.6023319456e-04, -4.8141452715e-03, -3.8191499321e+01, -5.9346681633e+00
2.0000000000e-03, 6.8471466784e-01, -4.8735513805e-03, -3.1938092664e-01, -3.7436032643e+01, -5.8000472145e+00
2.1000000000e-03, 7.1614619033e-01, -3.8599234768e-02, -5.2567031007e-01, -1.3037991337e+01, -1.7033999869e+00
2.2000000000e-03, 7.3959265642e-01, -1.4230307827e-01, -5.0129630994e-01, 2.4886721671e+01, 4.8954138690e+00
2.3000000000e-03, 7.5075320689e-01, -3.2958209354e-01, -4.0269887223e-01, 4.9926175421e+01, 9.3509236513e+00
2.4000000000e-03, 7.5806999433e-01, -2.7338892882e-01, -2.9912889955e-01, 6.9024607615e+01, 1.2790918019e+01
2.5000000000e-03, 7.6441672660e-01, -1.9845411264e-01, -1.8083943196e-01, 8.7401770953e+01, 1.6130880466e+01
2.6000000000e-03, 7.7022101379e-01, -9.9859146369e-02, -4.7196839487e-02, 1.0573837705e+02, 1.9490023047e+01
2.7000000000e-03, 7.7568308291e-01, 1.0481454113e-02, 1.0268571970e-01, 1.2437424022e+02, 2.2929022572e+01
2.8000000000e-03, 7.8075185015e-01, 1.4041004809e-01, 2.6427691364e-01, 1.4290201280e+02, 2.6371339918e+01
2.9000000000e-03, 7.8550539486e-01, 2.7227724920e-01, 4.3683127106e-01, 1.6138661825e+02, 2.9827291088e+01
3.0000000000e-03, 7.8996788487e-01, 4.2366466476e-01, 6.1845269670e-01, 1.7974087938e+02, 3.3279048817e+01
3.1000000000e-03, 7.9419077514e-01, 5.9943632538e-01, 8.0879700926e-01, 1.9802338369e+02, 3.6736254640e+01
3.2000000000e-03, 7.9814897974e-01, 7.7478241342e-01, 1.0043419996e+00, 2.1598380103e+02, 4.0150082548e+01
3.3000000000e-03, 8.0186335041e-01, 9.8698156520e-01, 1.2036105520e+00, 2.3357702513e+02, 4.3510220123e+01
3.4000000000e-03, 8.0538855288e-01, 1.2000939797e+00, 1.4074475031e+00, 2.5094816360e+02, 4.6842946632e+01
3.5000000000e-03, 8.0871017487e-01, 1.4482241948e+00, 1.6131364342e+00, 2.6792670766e+02, 5.0114222544e+01
3.6000000000e-03, 8.1186164116e-01, 1.7093179116e+00, 1.8209478173e+00, 2.8459171274e+02, 5.3337960524e+01
3.7000000000e-03, 8.1487038643e-01, 1.9977544437e+00, 2.0312337901e+00, 3.0101471277e+02, 5.6526956838e+01
3.8000000000e-03, 8.1771074513e-01, 2.3057058670e+00, 2.2407362372e+00, 3.1698440749e+02, 5.9639077114e+01
3.9000000000e-03, 8.2039386174e-01, 2.6283126439e+00, 2.4487239608e+00, 3.3249084175e+02, 6.2671139370e+01
4.0000000000e-03, 8.2295932708e-01, 2.9645072783e+00, 2.6570005935e+00, 3.4770423513e+02, 6.5655430771e+01
4.1000000000e-03, 8.2544979193e-01, 3.3286409731e+00, 2.8682109667e+00, 3.6283874403e+02, 6.8633380453e+01
