########################################################################################################################################################################################################################################################################################################################################
##### Free Energy Calculations for just Hertzian Spheres before considering Faceting or Interpenetration but with size change tolerance turned on
#####
#####
########################################################################################################################################################################################################################################################################################################################################


Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862138
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.5047174687499996
Dry volume fraction: 0.016099999999999965
Reservoir volume fraction: 0.693591296299635
Actual volume fraction: 0.692688403875655
MC steps: 150000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.6604648167819426
The coupling constant increment - dlambda: 0.0
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0101, 3.5893148120962035, 44.43840583057684, 6.6192660683561595, 44.516852684638124, -0.07844685406128385, -0.01500472063234936, 1.5154732079032747, -0.015800969517570814, 0.0012028356928565625, 3.50499528125, 0.43511006786498935, 0.0, 0.04400072077715149, 0.6975173098757645
0.0102, 1.3423055111593902, 24.308913744818366, 7.18981040504987, 23.948222783494213, 0.36069096132415324, -0.0149769966225643, 1.5155027460256978, -0.016835737341778383, 0.0012077869725772795, 3.5050106875, 0.4394180883389001, 0.0, 0.0343215203055097, 0.7923697595445616
0.0103, -10.621431949903677, -13.92284653137941, 7.662857028313558, -14.041902170113591, 0.11905563873418168, -0.014940630265177206, 1.515516411710644, -0.016933990181958545, 0.0012437395151850697, 3.5049634375, 0.4437261088128108, 0.0, 0.034961892741579126, 0.7876368633435012
0.0104, -5.6311415049354, -14.377075033391813, 7.390848052322949, -14.08502948790432, -0.29204554548749273, -0.015484132641826708, 1.5160378844874574, -0.016716812424628705, 0.0012376217424477857, 3.5049434062500002, 0.4480341292867216, 0.0, 0.038854209320871386, 0.7495544194430073
0.0105, 13.907019976700454, 1.5366753137789626, 7.948030539925452, 1.397021464415253, 0.13965384936370953, -0.015209497466905328, 1.5158214897888682, -0.01654010799649495, 0.0012535957856573746, 3.504949718750001, 0.45234214976063236, 0.0, 0.042616872613234005, 0.7179872607939984
0.0106, 25.248469487104074, 21.757993887801454, 7.754604317332686, 21.459324476886195, 0.2986694109152599, -0.014820121349935824, 1.515417298284688, -0.01615151693684076, 0.0012681677375471017, 3.504974562500001, 0.45665017023454313, 0.0, 0.0494300946369795, 0.6687811051066275
0.0107, 12.415517900521692, 16.213824404059363, 8.364876570979062, 16.0352973535936, 0.17852705046576386, -0.014003971849592076, 1.5146645279843878, -0.01639857073433479, 0.001291783892747893, 3.504934656250001, 0.4609581907084539, 0.0, 0.048175481115162615, 0.6795571549455739
0.0108, -16.8998648089245, 14.61284057553963, 7.956144091891991, 14.914703886817462, -0.3018633112778304, -0.014227324036461642, 1.514850178482869, -0.016377631571124335, 0.001300837269636665, 3.50491759375, 0.46526621118236466, 0.0, 0.050458171651804634, 0.666070077790102
0.0109, -12.872723468269376, 3.9719816659471157, 8.032913771086374, 4.122906270155441, -0.1509246042083249, -0.014810880956169607, 1.51544298615441, -0.01794301209387677, 0.0013014605603768525, 3.5049561874999995, 0.46957423165627543, 0.0, 0.034711487115200695, 0.8055329622634684
0.011, -43.34430620930021, -131.9136034098959, 8.377249886191848, -132.09602268131232, 0.182419271416409, -0.014841951307770678, 1.5155172251165347, -0.01723937729333985, 0.0013175111608806263, 3.5049077812500005, 0.47388225213018614, 0.0, 0.043571518146308955, 0.7211749660869848
0.0111, -83.26476604620844, -162.44401553402182, 8.891602148801613, -163.17935502418692, 0.7353394901651024, -0.016880419132599266, 1.5176121634478255, -0.013757729220555757, 0.0013341251873848433, 3.50493709375, 0.4781902726040969, 0.0, 0.1120643713606624, 0.45104337386890614
0.0112, 32.30743217027217, 64.49543002149984, 8.42829078157795, 64.15041949245686, 0.3450105290429781, -0.018817551038263963, 1.5195099947636235, -0.01340258192635239, 0.001376659326958353, 3.5049210625000002, 0.4824982930780077, 0.0, 0.1267462335294009, 0.4253857168098941
0.0113, 94.37712401398673, 129.44859938245276, 8.356801166581835, 130.62019782328738, -1.171598440834618, -0.015337852874047785, 1.5160253730715045, -0.015197897033433593, 0.0013751814289867388, 3.504898687499999, 0.48680631355191845, 0.0, 0.0826438880612993, 0.5283623598808758
0.0114, -126.25789365604007, -221.57766602591016, 8.874181535695332, -220.97305244351696, -0.6046135823932127, -0.01431137529777712, 1.5150525524987102, -0.015074644431753352, 0.0013450591163234264, 3.5049229375000004, 0.4911143340258292, 0.0, 0.08819281235256805, 0.5129748993993588
0.0115, -8.848916854046093, -48.59743190933198, 8.75315626290076, -49.12536230539176, 0.5279303960597774, -0.021366223237966674, 1.5221132980257652, -0.010660103835876858, 0.0013699107852537765, 3.5048973125000007, 0.49542235449974, 0.0, 0.2756244738423866, 0.2910168608361127
0.0116, -188.53132405457728, -251.05210756320494, 9.216326924670069, -251.12556898178272, 0.0734614185777745, -0.014733879955276306, 1.5155284227532189, -0.012990599255364029, 0.001394090471361557, 3.50490521875, 0.49973037497365075, 0.0, 0.1580258331880283, 0.3854485170658013
0.0117, -43.461084279344945, -83.47774920445784, 8.351173032313147, -83.45989485234588, -0.017854352111955914, -0.030367930883250453, 1.5310778686275235, -0.007644899749672364, 0.0013974543522314172, 3.5048858125, 0.5040383954475615, 0.0, 0.606206916076998, 0.1973615759236912
0.0118, 345.8497694369944, 493.2348883741006, 9.66001823066808, 493.2006444198788, 0.03424395422180439, -0.01680899387383367, 1.51766006332667, -0.010691516364073629, 0.001417126097428413, 3.5049627500000007, 0.5083464159214722, 0.0, 0.2925822991789799, 0.284892536597387
0.0119, -109.62861624048728, -176.4063171910298, 10.913821607384316, -176.704627683434, 0.2983104924041888, -0.013854820771323462, 1.5148531597853356, -0.014578334755293111, 0.0014231084670041328, 3.5049631875000005, 0.512654436395383, 0.0, 0.1166275181627898, 0.45250796774575414
0.012, -103.74717241690765, -251.5438667118919, 9.082228121071102, -251.37508534382738, -0.16878136806450542, -0.022043374727533066, 1.5228461886638434, -0.0075152759045865125, 0.0014552871636225183, 3.504967812500001, 0.5169624568692938, 0.0, 0.6551753741800329, 0.19145177322327134
0.0121, -397.9865025370911, -428.61320966116205, 8.640142262793741, -427.94458399499985, -0.6686256661622128, -0.01880838336791086, 1.5195658101721654, -0.0072794274340041275, 0.0014393045363557246, 3.5049053750000003, 0.5212704773432045, 0.0, 0.703333366389692, 0.18529296895855826
0.0122, 31.603261184057327, 21.11857492964413, 8.460187575923927, 21.301915036584198, -0.1833401069400674, -0.04104583047632303, 1.5417952412548468, -0.0058623971006535195, 0.0014471527972938845, 3.504936968749999, 0.5255784978171153, 0.0, 0.9969331511457403, 0.15606230549804298
0.0123, 126.76247274338677, 135.22248885477825, 8.775811216253043, 134.68983904239892, 0.5326498123793347, -0.017299438797330775, 1.5180830872197568, -0.00620204294443442, 0.0014542745074188521, 3.504925687499999, 0.5298865182910261, 0.0, 0.93091762956299, 0.16194113177132097
0.0124, -36.82768180247302, -43.77961991473925, 9.06140216198997, -43.919298823694795, 0.13967890895554824, -0.03499336823562453, 1.5358103237384846, -0.0060858876544603235, 0.0014962316924250572, 3.50492646875, 0.5341945387649368, 0.0, 0.9675052793064864, 0.15927892545067068
0.0125, 301.78093629524994, 291.2747856294697, 8.89837330545378, 291.62953443018284, -0.3547488007131462, -0.019057831077774482, 1.5198634474156139, -0.005403862663250616, 0.0014850764532933019, 3.5049087500000007, 0.5385025592388476, 0.0, 1.1449854775347181, 0.14680734199351095
0.0126, 40.83145485402827, 39.442048130713275, 9.12442201075801, 39.47646909076074, -0.03442096004746605, -0.02058438991293771, 1.521421003208416, -0.005365792416429802, 0.0015030549081209244, 3.5049731250000007, 0.5428105797127584, 0.0, 1.1662815725898092, 0.14584769459204502
0.0127, -85.83766173865257, -93.3904302007569, 9.24236933597231, -93.28374495166689, -0.10668524909000962, -0.017108272715678833, 1.517965225392129, -0.005095958339229299, 0.0015072909879266629, 3.5048702187500007, 0.547118600186669, 0.0, 1.2517751255324197, 0.14115052857878932
0.0128, -123.94268737148995, -129.3943998707338, 9.422502568396782, -129.52360883814058, 0.12920896740677662, -0.024682836363684693, 1.5255679995702642, -0.004816003980857121, 0.0015216979286482258, 3.504936718749999, 0.5514266206605798, 0.0, 1.3451118928173258, 0.1365217596829889
0.0129, 242.6116233831178, 235.2576205115527, 9.498964778858442, 234.7570914612996, 0.500529050253088, -0.023026100122258652, 1.5239258744311803, -0.004525238985476462, 0.0015372367918181679, 3.504972781250001, 0.5557346411344906, 0.0, 1.447287659174737, 0.1319563318524782
0.013, 140.87156985430215, 137.69453989874518, 9.415455536386824, 137.20146507717362, 0.4930748215715573, -0.013098984629792955, 1.5139972340745458, -0.0041780411519164295, 0.0015694295589562075, 3.504974093750001, 0.5600426616084013, 0.0, 1.5750562142291265, 0.126817011706607
0.0131, -91.4531658704954, -91.74003273851551, 9.986982701736764, -91.33216054512273, -0.4078721933927818, -0.016299978117230426, 1.517270390102396, -0.004236301694668064, 0.001584924450506136, 3.504937468750001, 0.5643506820823121, 0.0, 1.5657707097029274, 0.1275177898032113
0.0132, -114.82929336892731, -121.5493886499673, 10.021845582091636, -121.19578564331327, -0.35360300665402244, -0.017465551652700664, 1.5184366834215648, -0.003980166001906702, 0.0015741524160928046, 3.5049329687499995, 0.5686587025562229, 0.0, 1.6673097274068465, 0.12388753036266907
0.0133, -109.85750755632156, -113.79711147423068, 10.317391919506704, -113.94526821249673, 0.14815673826605366, -0.021782673012654682, 1.5227990383238492, -0.0037111167550482266, 0.0015918919447690172, 3.5049138437499994, 0.5729667230301336, 0.0, 1.7787259830641715, 0.12024687063599823
0.0134, 133.17047086867677, 122.79531707696074, 10.532206358399375, 122.69609075435262, 0.09922632260811498, -0.02271086126170381, 1.5237562026461138, -0.003520311045020581, 0.0016051646040003977, 3.504914625, 0.5772747435040444, 0.0, 1.864112241785841, 0.11775426988126181
0.0135, -20.85442195339654, -30.346987488258165, 10.21424057464197, -30.416220809362443, 0.0692333211042777, -0.015424251398867134, 1.5164272255123339, -0.002929313529024089, 0.0016205873333441133, 3.5049142499999997, 0.5815827639779552, 0.0, 2.1263953981071335, 0.11052664943757312
0.0136, -291.16232224653334, -292.10661791331313, 10.757681624501163, -291.8486237296926, -0.257994183620541, -0.02370658656346597, 1.5247866319685626, -0.002881964236107143, 0.0016324789528192496, 3.504911937500001, 0.5858907844518659, 0.0, 2.1574019267822853, 0.10999979238678743
0.0137, 144.51218514289857, 139.07501708245584, 11.021901975861748, 138.76766934545066, 0.30734773700518997, -0.029326228247162467, 1.530440853960507, -0.0025779822861010443, 0.0016322760618842757, 3.5048850312500006, 0.5901988049257767, 0.0, 2.309812962948671, 0.10656866917736103
0.0138, 53.04822418831335, 45.63127100379416, 11.037087532506238, 45.221101361015236, 0.4101696427789241, -0.01680663798271493, 1.5179264889560449, -0.0022318732416376436, 0.0016709825739157434, 3.5048915000000007, 0.5945068253996875, 0.0, 2.4923790186181973, 0.10284039734890438
0.0139, -357.1782690266159, -359.3074470588546, 11.212304710215417, -359.1717166140031, -0.13573044485150815, -0.02679336211661733, 1.5279364594900946, -0.0020126203829934582, 0.0016760773584830286, 3.5048755312499993, 0.5988148458735982, 0.0, 2.6166777229549574, 0.10060994433231983
0.014, 57.31284770637995, 55.878747904069634, 11.629637597579547, 55.69584965122633, 0.18289825284330138, -0.033860644106892754, 1.5350656525726216, -0.0017736550440554351, 0.001688618143533257, 3.5048552812500002, 0.603122866347509, 0.0, 2.7564281846148573, 0.09826083071107311
0.0141, 191.83444784223062, 183.39824672885433, 12.037380757708783, 183.86180677661275, -0.463560047758426, -0.024056875212074322, 1.525321779191145, -0.001485761603225486, 0.0017089332231260829, 3.5048755312499993, 0.6074308868214197, 0.0, 2.930666032031263, 0.09552146312834923
0.0142, -10.583333381376793, -18.65705809474558, 11.980388980962134, -18.19507884937258, -0.4619792453729966, -0.02470122391807414, 1.5259655770269016, -0.001050698471780251, 0.0016907249691891285, 3.5048787500000005, 0.6117389072953304, 0.0, 3.207638130907818, 0.09151968672528218
