phi0,phi,alpha,zeta,lindemannParameter
0.0101,-0.2294687189363788,6.615,2.924570332386289,0.7847499930248456
0.0102,-0.2749127246883277,6.615,2.953526474291104,0.7882432772944595
0.0103,-0.3192760922898655,6.615,2.982482616195918,0.8807371863259605
0.0104,-0.3640681917586872,6.615,3.0114387581007325,0.8258593494913348
0.0105,-0.4113537146782676,6.615,3.040394900005547,0.878955361115514
0.0106,-0.455019275919002,6.615,3.0693510419103616,0.8511386332576935
0.0107,-0.5059692188533187,6.615,3.098307183815176,0.8292889214714249
0.0108,-0.5531317145540104,6.615,3.1272633257199907,0.8756285765836843
0.0109,-0.6036088006943402,6.615,3.156219467624805,0.857549477006449
0.011,-0.6553031380302151,6.615,3.18517560952962,0.8336935500495278
0.0111,-0.7047889617997294,6.615,3.2141317514344343,0.8960196913764585
0.0112,-0.7569997130161219,6.615,3.243087893339249,0.9042279942259416
0.0113,-0.8140268726528654,6.615,3.2720440352440634,0.8826788390719963
0.0114,-0.866846014628531,6.615,3.301000177148878,0.817037371561784
0.0115,-0.9192995648570668,6.615,3.3299563190536925,0.9303185599688942
0.0116,-0.9769100046581464,6.615,3.358912460958507,0.9229240304491008
0.0117,-1.0337558751461091,6.615,3.3878686028633216,0.904915388288384
0.0118,-1.090927762782683,6.615,3.416824744768136,0.884738717481079
0.0119,-1.1540907030762562,6.615,3.4457808866729507,0.9310220863275708
0.012,-1.2057748252499012,6.615,3.474737028577765,0.8621539245429178
0.0121,-1.2676972678268252,6.615,3.50369317048258,0.8252730106838054
0.0122,-1.3310094717745145,6.615,3.5326493123873943,0.9152344622973392
0.0123,-1.384923506994877,6.615,3.561605454292209,0.8642526825564312
0.0124,-1.450810790999452,6.615,3.5905615961970234,0.9044232563636913
0.0125,-1.5113713240257003,6.615,3.619517738101838,0.8300994173058969
0.0126,-1.5775237655318055,6.615,3.648473880006653,0.8706629448979347
0.0127,-1.645032258108929,6.615,3.677430021911468,0.8961666823880603
0.0128,-1.705130844135428,6.615,3.706386163816282,0.9386230430664734
0.0129,-1.773461743474063,6.615,3.7353423057210966,0.8655866898016158
0.013,-1.84008926510728,6.615,3.764298447625911,0.9733831410672228
0.0131,-1.910792687370788,6.615,3.7932545895307257,0.9382067066754046
0.0132,-1.9782961766834632,6.615,3.82221073143554,0.8959188705486998
0.0133,-2.042188224417057,6.615,3.851166873340355,0.9286702159243932
0.0134,-2.1176260948283074,6.615,3.880123015245169,0.8132649381561071
0.0135,-2.1899640563420366,6.615,3.909079157149984,0.906275567131028
0.0136,-2.2576679324574704,6.615,3.9380352990547984,0.8349040396541281
0.0137,-2.3307810176630084,6.615,3.966991440959613,0.8796422147515206
0.0138,-2.4041623095614084,6.615,3.995947582864428,0.9483882937458236
0.0139,-2.478195936619014,6.615,4.024903724769242,0.8344394710534809
0.014,-2.551797319328841,6.615,4.053859866674057,0.8635036637295618
0.0141,-2.6261644861412354,6.615,4.082816008578871,0.9000861791474062
0.0142,-2.7015827996796866,6.615,4.111772150483686,0.818796045251198
0.0143,-2.782919728358165,6.615,4.1407282923885,0.8727546551174263
0.0144,-2.8594083967191226,6.615,4.169684434293315,0.865436650503502
0.0145,-2.935844580321803,6.615,4.198640576198129,0.8499779887399278
0.0146,-3.021138217753032,6.615,4.227596718102944,0.8727875386362501
0.0147,-3.100573171198894,6.615,4.256552860007759,0.8971704945104565
0.0148,-3.1798656301772623,6.615,4.285509001912573,0.9190556877779512
0.0149,-3.264022432180336,6.615,4.314465143817388,0.8586565346799996
0.015,-3.346148737399605,6.615,4.3434212857222025,0.7941097634692912
0.0151,-3.4261738777897386,6.615,4.372377427627017,0.7990415368624743
0.0152,-3.5175100653358045,6.615,4.401333569531832,0.8489470735313019
0.0153,-3.5940103418019804,6.615,4.430289711436646,0.768806544085949
0.0154,-3.681991615057043,6.615,4.459245853341461,0.842564966367498
0.0155,-3.769975060694648,6.615,4.488201995246275,0.813308307341173
0.0156,-3.857425687997072,6.615,4.51715813715109,0.7768774059383926
0.0157,-3.950076505698308,6.615,4.546114279055905,0.7755152016365197
0.0158,-4.030088017796438,6.615,4.575070420960719,0.8224368286098147
0.0159,-4.12120857709642,6.615,4.604026562865534,0.7797103059762148
0.016,-4.215545746449684,6.615,4.632982704770348,0.7906734323900821
0.0161,-4.302624227666007,6.615,4.661938846675163,0.7485766516212575
0.0162,-4.398937403160066,6.615,4.690894988579978,0.7035013857507154
0.0163,-4.490111337659859,6.615,4.719851130484792,0.6834983914095731
0.0164,-4.588305811413604,6.615,4.748807272389607,0.7620402374285545
0.0165,-4.676875929540867,6.615,4.777763414294421,0.7041816282089411
0.0166,-4.773042770663526,6.615,4.806719556199236,0.6466126996749302
0.0167,-4.866239793792647,6.615,4.83567569810405,0.6782513198110365
0.0168,-4.972709348050296,6.615,4.864631840008865,0.7103158945752821
0.0169,-5.055506119303712,6.615,4.893587981913679,0.5889157159930855
0.017,-5.162595890745352,6.615,4.922544123818494,0.6463269644387142
0.0171,-5.258515115405418,6.615,4.9515002657233085,0.5652865731860596
0.0172,-5.368067433189769,6.615,4.980456407628124,0.5881711803950836
0.0173,-5.458846230966248,6.615,5.009412549532938,0.5283997509716685
0.0174,-5.570068263501708,6.615,5.038368691437753,0.4650766047900686
0.0175,-5.664579341252242,6.615,5.067324833342567,0.4855391165403849
0.0176,-5.769132441880952,6.615,5.096280975247382,0.510534611339396
0.0177,-5.847389979935511,6.615,5.125237117152196,0.178607944224727
0.0178,-5.951905552171755,6.615,5.154193259057011,0.174391519590724
0.0179,-6.061056132283656,6.615,5.183149400961825,0.1873156638505639
0.018,-6.168480638872763,6.615,5.21210554286664,0.1864666641586435
0.0181,-6.274811280688528,6.615,5.241061684771454,0.1800810249454897
0.0182,-6.38416720505403,6.615,5.270017826676269,0.1779732456155585
0.0183,-6.493848787601685,6.615,5.298973968581083,0.1781348536660832
0.0184,-6.60622233042258,6.615,5.327930110485898,0.1855586081621912
0.0185,-6.7169809884437335,6.615,5.356886252390712,0.1802065757320042
0.0186,-6.832209643389278,6.615,5.385842394295527,0.1933396669380204
0.0187,-6.944353925736949,6.615,5.414798536200342,0.1879947376435164
0.0188,-7.059249519103735,6.615,5.443754678105156,0.1911628496976025
0.0189,-7.176677036434033,6.615,5.472710820009971,0.2095852828774618
0.019,-7.290716318700682,6.615,5.501666961914785,0.1942602858431954
0.0191,-7.408752540783089,6.615,5.5306231038196,0.2064278671018501
0.0192,-7.527276002562568,6.615,5.559579245724414,0.2100164615885141
0.0193,-7.645110630536846,6.615,5.588535387629229,0.2098375614531785
0.0194,-7.766335608859484,6.615,5.617491529534044,0.2118955537502707
0.0195,-7.885829781455495,6.615,5.6464476714388585,0.2150957286233701
0.0196,-8.008490666651715,6.615,5.675403813343673,0.219488578969914
0.0197,-8.132193890974332,6.615,5.704359955248488,0.232482012537076
0.0198,-8.253473150073848,6.615,5.733316097153302,0.2332186475914782
0.0199,-8.37885397161944,6.615,5.762272239058117,0.2306463561387326
0.02,-8.502821072023401,6.615,5.791228380962931,0.2204412887866505
0.0201,-8.6304240827713,6.615,5.820184522867746,0.2486125392554657
0.0202,-8.756577160269185,6.615,5.84914066477256,0.2285408942924426
0.0203,-8.88086930786383,6.615,5.878096806677375,0.2356080431403427
0.0204,-9.009182159654772,6.615,5.907052948582189,0.2380882574573634
0.0205,-9.148038716747823,6.615,5.936009090487004,0.3059967439989945
0.0206,-9.275111986834052,6.615,5.964965232391818,0.3187718467612486
0.0207,-9.40054796116422,6.615,5.993921374296633,0.2356737485197968
0.0208,-9.53304316915229,6.615,6.022877516201447,0.238464490965494
0.0209,-9.667022991279175,6.615,6.051833658106262,0.2450053093295248
0.021,-9.79750029484484,6.615,6.080789800011076,0.2241027982653415
0.0211,-9.937979070921257,6.615,6.109745941915891,0.2716859580299104
0.0212,-10.074701644811164,6.615,6.138702083820706,0.3183967770895632
0.0213,-10.214219197306573,6.615,6.16765822572552,0.370730623091389
0.0214,-10.343644643768585,6.615,6.196614367630335,0.2741504551082221
0.0215,-10.488850306470088,6.615,6.2255705095351495,0.3727622924307073
0.0216,-10.62472546405444,6.615,6.2545266514399644,0.3027058959124862
0.0217,-10.763092866770446,6.615,6.2834827933447785,0.2853063692648813
0.0218,-10.909160229567352,6.615,6.3124389352495935,0.3111279445562554
0.0219,-11.046080248611467,6.615,6.341395077154408,0.2498832099185076
0.022,-11.19473318418698,6.615,6.370351219059223,0.4245391861390318
0.0221,-11.331605573224463,6.615,6.399307360964037,0.2838710826421288
0.0222,-11.48074608100121,6.615,6.428263502868852,0.3447310347459525
0.0223,-11.628379969246687,6.615,6.457219644773666,0.3331124678413512
0.0224,-11.778794433068503,6.615,6.486175786678481,0.4284773774225046
0.0225,-11.922057013083707,6.615,6.515131928583295,0.4438319428821843
0.0226,-12.069590279898875,6.615,6.54408807048811,0.3908174622152969
0.0227,-12.220000963914211,6.615,6.573044212392924,0.4461651826137257
0.0228,-12.3728553257441,6.615,6.602000354297739,0.4972983596325841
0.0229,-12.518121257248865,6.615,6.630956496202553,0.4380916220986888
0.023,-12.667649717188349,6.615,6.659912638107368,0.3063606108519656
0.0231,-12.827200953816618,6.615,6.688868780012182,0.4093162118031582
0.0232,-12.979590016073628,6.615,6.717824921916997,0.5239521226562052
0.0233,-13.132424588005374,6.615,6.746781063821811,0.6275760857418832
0.0234,-13.286232068492756,6.615,6.775737205726626,0.391165664624071
0.0235,-13.446019464691956,6.615,6.80469334763144,0.4802021324713262
0.0236,-13.596368902671346,6.615,6.833649489536255,0.507952645762964
0.0237,-13.761909608821988,6.615,6.8626056314410695,0.5741919371310733
0.0238,-13.926269450361255,6.615,6.8915617733458845,0.6368239796709478
0.0239,-14.080396512905391,6.615,6.9205179152507,0.6217707084615929
0.024,-14.238759006842503,6.615,6.949474057155514,0.6273941375728995
0.0241,-14.39883877691176,6.615,6.978430199060329,0.4543114554194937
0.0242,-14.56202542861725,6.615,7.007386340965143,0.6342822726044134
0.0243,-14.721664201123817,6.615,7.036342482869958,0.6095564029447643
0.0244,-14.887116597714195,6.615,7.065298624774772,0.6320047702191899
0.0245,-15.05705209209928,6.615,7.094254766679587,0.6048058822755562
0.0246,-15.216925156437185,6.615,7.123210908584401,0.7265534124542373
0.0247,-15.38315614702674,6.615,7.152167050489216,0.5793725466048185
0.0248,-15.555066875066345,6.615,7.18112319239403,0.6786680268778071
0.0249,-15.712899930178695,6.615,7.210079334298845,0.7135614639002037
0.025,-15.88927774467791,6.615,7.239035476203659,0.7532730583191892
0.0251,-16.056604176059658,6.615,7.267991618108474,0.7461861980789521
0.0252,-16.222973254994958,6.615,7.296947760013288,0.7737149976740055
0.0253,-16.39955118962286,6.615,7.325903901918103,0.6944139840745703
0.0254,-16.563224895590274,6.615,7.354860043822917,0.7454559103922133
0.0255,-16.743408503043167,6.615,7.383816185727732,0.7098632561236403
0.0256,-16.917548847437345,6.615,7.412772327632546,0.7130018849904262
0.0257,-17.090525201502935,6.615,7.441728469537361,0.7342175846956241
0.0258,-17.264716629324695,6.615,7.470684611442175,0.7600357393163948
0.0259,-17.447248070325557,6.615,7.49964075334699,0.7748838956559849
0.026,-17.619559856740082,6.615,7.5285968952518045,0.7300790636509055
0.0261,-17.79783062304846,6.615,7.5575530371566195,0.720720656214353
0.0262,-17.968413882976996,6.615,7.586509179061434,0.7116638322282385
0.0263,-18.150102701861435,6.615,7.615465320966249,0.7567980585205287
0.0264,-18.330877125940464,6.615,7.644421462871064,0.7900207222036784
0.0265,-18.51296733757284,6.615,7.673377604775878,0.7038853157798997
0.0266,-18.694437890656985,6.615,7.702333746680693,0.7655432413233332
0.0267,-18.874914535413847,6.615,7.731289888585507,0.6966300182748968
0.0268,-19.0616120783159,6.615,7.760246030490322,0.7963690165258637
0.0269,-19.23747474644757,6.615,7.789202172395136,0.784488829634017
0.027,-19.432247371085307,6.615,7.818158314299951,0.8066201939344355
0.0271,-19.62010238043764,6.615,7.847114456204765,0.80351635189312
0.0272,-19.80447924651141,6.615,7.87607059810958,0.7540952412296712
0.0273,-19.988866653420875,6.615,7.905026740014394,0.7982001088107928
0.0274,-20.17505037621569,6.615,7.933982881919209,0.7225906755891731
0.0275,-20.36985853131921,6.615,7.962939023824023,0.7857575141377496
0.0276,-20.55957826233293,6.615,7.991895165728838,0.8386956102028278
