#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 42.24614041022646
#Number of monomers: 2916666.666666667
#Number of chains: 116.66666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 4.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.31841869945529055, 6.614500236625516, 0.0, 0.6898114873335279
0.0012, 0.34734587557501023, 6.6143748251028835, 0.0, 0.6944438696175198
0.0013, 0.37626568965231366, 6.614224660493827, 0.0, 0.6342726642279797
0.0014, 0.40515981319176336, 6.613955154320991, 0.0, 0.550219509882703
0.0015, 0.43406883935526486, 6.613801759259265, 0.0, 0.49844311092862087
0.0016, 0.46290470241315, 6.613315452674897, 0.0, 0.35346287398507725
0.0017, 0.49183238972194715, 6.613299248971195, 0.0, 0.19569784328334203
0.0018, 0.5207270586536394, 6.6131444032921864, 0.0, 0.14440051019028752
0.0019, 0.5496410453165088, 6.613083713991769, 0.0, 0.1155539758881185
0.002, 0.5784109751179863, 6.612482808641975, 0.0, 0.09380535014608218
0.0021, 0.6071525949238855, 6.611837582304527, 0.0, 0.07457325949646695
0.0022, 0.635803465304009, 6.610934032921811, 0.0, 0.05736579061453691
0.0023, 0.6641703038779377, 6.609174156378605, 0.0, 0.041949721713155426
0.0024, 0.6921473026618232, 6.606327870370372, 0.0, 0.028269235044484777
0.0025, 0.7184170056467857, 6.598506069958847, 0.0, 0.016014823137305675
0.0026, 0.7382260218179962, 6.572253014403291, 0.0, 0.007852640035454257
0.0027, 0.7479152064495442, 6.518668302469133, 0.0, 0.005297263842622222
0.0028, 0.7538433346767637, 6.457565874485601, 0.0, 0.004750871933672364
0.0029, 0.7588906845992919, 6.397307037037039, 0.0, 0.004606810296527475
0.003, 0.763512600333345, 6.338985895061729, 0.0, 0.004553327838808271
0.0031, 0.7678183043770648, 6.282692211934155, 0.0, 0.0045204085310647756
0.0032, 0.7718934037004243, 6.228467592592592, 0.0, 0.004491236308437284
0.0033, 0.7756849928303318, 6.175971358024692, 0.0, 0.004458291262711874
0.0034, 0.7792716960002016, 6.125264063786006, 0.0, 0.004427282676061278
0.0035, 0.7826599756742146, 6.076208292181069, 0.0, 0.004404674078974842
0.0036, 0.7858296556354468, 6.028609485596711, 0.0, 0.004360807588482444
0.0037, 0.7888582732548935, 5.982567314814813, 0.0, 0.004354677081262922
0.0038, 0.7916838366703565, 5.937781563786009, 0.0, 0.004316417837866298
0.0039, 0.7944100633979208, 5.894446327160495, 0.0, 0.004281463528856755
0.004, 0.7969642572548352, 5.852255082304527, 0.0, 0.0042512169921816445
0.0041, 0.799397176139133, 5.811263765432102, 0.0, 0.004224198139645901
0.0042, 0.8016960430874497, 5.771352222222221, 0.0, 0.004200990021909213
0.0043, 0.8039059148988381, 5.732575288065843, 0.0, 0.004172217043063802
0.0044, 0.8059909285815312, 5.694758106995885, 0.0, 0.004162154398533549
0.0045, 0.8079666112462313, 5.6578746707818945, 0.0, 0.004137843465501067
0.0046, 0.8098783321029119, 5.621997716049381, 0.0, 0.004102169350785027
0.0047, 0.8117000167424948, 5.5869972530864205, 0.0, 0.0040633615630211
0.0048, 0.8134261558972016, 5.552801625514403, 0.0, 0.004038208583339953
0.0049, 0.8150680165941804, 5.519393672839504, 0.0, 0.004020024869788392
0.005, 0.8166441084096177, 5.486776738683129, 0.0, 0.004000996896378318
0.0051, 0.8181651287094738, 5.454946532921813, 0.0, 0.003982167208566789
0.0052, 0.8196295620862938, 5.423848837448561, 0.0, 0.0039430523688922196
0.0053, 0.8210062240855696, 5.3933624588477365, 0.0, 0.003920037157861021
0.0054, 0.8223433638881791, 5.363582109053497, 0.0, 0.0038988196773818502
0.0055, 0.8236130006129262, 5.334405802469138, 0.0, 0.003868819108867109
0.0056, 0.8248325101238194, 5.30584079218107, 0.0, 0.0038636411372554662
0.0057, 0.8260153922927482, 5.277897695473251, 0.0, 0.003836332399246875
0.0058, 0.8271438388620945, 5.250499938271605, 0.0, 0.00379913952429158
