#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 28.164093606817637
#Number of monomers: 2916666.666666667
#Number of chains: 1458.3333333333335
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 0.1
#x-link fraction: 5.0E-4
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.07117302572330772, 4.014074618055556, 0.0, 0.5181990867856359
0.0012, 0.07764947116422186, 4.01418357638889, 0.0, 0.6114985387770138
0.0013, 0.0841108800707051, 4.0140339236111116, 0.0, 0.5271220113814682
0.0014, 0.09057887011457659, 4.0139990625, 0.0, 0.6002441205118588
0.0015, 0.09705349518446425, 4.014067152777777, 0.0, 0.6684644796503723
0.0016, 0.10352099069373573, 4.014030555555556, 0.0, 0.6022972225470379
0.0017, 0.10999502091576413, 4.0140770833333335, 0.0, 0.5684999829026978
0.0018, 0.11646418373983337, 4.014065659722224, 0.0, 0.62454207095713
0.0019, 0.12293258325141042, 4.014046597222222, 0.0, 0.6288036704133806
0.002, 0.12940196959003838, 4.0140368055555555, 0.0, 0.7228110616115689
0.0021, 0.1358683621747643, 4.0140030555555555, 0.0, 0.5924905914842146
0.0022, 0.14234863657583588, 4.014099097222221, 0.0, 0.6703817374008583
0.0023, 0.14881250884680033, 4.014041631944445, 0.0, 0.7070305963523215
0.0024, 0.1552843651757404, 4.014053819444445, 0.0, 0.7537945247861761
0.0025, 0.16175731023422255, 4.014080486111112, 0.0, 0.7065608950350492
0.0026, 0.16822669237029775, 4.014072951388888, 0.0, 0.7223137551119194
0.0027, 0.1746937364362288, 4.014048645833333, 0.0, 0.631579884307088
0.0028, 0.18116326835505475, 4.0140460069444455, 0.0, 0.565743588979786
0.0029, 0.18762834108494508, 4.0140075347222215, 0.0, 0.5769952175954645
0.003, 0.19410710646331114, 4.014067395833333, 0.0, 0.7097274724564285
0.0031, 0.20057463226095087, 4.01404986111111, 0.0, 0.7199021553212921
0.0032, 0.20704668682909985, 4.014064409722222, 0.0, 0.7494325539795614
0.0033, 0.21351199241571028, 4.014031527777778, 0.0, 0.6412526999707762
0.0034, 0.219987171963028, 4.014064583333333, 0.0, 0.6535768927245312
0.0035, 0.22645543372514138, 4.014053194444443, 0.0, 0.6945834371555905
0.0036, 0.2329220231336513, 4.014028576388888, 0.0, 0.7066872022660148
0.0037, 0.2393990452616463, 4.014069687499998, 0.0, 0.6890382003403309
0.0038, 0.24586011206647812, 4.014019131944443, 0.0, 0.8058296340864719
0.0039, 0.2523318896992044, 4.014029930555557, 0.0, 0.6633320895601578
0.004, 0.25877925109595884, 4.013912118055555, 0.0, 0.7121441189531533
0.0041, 0.26527008059208823, 4.014018854166666, 0.0, 0.7593979631409088
0.0042, 0.27172675464085716, 4.01395767361111, 0.0, 0.6299052819114495
0.0043, 0.27820510433733886, 4.013992118055556, 0.0, 0.7528401810961457
0.0044, 0.2846647669537076, 4.013947256944443, 0.0, 0.6274064504753585
0.0045, 0.29115383766573477, 4.014036666666667, 0.0, 0.6162819266188175
0.0046, 0.2976129289101847, 4.013988125, 0.0, 0.7155144262250884
0.0047, 0.30409337378722967, 4.014033298611111, 0.0, 0.6878673562745907
0.0048, 0.3105450091412698, 4.013954236111111, 0.0, 0.5526375401113119
0.0049, 0.31702909900584075, 4.014012500000001, 0.0, 0.6778758852324911
0.005, 0.323480369042793, 4.013936736111109, 0.0, 0.6055244437901032
0.0051, 0.32996294587163477, 4.013991909722222, 0.0, 0.608645437461899
0.0052, 0.3364128170624873, 4.0139133680555545, 0.0, 0.6080995989945208
0.0053, 0.34289780388230034, 4.013972118055556, 0.0, 0.5714000186069644
0.0054, 0.34937326336411345, 4.013992951388889, 0.0, 0.6376517405493771
0.0055, 0.3558288260212099, 4.013941319444444, 0.0, 0.6927463173675473
0.0056, 0.362290443103557, 4.013912083333333, 0.0, 0.5614604691107238
0.0057, 0.3687628536513041, 4.0139209027777785, 0.0, 0.6247370288307804
0.0058, 0.37524365257918274, 4.013958090277777, 0.0, 0.5038001408443867
