#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 30.742646461392674
#Number of monomers: 2916666.666666667
#Number of chains: 2919.875000000001
#Flory interaction parameter (chi): 0.2
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 0.001
#x-link fraction increment: 2.49E-5
#Reservoir swelling ratio: 3.182291877269745
#Mean swelling ratio: 3.1816527500000005
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.0
#Actual volume fraction: 0.0
#MC steps: 150000
#Equilibration steps: 50000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.00292, 0.5168153209635235, 5.614016824074074, 0.0, 0.14904590777209173, 5.49E-5, 0.0031228935228689615
0.00364, 0.5160831834388102, 5.213873935185186, 0.0, 0.14683205627564333, 7.98E-5, 0.0021482494905283337
0.00427, 0.5155345544786222, 4.94192137037037, 0.0, 0.1485285208415027, 1.047E-4, 0.0016373586762867905
0.00484, 0.515134785045793, 4.738522027777778, 0.0, 0.1496069692930402, 1.296E-4, 0.0013227691461755095
0.00534, 0.5123537861387055, 4.5774749074074075, 0.0, 0.14874738787680453, 1.5450000000000001E-4, 0.0011095721527549886
0.00585, 0.5139482415269321, 4.444977916666667, 0.0, 0.147701640757606, 1.7940000000000002E-4, 9.555672689922563E-4
0.00628, 0.5110701599692807, 4.332990935185185, 0.0, 0.1480782534707202, 2.0430000000000003E-4, 8.391023780735834E-4
0.00673, 0.5118859207783056, 4.236421749999999, 0.0, 0.14979559309695525, 2.2920000000000004E-4, 7.47944121907406E-4
0.00713, 0.5104041532311963, 4.151648648148148, 0.0, 0.14659149669996943, 2.5410000000000005E-4, 6.74651676256321E-4
0.00757, 0.5129764919045012, 4.076416083333332, 0.0, 0.1476207514419795, 2.7900000000000006E-4, 6.144582463329933E-4
0.00792, 0.5104517881582984, 4.008857194444444, 0.0, 0.14822386237752133, 3.0390000000000007E-4, 5.641008802721881E-4
0.00828, 0.5095999407176709, 3.947687675925928, 0.0, 0.1489767185251545, 3.288000000000001E-4, 5.213784159709909E-4
0.00863, 0.508900927045621, 3.8917957685185183, 0.0, 0.1499664017023507, 3.537000000000001E-4, 4.8468006377185436E-4
0.00901, 0.5105776621542609, 3.8404971203703706, 0.0, 0.1480256311396703, 3.786000000000001E-4, 4.5280119444555847E-4
0.00934, 0.5099666160607499, 3.7932030092592606, 0.0, 0.14736621325017232, 4.035000000000001E-4, 4.248562814854382E-4
0.00968, 0.5103623133951651, 3.749225333333334, 0.0, 0.14956396563993943, 4.284000000000001E-4, 4.001605706087229E-4
0.01001, 0.5106526219786348, 3.708261287037037, 0.0, 0.14446520742984356, 4.533000000000001E-4, 3.781877906642015E-4
0.01033, 0.5107735008438753, 3.6698535370370355, 0.0, 0.14881698052446507, 4.7820000000000013E-4, 3.5849013335710416E-4
0.01058, 0.5079043895494704, 3.633883185185186, 0.0, 0.1476143136588841, 5.031000000000001E-4, 3.4074491561466886E-4
0.01093, 0.5101505827012784, 3.59996099074074, 0.0, 0.14869064990215436, 5.280000000000001E-4, 3.2467549215417144E-4
0.01122, 0.509793335490588, 3.567834555555555, 0.0, 0.14799517245749674, 5.529000000000002E-4, 3.1005536507810956E-4
0.01152, 0.5102170081728629, 3.537568472222221, 0.0, 0.1489856867992514, 5.778000000000002E-4, 2.966919317581643E-4
0.01178, 0.5090987666714172, 3.5087764537037054, 0.0, 0.14942127530615293, 6.027000000000002E-4, 2.8443448560419273E-4
0.0121, 0.5107690091766148, 3.481364777777777, 0.0, 0.1490719627485785, 6.276000000000002E-4, 2.7314994441834955E-4
0.01232, 0.5084452194073735, 3.45525874074074, 0.0, 0.14989150339022592, 6.525000000000002E-4, 2.627261523263753E-4
0.0126, 0.5088292160188037, 3.4303314814814825, 0.0, 0.14997853829886937, 6.774000000000002E-4, 2.5306845552910165E-4
0.01289, 0.5097546529016835, 3.4064694259259256, 0.0, 0.1496610891411261, 7.023000000000002E-4, 2.4409621552329798E-4
0.01309, 0.5073204385092193, 3.3836267962962956, 0.0, 0.14882259269364956, 7.272000000000002E-4, 2.3573787282256257E-4
0.01332, 0.5062540074045597, 3.3616748888888885, 0.0, 0.14981455400283403, 7.521000000000002E-4, 2.279332800767296E-4
0.01366, 0.5094832738588565, 3.3406199074074077, 0.0, 0.14840322007918252, 7.770000000000002E-4, 2.2062879886489863E-4
0.01394, 0.5105379557492167, 3.3203858240740742, 0.0, 0.1477266628601627, 8.019000000000002E-4, 2.1377984756664134E-4
0.01414, 0.5087835804095044, 3.3008652222222223, 0.0, 0.1487791055768616, 8.268000000000003E-4, 2.0734953688066906E-4
0.01427, 0.5047465071445612, 3.2820801666666672, 0.0, 0.14872465904338472, 8.517000000000003E-4, 2.0127956652695E-4
0.01458, 0.5071832002060724, 3.2638854999999998, 0.0, 0.14873379345916632, 8.766000000000003E-4, 1.9556103261283227E-4
0.01487, 0.5089747168691958, 3.246338712962963, 0.0, 0.1478778927908718, 9.015000000000003E-4, 1.9015927998627152E-4
0.01513, 0.5098000565947678, 3.2293770555555557, 0.0, 0.14867543489129104, 9.264000000000003E-4, 1.8504820394688628E-4
0.0153, 0.5077106128381729, 3.212967111111111, 0.0, 0.14943013465858002, 9.513000000000003E-4, 1.8020471278301867E-4
