#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 46.15848127347998
#Number of monomers: 2916666.666666667
#Number of chains: 116.66666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 4.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.28207825689953137, 6.615, 0.3185175609529622, 1.3801500118026269
0.0012, 0.3090243197875657, 6.615, 0.3474737028577769, 1.3476306375848546
0.0013, 0.32459712440199956, 6.615, 0.37642984476259167, 1.427065243619669
0.0014, 0.3415861583065606, 6.615, 0.40538598666740644, 1.5349103023134787
0.0015, 0.36377570382924646, 6.615, 0.43434212857222115, 1.5084800957111406
0.0016, 0.3854925155947044, 6.615, 0.4632982704770359, 1.5416126304460995
0.0017, 0.4007794794266675, 6.615, 0.4922544123818507, 1.5464307727229207
0.0018, 0.42093903965521906, 6.615, 0.5212105542866654, 1.5146655318885367
0.0019, 0.43266079411027664, 6.615, 0.5501666961914802, 1.6160476525980898
0.002, 0.4526380821768746, 6.615, 0.579122838096295, 1.550803748186891
0.0021, 0.4659723476076831, 6.615, 0.6080789800011096, 1.6731873998578506
0.0022, 0.48603625840651277, 6.615, 0.6370351219059244, 1.6416959897334815
0.0023, 0.49453240380382635, 6.615, 0.665991263810739, 1.739294174730484
0.0024, 0.5360695502732227, 6.615, 0.6949474057155537, 1.4800843026160495
0.0025, 0.521320134130773, 6.615, 0.7239035476203683, 1.6816701014348836
0.0026, 0.5647069173433221, 6.615, 0.7528596895251831, 1.5194379645980756
0.0027, 0.7570278632537276, 6.615, 0.7818158314299978, 0.13777123092602553
0.0028, 0.7817215211759548, 6.615, 0.8107719733348124, 0.12185164747152703
0.0029, 0.8052732318231958, 6.615, 0.8397281152396272, 0.11186122295533872
0.003, 0.8273861626215074, 6.615, 0.8686842571444419, 0.1026609595930396
0.0031, 0.8475598213728526, 6.615, 0.8976403990492565, 0.09761804242399312
0.0032, 0.8663057782888278, 6.615, 0.9265965409540712, 0.0931118250205255
0.0033, 0.8832100130138065, 6.615, 0.955552682858886, 0.08987302130588186
0.0034, 0.8984788437466038, 6.615, 0.9845088247637006, 0.08698559747657388
0.0035, 0.9120132309237649, 6.615, 1.0134649666685154, 0.08592165240409545
0.0036, 0.9236714992320406, 6.615, 1.04242110857333, 0.08622448731292223
0.0037, 0.9340135281992649, 6.615, 1.0713772504781447, 0.08617158404284844
0.0038, 0.942909713209168, 6.615, 1.1003333923829595, 0.08719374066710926
0.0039, 0.950390401216427, 6.615, 1.129289534287774, 0.08815453139530521
0.004, 0.9565890759293383, 6.615, 1.1582456761925888, 0.08956376313732174
0.0041, 0.9615312852733522, 6.615, 1.1872018180974038, 0.09140452958518645
0.0042, 0.9653122155445275, 6.615, 1.2161579600022185, 0.09340458679603773
0.0043, 0.9680017728779288, 6.615, 1.2451141019070333, 0.09809175458800726
0.0044, 0.969683789975589, 6.615, 1.274070243811848, 0.1029261960484167
