#Minimum dry volume fraction: 0.001
#Maximum dry volume fraction: 0.004
#Dry volume fraction increment: 1.0E-4
#Initial configuration: FCC
#Number of particles: 108
#Dry volume fraction increment: 1.0E-4
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 47.96334932711922
#Number of monomers: 2916666.666666667
#Number of chains: 145.83333333333334
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 5.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 50
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.002
#phi0,    phi,    <alpha>,    <alpha_tilde>,    zeta,    lindemannParameter
0.0011, 0.2607290991148845, 6.33031656378601, 6.328743822354617, 0.2788384795519115, 1.0257720579478902
0.0012, 0.2848840922753462, 6.331074146090535, 6.328745512150207, 0.3041874322384489, 0.990369250239594
0.0013, 0.30329585143115345, 6.331152885802471, 6.32876960392253, 0.3295363849249863, 1.0254346368775311
0.0014, 0.32037416615536496, 6.331326625514402, 6.328765036128338, 0.35488533761152374, 1.0596196283738601
0.0015, 0.3408942635500469, 6.331426970164613, 6.32877588727225, 0.38023429029806116, 1.0841465850390273
0.0016, 0.3575135987423747, 6.331336738683123, 6.32877967632015, 0.4055832429845986, 1.1205634904456976
0.0017, 0.37782401783646236, 6.332157330246914, 6.328775833628587, 0.430932195671136, 1.1202573434044432
0.0018, 0.39681925905293275, 6.332234506172843, 6.328661605200848, 0.4562811483576734, 1.16593152983722
0.0019, 0.40815808586158453, 6.332794938271602, 6.328722434131065, 0.48163010104421083, 1.144494088036231
0.002, 0.431685717334983, 6.3325249382716065, 6.328701233086967, 0.5069790537307483, 1.1802299848073514
0.0021, 0.44410369525290944, 6.333472237654317, 6.328662539210016, 0.5323280064172856, 1.2167739143381686
0.0022, 0.46417978806132765, 6.333739799382719, 6.328690977619452, 0.557676959103823, 1.2374541918501019
0.0023, 0.47571107697371595, 6.33402027263374, 6.3285765489006165, 0.5830259117903603, 1.2998239888786987
0.0024, 0.49268236945635646, 6.335587906378603, 6.328538444798835, 0.6083748644768977, 1.2041031346690307
0.0025, 0.5203057656313569, 6.339071898148144, 6.328287622242876, 0.6337238171634351, 1.1504842448132881
0.0026, 0.5790132621870467, 6.347059238683124, 6.327811022134345, 0.6590727698499724, 0.8268563898161356
0.0027, 0.6049599450705436, 6.3498210956790055, 6.327553752162941, 0.6844217225365098, 0.8103625839560575
0.0028, 0.7090394094106247, 6.364266507201641, 6.326534656355947, 0.7097706752230472, 0.13340821072152875
0.0029, 0.7342944153857537, 6.368758791152265, 6.326349822634665, 0.7351196279095845, 0.11904049289562625
0.003, 0.759446346946989, 6.373616841563794, 6.325871802082005, 0.7604685805961219, 0.10439806221917175
0.0031, 0.7845070647920744, 6.3806846244855935, 6.325190157256303, 0.7858175332826592, 0.09210430615311706
0.0032, 0.8095118484903795, 6.3898744753086465, 6.324402566991733, 0.8111664859691966, 0.0808494194710291
0.0033, 0.8343062571234826, 6.404257386831269, 6.323139572086467, 0.836515438655734, 0.07357518005135792
0.0034, 0.8587690163374583, 6.423188590534975, 6.321112276397198, 0.8618643913422713, 0.06579661754907241
0.0035, 0.8827823636032297, 6.450474706790118, 6.318188404528774, 0.8872133440288087, 0.06095206669175997
0.0036, 0.9060232504174913, 6.4868376491769535, 6.313564951868811, 0.912562296715346, 0.05736946353420062
0.0037, 0.9279893781638286, 6.534476018518523, 6.30634551679224, 0.9379112494018834, 0.05479646243524731
0.0038, 0.9473368259935281, 6.5917342798353875, 6.293636087608555, 0.9632602020884208, 0.053813910257443594
0.0039, 0.9619441533911133, 6.649196167695468, 6.271225011418468, 0.9886091547749581, 0.05684278840149773
