phi0,    phi,    <alpha>,    <alpha_tilde>,    zeta,    lindemannParameter
0.0011,0.2788224675194642,6.333883632812494,6.328583134142814,0.2788384795519115,0.1337188757749154
0.0012,0.3041801298078498,6.335099140625001,6.328664828981203,0.3041874322384489,0.1066853614945215
0.0013,0.3295299077166556,6.336706523437494,6.328661981243069,0.3295363849249863,0.0670428952464516
0.0014,0.3548296706379535,6.336166445312495,6.3283809219034985,0.3548853376115237,0.1111124581923328
0.0015,0.380146536828213,6.338035351562501,6.3282223004089895,0.3802342902980611,0.0712934069881326
0.0016,0.4055302534063761,6.339947382812499,6.328432300124055,0.4055832429845986,0.1292063192872854
0.0017,0.4308586602683401,6.340534882812505,6.328347075089195,0.430932195671136,0.0988847525362633
0.0018,0.4561345314332709,6.3429348828124965,6.32803093960909,0.4562811483576734,0.0519967456197228
0.0019,0.4814184039173634,6.344929453125001,6.327773330458708,0.4816301010442108,0.1372048087390641
0.002,0.5067758237979166,6.346504492187503,6.327847499310886,0.5069790537307483,0.0569680250185698
0.0021,0.5320613023449753,6.349591718749995,6.3276499976018,0.5323280064172856,0.0782706893527025
0.0022,0.5573379669774995,6.352454609374998,6.327420420442604,0.557676959103823,0.1249245905711461
0.0023,0.5826347513504334,6.354504804687504,6.327295316498281,0.5830259117903603,0.0360268986970098
0.0024,0.6079155372343937,6.356813750000003,6.327117208302051,0.6083748644768977,0.0411410005876399
0.0025,0.6333418725225859,6.354554179687501,6.327441383833803,0.6337238171634351,0.0278956047451125
0.0026,0.6585626895699833,6.358817539062504,6.327073342878412,0.6590727698499724,0.0295306951319608
0.0027,0.6838246401239252,6.360472499999999,6.326861700568949,0.6844217225365098,0.0254786643509046
0.0028,0.709095389755102,6.362735234375006,6.326693494241988,0.7097706752230472,0.0205320633764886
0.0029,0.7342719768671789,6.367081601562498,6.326276055617545,0.7351196279095845,0.017793825252693
0.003,0.7594516511253427,6.371737148437503,6.32589878565299,0.7604685805961219,0.0178422252077789
0.0031,0.7845734225031716,6.379421210937499,6.325373284075243,0.7858175332826592,0.0152617606805713
0.0032,0.8095171905601525,6.387565898437498,6.324404025397558,0.8111664859691966,0.0118007006275298
0.0033,0.8344487367629989,6.403158867187505,6.323497250465038,0.836515438655734,0.011635664656895
0.0034,0.8588300892566223,6.422360703125004,6.321286395319171,0.8618643913422713,0.0104586334252263
0.0035,0.8828017888510599,6.449208789062498,6.318232337373152,0.8872133440288087,0.009860165582073
0.0036,0.9060218937436788,6.4853341796875,6.313642755333467,0.912562296715346,0.009458164086858
0.0037,0.9280305183260832,6.53334308593749,6.306510115689543,0.9379112494018834,0.0084820291359517
0.0038,0.9473917035861732,6.591113437499998,6.293890493470342,0.9632602020884208,0.0082235597343143
0.0039,0.96195707503727,6.649364179687501,6.271384297030607,0.988609154774958,0.0085293150791895
