#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 46.15848127347998
#Number of monomers: 2916666.666666667
#Number of chains: 87.50000000000001
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 3.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.3301747206062752, 7.005, 0.3781606895572335, 1.3549543956840178
0.0012, 0.3530967851949383, 7.005, 0.4125389340624365, 1.3389720551642057
0.0013, 0.37468487393606625, 7.005, 0.44691717856763963, 1.460063239419012
0.0014, 0.3999266342708438, 7.005, 0.4812954230728427, 1.4206228737693274
0.0015, 0.4137721584628061, 7.005, 0.5156736675780457, 1.4687775454550551
0.0016, 0.43520754094188235, 7.005, 0.5500519120832488, 1.536574131112601
0.0017, 0.45833493743510667, 7.005, 0.5844301565884519, 1.508400162946218
0.0018, 0.4806429561688834, 7.005, 0.6188084010936549, 1.5390555158224257
0.0019, 0.4958012307213477, 7.005, 0.653186645598858, 1.635923258373468
0.002, 0.5073366046091442, 7.005, 0.687564890104061, 1.5991461925217116
0.0021, 0.554568123391313, 7.005, 0.721943134609264, 1.4167704637937062
0.0022, 0.5825523559107567, 7.005, 0.756321379114467, 1.3602797496946326
0.0023, 0.6081794477052168, 7.005, 0.79069962361967, 1.3387480436607082
0.0024, 0.6848798335020401, 7.005, 0.8250778681248729, 0.9313612553313058
0.0025, 0.8135405485507196, 7.005, 0.8594561126300759, 0.12980203336234394
0.0026, 0.8375971682416845, 7.005, 0.8938343571352789, 0.12336849757929622
0.0027, 0.8605883115666364, 7.005, 0.9282126016404819, 0.11353964021527616
0.0028, 0.8804150578386792, 7.005, 0.9625908461456849, 0.11063371327080963
0.0029, 0.8983844859814689, 7.005, 0.9969690906508879, 0.10615081627161567
0.003, 0.913762473673997, 7.005, 1.031347335156091, 0.10455294639280764
0.0031, 0.9268190600725981, 7.005, 1.0657255796612939, 0.10461613648452257
0.0032, 0.9377920073151017, 7.005, 1.1001038241664969, 0.10579911558469957
0.0033, 0.9471111821062101, 7.005, 1.1344820686716999, 0.1054204548544182
#0.0034, 0.9542966012542201, 7.005, 1.1688603131769029, 0.10744337217542416
#0.0035, 0.9597052789906962, 7.005, 1.2032385576821059, 0.11544063229016732
#0.0036, 0.963728308025191, 7.005, 1.2376168021873089, 0.11874390336200331
#0.0037, 0.5289425738126079, 7.005, 1.2719950466925118, 2.0878806152656586
#0.0038, 0.5996506283853946, 7.005, 1.3063732911977146, 1.872247408479592
#0.0039, 0.5106739411770924, 7.005, 1.3407515357029176, 2.2459117844445347
#0.004, 0.558509495969713, 7.005, 1.3751297802081208, 2.184756945136612
#0.0041, 0.49257435339163635, 7.005, 1.409508024713324, 2.267780753974426
#0.0042, 0.5090448398262994, 7.005, 1.443886269218527, 2.3157846030890346
#0.0043, 0.4879461230398768, 7.005, 1.4782645137237302, 2.3883297366046525
#0.0044, 0.492470971101869, 7.005, 1.5126427582289335, 2.2760792813218176
