#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 44.893223121818934
#Number of monomers: 2916666.666666667
#Number of chains: 116.66666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#x-link fraction: 4.0E-5
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.31844286338049377, 6.61466632716049, 0.0, 0.6986070348119345
0.0012, 0.3473707344563089, 6.6145327366255176, 0.0, 0.647679425991333
0.0013, 0.3762390997450156, 6.614067592592595, 0.0, 0.5940506413955792
0.0014, 0.40517299217129776, 6.614028703703702, 0.0, 0.5896768397930935
0.0015, 0.4340402721490543, 6.613655565843618, 0.0, 0.5004199068478434
0.0016, 0.46287361415729283, 6.6131688991769515, 0.0, 0.43054964206113255
0.0017, 0.49189936506051546, 6.613599444444443, 0.0, 0.17556844651778528
0.0018, 0.5207455014563505, 6.613222386831271, 0.0, 0.14514056699544478
0.0019, 0.5495768388014648, 6.612828477366253, 0.0, 0.11539440291161578
0.002, 0.5783690888049985, 6.612324588477368, 0.0, 0.09448928616574699
0.0021, 0.6071517901874073, 6.611835174897116, 0.0, 0.07436271237104179
0.0022, 0.6357976498604014, 6.61091430041152, 0.0, 0.05747422392439974
0.0023, 0.6642018719597735, 6.60927984567901, 0.0, 0.042127266711086894
0.0024, 0.6920936285281682, 6.606156049382718, 0.0, 0.02818491169077344
0.0025, 0.7183923028721867, 6.598430699588476, 0.0, 0.01601935982549476
0.0026, 0.7382173991140193, 6.572227746913578, 0.0, 0.00784893486978967
0.0027, 0.7478853372950923, 6.518581666666668, 0.0, 0.005295246805271516
0.0028, 0.753878661404588, 6.457670679012348, 0.0, 0.004745780213156882
0.0029, 0.7588870887785946, 6.39729723251029, 0.0, 0.004616932069214986
0.003, 0.7635113260468575, 6.338980432098769, 0.0, 0.004552653536162915
0.0031, 0.7678400359227099, 6.282755226337449, 0.0, 0.004512568299936721
0.0032, 0.7718627136432379, 6.22837683127572, 0.0, 0.004480233926281725
0.0033, 0.7757004443384741, 6.176014485596711, 0.0, 0.004458243807966975
0.0034, 0.7792779582497266, 6.125280257201644, 0.0, 0.004432304207583313
0.0035, 0.7826547343954794, 6.076191995884774, 0.0, 0.004396214165407262
0.0036, 0.7858352596649765, 6.028627674897117, 0.0, 0.004363699122773246
0.0037, 0.7888697264566485, 5.9826002366255135, 0.0, 0.004337608249999129
0.0038, 0.7917208309240631, 5.93788901234568, 0.0, 0.004320250867375499
0.0039, 0.7943807615919145, 5.8943644855967054, 0.0, 0.00430229262457907
0.004, 0.7969842853721985, 5.852314362139918, 0.0, 0.004254761607285704
0.0041, 0.7994085314905104, 5.811298168724279, 0.0, 0.004231486818314788
0.0042, 0.801686508514845, 5.7713283641975295, 0.0, 0.0042020156467036714
0.0043, 0.8038968062463172, 5.7325490432098745, 0.0, 0.004160171448371754
0.0044, 0.8060058256907822, 5.69480015432099, 0.0, 0.004140214831194236
0.0045, 0.8079755862460426, 5.657900987654323, 0.0, 0.0041268214002817966
0.0046, 0.8098708353931242, 5.621975020576133, 0.0, 0.004087823134181344
0.0047, 0.8117001324599572, 5.586998703703701, 0.0, 0.004074493715746151
0.0048, 0.8134264552421067, 5.552801121399179, 0.0, 0.004036209385551212
