phi0,  phi, <alpha>,zeta,  lindemannParameter,,,,      ,,, , , 
0.0011,0.343614774895802,7.00993227366255,0.378160689557234,1.04334549920795,,,,,,,,,
0.0012,0.368778803879481,7.01248008230453,0.412538934062437,1.04234369871964,,,,,,,,,
0.0013,0.386062427776335,7.01077875514403,0.44691717856764,1.14023786135961,,,,,,,,,
0.0014,0.418132468709279,7.01354934156379,0.481295423072843,1.10368978181933,,,,,,,,,
0.0015,0.431628235306972,7.01441393004115,0.515673667578046,1.14425692113986,,,,,,,,,
0.0016,0.462692933642905,7.0142528600823,0.550051912083249,1.229936096899,,,,,,,,,
0.0017,0.476489787627548,7.01596180041152,0.584430156588452,1.25897757256892,,,,,,,,,
0.0018,0.494624320806597,7.01519037037035,0.618808401093655,1.21083440940774,,,,,,,,,
0.0019,0.538005654257059,7.02332670781893,0.653186645598858,1.12261867345464,,,,,,,,,
0.002,0.578263274258679,7.03081900205761,0.687564890104061,1.04304636883927,,,,,,,,,
0.0021,0.695626228289728,7.06691430041151,0.721943134609264,0.383916767367491,,,,,,,,,
0.0022,0.755163475993306,7.08169342592592,0.756321379114467,0.14311930028786,,,,,,,,,
0.0023,0.78929736218467,7.09260673868312,0.79069962361967,0.118114407061366,,,,,,,,,
0.0024,0.823130807457998,7.1108828600823,0.825077868124873,0.102428187981888,,,,,,,,,
0.0025,0.856629987085881,7.13732694444445,0.859456112630076,0.0896509559512648,,,,,,,,,
0.0026,0.889490854135402,7.17864829218107,0.893834357135279,0.078933173825182,,,,,,,,,
0.0027,0.920871038515368,7.24136569958848,0.928212601640482,0.0718782568224406,,,,,,,,,
0.0028,0.948566345166831,7.32998741769547,0.962590846145685,0.068495635460607,,,,,,,,,
0.0029,0.967490394979752,7.42189550411524,0.996969090650888,0.0921609225377378,,,,,,,,,
0.003,0.570703583511867,7.00998265432099,1.03134733515609,1.74596011876436,,,,,,,,,
0.0031,0.580450228848447,7.01050735596708,1.06572557966129,1.8548156159556,,,,,,,,,
0.0032,0.571400861412105,7.01040997942387,1.1001038241665,1.79558442746287,,,,,,,,,
0.0033,0.565696100233265,7.01059895061728,1.1344820686717,1.91377703914755,,,,,,,,,
0.0034,0.567619995670861,7.01001243827161,1.1688603131769,1.89383751890459,,,,,,,,,
0.0035,0.577488224822082,7.00982344650206,1.20323855768211,1.93918109311184,,,,,,,,,
0.0036,0.544661531261244,7.01085038065845,1.23761680218731,1.86749869899756,,,,,,,,,
0.0037,0.572834028981653,7.01035383744857,1.27199504669251,1.92944562226507,,,,,,,,,
0.0038,0.535824619676832,7.01023551440329,1.30637329119771,1.92985519294096,,,,,,,,,
0.0039,0.548037500818367,7.01069993827161,1.34075153570292,1.94968028010839,,,,,,,,,
