phi0,  phi, <alpha>,zeta,  lindemannParameter,,,,      ,,, , , 
0.0011,0.318442863380494,6.61466632716049,0,0.698607034811935,,,,,,,,,
0.0012,0.347370734456309,6.61453273662552,0,0.647679425991333,,,,,,,,,
0.0013,0.376239099745016,6.6140675925926,0,0.594050641395579,,,,,,,,,
0.0014,0.405172992171298,6.6140287037037,0,0.589676839793094,,,,,,,,,
0.0015,0.434040272149054,6.61365556584362,0,0.500419906847843,,,,,,,,,
0.0016,0.462873614157293,6.61316889917695,0,0.430549642061133,,,,,,,,,
0.0017,0.491899365060515,6.61359944444444,0,0.175568446517785,,,,,,,,,
0.0018,0.520745501456351,6.61322238683127,0,0.145140566995445,,,,,,,,,
0.0019,0.549576838801465,6.61282847736625,0,0.115394402911616,,,,,,,,,
0.002,0.578369088804999,6.61232458847737,0,0.0944892861657469,,,,,,,,,
0.0021,0.607151790187407,6.61183517489712,0,0.0743627123710417,,,,,,,,,
0.0022,0.635797649860401,6.61091430041152,0,0.0574742239243997,,,,,,,,,
0.0023,0.664201871959774,6.60927984567901,0,0.0421272667110868,,,,,,,,,
0.0024,0.692093628528168,6.60615604938272,0,0.0281849116907734,,,,,,,,,
0.0025,0.718392302872187,6.59843069958848,0,0.0160193598254947,,,,,,,,,
0.0026,0.738217399114019,6.57222774691358,0,0.0078489348697896,,,,,,,,,
0.0027,0.747885337295092,6.51858166666667,0,0.0052952468052715,,,,,,,,,
0.0028,0.753878661404588,6.45767067901235,0,0.0047457802131568,,,,,,,,,
0.0029,0.758887088778595,6.39729723251029,0,0.0046169320692149,,,,,,,,,
0.003,0.763511326046858,6.33898043209877,0,0.0045526535361629,,,,,,,,,
0.0031,0.76784003592271,6.28275522633745,0,0.0045125682999367,,,,,,,,,
0.0032,0.771862713643238,6.22837683127572,0,0.0044802339262817,,,,,,,,,
0.0033,0.775700444338474,6.17601448559671,0,0.0044582438079669,,,,,,,,,
0.0034,0.779277958249727,6.12528025720164,0,0.0044323042075833,,,,,,,,,
0.0035,0.782654734395479,6.07619199588477,0,0.0043962141654072,,,,,,,,,
0.0036,0.785835259664977,6.02862767489712,0,0.0043636991227732,,,,,,,,,
0.0037,0.788869726456649,5.98260023662551,0,0.0043376082499991,,,,,,,,,
0.0038,0.791720830924063,5.93788901234568,0,0.0043202508673754,,,,,,,,,
0.0039,0.794380761591915,5.89436448559671,0,0.004302292624579,,,,,,,,,
0.004,0.796984285372199,5.85231436213992,0,0.0042547616072857,,,,,,,,,
0.0041,0.79940853149051,5.81129816872428,0,0.0042314868183147,,,,,,,,,
0.0042,0.801686508514845,5.77132836419753,0,0.0042020156467036,,,,,,,,,
0.0043,0.803896806246317,5.73254904320987,0,0.0041601714483717,,,,,,,,,
0.0044,0.806005825690782,5.69480015432099,0,0.0041402148311942,,,,,,,,,
0.0045,0.807975586246043,5.65790098765432,0,0.0041268214002817,,,,,,,,,
0.0046,0.809870835393124,5.62197502057613,0,0.0040878231341813,,,,,,,,,
0.0047,0.811700132459957,5.5869987037037,0,0.0040744937157461,,,,,,,,,
0.0048,0.813426455242107,5.55280112139918,0,0.0040362093855512,,,,,,,,,
