phi0,phi,alpha,zeta,lindemannParameter
0.0011,0.254234975780993,6.328,0.278838479551912,1.36799084691411
0.0012,0.276831680722404,6.328,0.304187432238449,1.14614853014315
0.0013,0.300674594771687,6.328,0.329536384924986,1.31455657479516
0.0014,0.314302361259152,6.328,0.354885337611524,1.35534404915187
0.0015,0.334960092181056,6.328,0.380234290298061,1.30488010185256
0.0016,0.353775383959602,6.328,0.405583242984599,1.44865372331886
0.0017,0.373102294966865,6.328,0.430932195671136,1.30745660796285
0.0018,0.391567759493025,6.328,0.456281148357673,1.37036896389354
0.0019,0.401883612187008,6.328,0.481630101044211,1.46512400248998
0.002,0.418584014565198,6.328,0.506979053730748,1.3889003824235
0.0021,0.436634260756863,6.328,0.532328006417286,1.40152685699574
0.0022,0.479421674715936,6.328,0.557676959103823,1.06146609052729
0.0023,0.53089330047893,6.328,0.58302591179036,0.728994779089249
0.0024,0.604797539684264,6.328,0.608374864476898,0.160101707751568
0.0025,0.62980677397453,6.328,0.633723817163435,0.138761627940256
0.0026,0.65464993666503,6.328,0.659072769849972,0.121376702956103
0.0027,0.679479170256432,6.328,0.68442172253651,0.103028210072451
0.0028,0.70409248427953,6.328,0.709770675223047,0.088822149195913
0.0029,0.728517857110162,6.328,0.735119627909585,0.0762489325612634
0.003,0.752697930287047,6.328,0.760468580596122,0.0640456831440527
0.0031,0.776238644007252,6.328,0.785817533282659,0.0541490707686696
0.0032,0.798895077658745,6.328,0.811166485969197,0.0456829742037248
0.0033,0.820168676948915,6.328,0.836515438655734,0.0392585600876534
0.0034,0.839727503558187,6.328,0.861864391342271,0.0347446644691253
0.0035,0.857555723147002,6.328,0.887213344028809,0.0320209372854761
0.0036,0.873822187724277,6.328,0.912562296715346,0.0299670528472739
0.0037,0.888622472248349,6.328,0.937911249401883,0.0285299789333669
0.0038,0.902099899921252,6.328,0.963260202088421,0.0274241116182354
0.0039,0.914271985139675,6.328,0.988609154774958,0.026796241659559
