phi0,  phi, <alpha>,zeta,  lindemannParameter,,,,      ,,, , , 
0.0011,0.260514584749957,6.33067732510288,0.278838479551912,0.933709423083142,,,,,,,,,
0.0012,0.278742277841108,6.3308203600823,0.304187432238449,0.998979291595559,,,,,,,,,
0.0013,0.303201391860727,6.33092017489713,0.329536384924986,1.06140269244546,,,,,,,,,
0.0014,0.31685108361949,6.330719218107,0.354885337611524,1.10661390188648,,,,,,,,,
0.0015,0.34305878063023,6.3317245164609,0.380234290298061,1.09444212430352,,,,,,,,,
0.0016,0.356716620226412,6.33133244855967,0.405583242984599,1.18091393567069,,,,,,,,,
0.0017,0.38443622939358,6.33278258230453,0.430932195671136,1.03544767073564,,,,,,,,,
0.0018,0.391023907825346,6.33262140946502,0.456281148357673,1.14508077566016,,,,,,,,,
0.0019,0.409117606975647,6.33256496913581,0.481630101044211,1.17168855837967,,,,,,,,,
0.002,0.432682573607963,6.33284790123456,0.506979053730748,1.17330462219372,,,,,,,,,
0.0021,0.441693817071523,6.33333043209877,0.532328006417286,1.17324145414361,,,,,,,,,
0.0022,0.456540216665803,6.3330854218107,0.557676959103823,1.29579296353993,,,,,,,,,
0.0023,0.477617388199927,6.3345329218107,0.58302591179036,1.18496979689938,,,,,,,,,
0.0024,0.479884450675826,6.33358422839506,0.608374864476898,1.32728622676377,,,,,,,,,
0.0025,0.525314466076298,6.33909080246914,0.633723817163435,1.09704487742632,,,,,,,,,
0.0026,0.601196417572626,6.35035562757202,0.659072769849972,0.712152163963491,,,,,,,,,
0.0027,0.651700018428309,6.35701307613168,0.68442172253651,0.457789770084117,,,,,,,,,
0.0028,0.709052046765716,6.36430693415638,0.709770675223047,0.134443973791652,,,,,,,,,
0.0029,0.734275642170361,6.3681137345679,0.735119627909585,0.116793127121776,,,,,,,,,
0.003,0.759431104422076,6.37364762345679,0.760468580596122,0.103294453729201,,,,,,,,,
0.0031,0.784521404490556,6.38073671810699,0.785817533282659,0.0918057397662408,,,,,,,,,
0.0032,0.809473163719202,6.39047396090535,0.811166485969197,0.0818819401110042,,,,,,,,,
0.0033,0.834259612440287,6.40391690329219,0.836515438655734,0.0728080909788429,,,,,,,,,
0.0034,0.858864330089172,6.42363560699589,0.861864391342271,0.0658144536276636,,,,,,,,,
0.0035,0.882766810577027,6.45029230452675,0.887213344028809,0.0611852127815904,,,,,,,,,
0.0036,0.906051711079145,6.48683634773662,0.912562296715346,0.0568138488066355,,,,,,,,,
0.0037,0.927987639445186,6.53433855967078,0.937911249401883,0.0544231082687848,,,,,,,,,
0.0038,0.94736288721404,6.59183523662552,0.963260202088421,0.0534849975121913,,,,,,,,,
0.0039,0.961959777193486,6.64923967078189,0.988609154774958,0.055974963670864,,,,,,,,,
