phi0,  phi, <alpha>,zeta,  lindemannParameter,,,,      ,,, , , 
0.0011,0.278798762744887,6.32790930041152,0,0.702789551819799,,,,,,,,,
0.0012,0.304122804738541,6.32776282921811,0,0.734439986463023,,,,,,,,,
0.0013,0.329452534320164,6.3276725308642,0,0.650291553795105,,,,,,,,,
0.0014,0.354781884296875,6.32759596707819,0,0.571295215237705,,,,,,,,,
0.0015,0.380082744416292,6.3273708744856,0,0.633680289676055,,,,,,,,,
0.0016,0.405380186936346,6.32715695473251,0,0.63548051140106,,,,,,,,,
0.0017,0.430663000352595,6.32689322016461,0,0.413087855657891,,,,,,,,,
0.0018,0.455960290570022,6.32673257201646,0,0.461937351524682,,,,,,,,,
0.0019,0.481295046146996,6.32674835390947,0,0.204700343195003,,,,,,,,,
0.002,0.506613981261432,6.32669521604938,0,0.161808257017663,,,,,,,,,
0.0021,0.531898933344096,6.32651394032922,0,0.132169657717564,,,,,,,,,
0.0022,0.557144788069355,6.32620468106996,0,0.107746505728727,,,,,,,,,
0.0023,0.582390521712037,6.3259191563786,0,0.0908615361744266,,,,,,,,,
0.0024,0.607539368182141,6.32532112139918,0,0.0741025024734152,,,,,,,,,
0.0025,0.632641484778361,6.32461855967078,0,0.0588535636795723,,,,,,,,,
0.0026,0.657597105415546,6.32350219135803,0,0.0451668736027968,,,,,,,,,
0.0027,0.682326346930263,6.32177220164609,0,0.0326452467382233,,,,,,,,,
0.0028,0.706303570358503,6.31793318930041,0,0.0210471265658196,,,,,,,,,
0.0029,0.727942705944312,6.30764004115227,0,0.0114050853671795,,,,,,,,,
0.003,0.741950507167478,6.27666280864197,0,0.0061844581756936,,,,,,,,,
0.0031,0.748983600048539,6.22826601851852,0,0.0047457706751856,,,,,,,,,
0.0032,0.753988579657428,6.17680146090535,0,0.0044066425326634,,,,,,,,,
0.0033,0.75837502602697,6.12611487654321,0,0.0043147569631283,,,,,,,,,
0.0034,0.762468392725434,6.07696280864198,0,0.0042664292559229,,,,,,,,,
0.0035,0.766320614974196,6.02933516460905,0,0.0042410061403352,,,,,,,,,
0.0036,0.769940276757786,5.98312344650206,0,0.004205191509116,,,,,,,,,
0.0037,0.773403720586478,5.93841137860082,0,0.0041851698961258,,,,,,,,,
0.0038,0.776700723081333,5.89505920781893,0,0.0041713412320645,,,,,,,,,
0.0039,0.779776711689535,5.85281141975309,0,0.0041562755201434,,,,,,,,,
0.004,0.782716861626541,5.81180112139918,0,0.0040999493620004,,,,,,,,,
0.0041,0.785506061440028,5.77190608024691,0,0.004096430617992,,,,,,,,,
0.0042,0.788179734908015,5.73313592592593,0,0.0040597429145577,,,,,,,,,
0.0043,0.790697086958688,5.69530700617284,0,0.0040525446886968,,,,,,,,,
0.0044,0.793136747480983,5.65856347736626,0,0.0040219931536686,,,,,,,,,
0.0045,0.795456111629922,5.62272832304527,0,0.0039956137675812,,,,,,,,,
0.0046,0.797636113944639,5.58768174897119,0,0.00399960275339,,,,,,,,,
0.0047,0.799753423355287,5.55357925925926,0,0.0039376374506798,,,,,,,,,
0.0048,0.801786096892969,5.52030773662551,0,0.0039189368991984,,,,,,,,,
