Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.705571088144623
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.5055745959281923
Mean swelling ratio: 3.50563934375
Dry volume fraction: 0.015099999999999981
Reservoir volume fraction: 0.6505109123801155
MC steps: 150000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0121, -2155.6888516159647, -2151.229895378243, 8.567635426979951, -2151.148711250305, -0.08118412793790905, -0.06465340267297309, 1.5654258155109044, -0.0059014175489999375, 0.0015852478000832402, 3.5054445, 0.5212703337615502, 0.0, 0.9766390753770284, 0.15724342772497082
0.0122, -1972.6264566042266, -1925.5398522807893, 9.50821344141866, -1925.8324311161539, 0.2925788353646197, -0.12635372772991504, 1.6272415069506827, -0.006729766472323428, 0.0016226504697147493, 3.50544371875, 0.5255783530488356, 0.0, 0.8121964375646766, 0.17290219123662526
0.0123, -1706.8281390514505, -1680.7737426482865, 9.236452914431958, -1680.948030047449, 0.1742873991625435, -0.15883937810569695, 1.6596933063582306, -0.006188588753239683, 0.001625818237823318, 3.505448874999999, 0.5298863723361211, 0.0, 0.9338575409528415, 0.1616860244080417
0.0124, -2348.3046972418992, -2290.273575558663, 9.123256434992264, -2290.9082590749153, 0.6346835162520645, -0.20784876833142882, 1.7086975207651562, -0.005491645609237701, 0.0016574081489510503, 3.5054819062499996, 0.5341943916234067, 0.0, 1.1108306928281673, 0.14864867874509888
0.0125, -2097.438101391392, -2018.5603962128584, 9.582821206476986, -2018.5481472994188, -0.012248913439667903, -0.27096266824128645, 1.7718684903000999, -0.005695546153920574, 0.0016828545329956668, 3.50547565625, 0.5385024109106922, 0.0, 1.0705014816858998, 0.15182878913232656
0.0126, -1738.4317239667364, -1654.0550201379633, 9.36712920329095, -1653.5739494564746, -0.481070681488668, -0.30799406083114483, 1.8088845424985767, -0.0050135046595125065, 0.0016837489789425526, 3.5055013749999997, 0.5428104301979777, 0.0, 1.2641707672760223, 0.1400871835160641
0.0127, -1815.0510851594809, -1698.928553695164, 9.557638627930164, -1698.6220245005513, -0.3065291946126186, -0.3539666688704079, 1.8548892703978144, -0.004915021825438109, 0.0016866112741839437, 3.5054503125000003, 0.5471184494852632, 0.0, 1.3042538011184692, 0.1382816687667186
0.0128, -1991.5178474159472, -1875.8497285527199, 10.254745059229919, -1875.8570208732306, 0.007292320510717044, -0.39465636648137686, 1.8956686961279918, -0.005061070794162693, 0.0016956740954526435, 3.5055267187500005, 0.5514264687725488, 0.0, 1.2728865939336145, 0.1403415366426775
0.0129, -2073.17367907001, -1943.8584725752037, 9.705095564190273, -1944.288883437712, 0.43041086250831934, -0.4490546417720016, 1.9499944129159286, -0.004350341192892475, 0.0017134543645821586, 3.5054831875, 0.5557344880598343, 0.0, 1.5049708621270812, 0.12940278345679618
0.013, -1785.4943991932932, -1638.9641989390861, 10.159883316206937, -1639.000549087646, 0.036350148559895885, -0.4936431181549777, 1.994644208373504, -0.004340776774286023, 0.0017427898842982473, 3.5054618749999995, 0.5600425073471198, 0.0, 1.5192337753729985, 0.12912586418367222
0.0131, -1686.0380907902224, -1523.8726999244682, 9.982607743457582, -1524.3003377288912, 0.42763780442316407, -0.5343057196203536, 2.035286405773628, -0.0038189145687694335, 0.0017420021083959152, 3.505487625, 0.5643505266344052, 0.0, 1.716389091332585, 0.12179430631108053
0.0132, -1684.496289645796, -1502.681501277095, 10.664372752144635, -1503.3522619885712, 0.6707607114760462, -0.5741455070721234, 2.075217684600995, -0.003984568649073033, 0.0017898035374628997, 3.5055076249999995, 0.5686585459216907, 0.0, 1.6657074669652854, 0.12394710035955774
0.0133, -1717.2964085666074, -1535.572109923748, 10.865469446216004, -1535.234034330799, -0.3380755929491621, -0.6147344929554792, 2.1158500898187333, -0.003861129160276136, 0.0018011468086709945, 3.505492593749999, 0.5729665652089763, 0.0, 1.7218237682319142, 0.12221765825518867
0.0134, -1723.1230175461237, -1538.4575770639462, 11.250102151709667, -1537.825700909605, -0.6318761543411053, -0.6561403707253238, 2.1573111659486726, -0.003475199150768105, 0.00180074653135203, 3.5055349375, 0.5772745844962618, 0.0, 1.8822905290395597, 0.11718428236405362
0.0135, -1729.3879405580112, -1526.1644147830236, 10.947783879049405, -1525.9320834909993, -0.23233129202432304, -0.6970075566948457, 2.198129678244264, -0.0029369832440398307, 0.0017978537585561858, 3.5055431875, 0.5815826037835473, 0.0, 2.12291587643174, 0.11061719057047184
0.0136, -1735.4664031812765, -1510.1027121578202, 11.202981038602687, -1510.8343345746466, 0.7316224168265, -0.7387125625043199, 2.2398711888068275, -0.0028958807405779414, 0.0018162883997809795, 3.5055758437499995, 0.5858906230708328, 0.0, 2.151047628585042, 0.11016214491570506
0.0137, -1764.364368301612, -1543.767636704535, 11.743187571326995, -1543.9143065555384, 0.14666985100331814, -0.7798699736857094, 2.2811071340924474, -0.0028764733146359727, 0.0018594962793168097, 3.5055950625000003, 0.5901986423581184, 0.0, 2.169206092871345, 0.10996830769290994
0.0138, -1822.8464306977437, -1590.4898434899756, 11.50453877796108, -1589.6450047209992, -0.8448387689763803, -0.8229547556934432, 2.324169539126175, -0.0020856280113183204, 0.0018504373004028154, 3.5055498437500003, 0.5945066616454039, 0.0, 2.5696920550066547, 0.10128152884533194
0.0139, -1827.9770245268437, -1573.8149377003817, 11.957342995518582, -1574.2370117176256, 0.4220740172437929, -0.8669044796685986, 2.3681750730337647, -0.002074029114481056, 0.0018459761313472268, 3.5054892187499997, 0.5988146809326894, 0.0, 2.5835654685833944, 0.10125262509290475
0.014, -1816.8686109455477, -1551.408852712703, 12.294133163849823, -1552.0044115625, 0.5955588497969633, -0.9102342294870018, 2.4115601850492023, -0.001777370145718027, 0.0018971506579066003, 3.505563156250001, 0.6031227002199748, 0.0, 2.754320484160172, 0.09829841979939176
0.0141, -1843.2883055235188, -1575.5697276372687, 13.070799873426902, -1575.1471319129646, -0.42259572430416165, -0.9536535657827455, 2.4550794365213324, -0.001770843795455257, 0.0019015141240572284, 3.5056433437500005, 0.6074307195072604, 0.0, 2.7647422762070617, 0.09834602354308945
0.0142, -1873.4280247364861, -1594.2618675704382, 12.62405503917333, -1594.4726322606261, 0.21076469018803237, -0.9982447630972674, 2.4996253778093087, -0.0010581080727767344, 0.0019039450299177592, 3.5056129374999996, 0.6117387387945459, 0.0, 3.2028169780851825, 0.09158854243565603
0.0143, -1881.3400549898467, -1588.9211486852723, 13.261439040688657, -1588.9863467318173, 0.06519804654504253, -1.0431031649818547, 2.5445686218918517, -0.0010551634874051993, 0.001938393523920966, 3.5055555312500006, 0.6160467580818314, 0.0, 3.2090516551973094, 0.09171381358397517
0.0144, -1924.6152299288053, -1628.5170036157447, 13.198777803580128, -1628.8092887495714, 0.292285133826734, -1.088072133913791, 2.5895288083682058, -4.459844673469442E-4, 0.0019341684062699905, 3.5055583125000007, 0.6203547773691169, 0.0, 3.630058744215086, 0.08643210655945492
0.0145, -1986.4560769018722, -1669.5627447781517, 13.45680212620086, -1670.1094599325786, 0.5467151544268525, -1.134996773199789, 2.6364948761165214, -8.689365263315287E-5, 0.0019792125611602894, 3.505652281249999, 0.6246627966564025, 0.0, 3.9004938461691, 0.0835745338071511
