#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 14.964407707272963
#Number of monomers: 2916666.666666667
#Number of chains: 2916.666666666667
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 10.0
#x-link fraction: 0.001
#x-link fraction increment: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.0
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0101, 0.4351138682754137, 3.505076979166667, 0.43510994801583935, 0.0
0.0102, 0.43942472785458125, 3.505087152777778, 0.4394179673031249, 0.0
0.0103, 0.4437300553283382, 3.5050814236111107, 0.4437259865904104, 0.0
0.0104, 0.44805283495635795, 3.5051177430555556, 0.44803400587769593, 0.0
0.0105, 0.4523433945172695, 3.5050691319444445, 0.4523420251649814, 0.0
0.0106, 0.4566685672980406, 3.505115729166666, 0.4566500444522669, 0.0
0.0107, 0.46096819589607996, 3.505092708333333, 0.46095806373955245, 0.0
0.0108, 0.4652693523840924, 3.505073819444445, 0.465266083026838, 0.0
0.0109, 0.4695886637523812, 3.5051035069444443, 0.46957410231412344, 0.0
0.011, 0.4739188536189338, 3.5051547916666665, 0.47388212160140897, 0.0
0.0111, 0.4782121749909813, 3.5051213194444446, 0.4781901408886945, 0.0
0.0112, 0.4825098044998925, 3.5050960763888885, 0.48249816017598, 0.0
0.0113, 0.486811173188754, 3.505080312500001, 0.48680617946326554, 0.0
0.0114, 0.49112254332906147, 3.5050891319444446, 0.491114198750551, 0.0
0.0115, 0.49542201107871087, 3.5050682986111106, 0.49542221803783654, 0.0
0.0116, 0.49974780085160936, 3.505110138888888, 0.49973023732512206, 0.0
0.0117, 0.5040499864548278, 3.5050959722222226, 0.5040382566124075, 0.0
0.0118, 0.5083455350864146, 3.505065277777777, 0.5083462758996931, 0.0
0.0119, 0.512665976791601, 3.505093576388889, 0.5126542951869786, 0.0
0.012, 0.5169807411219292, 3.5051105208333335, 0.5169623144742641, 0.0
0.0121, 0.5212949436253493, 3.505121840277777, 0.5212703337615496, 0.0
0.0122, 0.5255947363759066, 3.5051036458333336, 0.5255783530488352, 0.0
0.0123, 0.5298921499726287, 3.5050820486111114, 0.5298863723361207, 0.0
0.0124, 0.5342077554225507, 3.505096111111111, 0.5341943916234062, 0.0
0.0125, 0.5385116488894394, 3.5050887152777785, 0.5385024109106916, 0.0
0.0126, 0.542820601532786, 3.5050915972222216, 0.5428104301979771, 0.0
0.0127, 0.5471406642070568, 3.5051147916666667, 0.5471184494852627, 0.0
0.0128, 0.5514290809356526, 3.505070763888889, 0.5514264687725482, 0.0
0.0129, 0.5557376462912473, 3.5050756250000004, 0.5557344880598337, 0.0
0.013, 0.5600480470724056, 3.5050800347222224, 0.5600425073471192, 0.0
0.0131, 0.5643716660612997, 3.505108923611111, 0.5643505266344048, 0.0
0.0132, 0.5686676045246143, 3.5050872916666673, 0.5686585459216903, 0.0
0.0133, 0.5729895110025492, 3.5051132638888887, 0.5729665652089758, 0.0
0.0134, 0.5772695785516371, 3.505059305555556, 0.5772745844962612, 0.0
0.0135, 0.581575387927719, 3.5050510763888894, 0.5815826037835468, 0.0
0.0136, 0.5858764585763979, 3.5050396875000005, 0.5858906230708323, 0.0
0.0137, 0.5902065995980967, 3.5050834374999997, 0.5901986423581178, 0.0
0.0138, 0.5945125217505037, 3.5050810416666662, 0.5945066616454033, 0.0
0.0139, 0.598826470239864, 3.5050890625, 0.5988146809326889, 0.0
0.014, 0.6031286918225898, 3.505080416666666, 0.6031227002199744, 0.0
0.0141, 0.6074391961815098, 3.505083888888889, 0.6074307195072599, 0.0
0.0142, 0.6117524012314586, 3.5050963541666658, 0.6117387387945453, 0.0
0.0143, 0.6160728521628767, 3.5051156944444446, 0.6160467580818308, 0.0
0.0144, 0.6203734452174863, 3.5051004513888895, 0.6203547773691164, 0.0
0.0145, 0.6246673690420328, 3.505075590277779, 0.6246627966564019, 0.0
0.0146, 0.6289720951613895, 3.5050709722222235, 0.6289708159436874, 0.0
0.0147, 0.6332953200215876, 3.5050997222222224, 0.633278835230973, 0.0
0.0148, 0.6376147397584225, 3.505119270833333, 0.6375868545182585, 0.0
0.0149, 0.6419049963037702, 3.505086041666666, 0.641894873805544, 0.0
0.015, 0.6462048873561286, 3.5050718055555565, 0.6462028930928295, 0.0
0.0151, 0.6505211810411045, 3.5050859027777768, 0.6505109123801149, 0.0
0.0152, 0.6548451379495989, 3.5051153125, 0.6548189316674005, 0.0
0.0153, 0.659151248244405, 3.5051114583333343, 0.659126950954686, 0.0
0.0154, 0.6634550758219318, 3.5051020833333344, 0.6634349702419715, 0.0
0.0155, 0.6677513148918216, 3.505084027777777, 0.667742989529257, 0.0
0.0156, 0.6720290619718153, 3.505031562500001, 0.6720510088165426, 0.0
0.0157, 0.6763777651222661, 3.5051006944444447, 0.6763590281038281, 0.0
0.0158, 0.6806997074245171, 3.5051227430555563, 0.6806670473911136, 0.0
0.0159, 0.6849857018662523, 3.505084201388888, 0.6849750666783991, 0.0
0.016, 0.6893042777463235, 3.505104826388888, 0.6892830859656847, 0.0
0.0161, 0.6935907971774611, 3.5050701388888896, 0.6935911052529702, 0.0
0.0162, 0.6979386722427362, 3.5051325347222217, 0.6978991245402557, 0.0
0.0163, 0.7022146428903829, 3.505082569444445, 0.7022071438275412, 0.0
0.0164, 0.7065423236313806, 3.505113854166667, 0.7065151631148268, 0.0
0.0165, 0.7108184064148104, 3.5050618055555565, 0.7108231824021123, 0.0
0.0166, 0.7151416956328158, 3.5050815625, 0.7151312016893977, 0.0
0.0167, 0.7194314380373209, 3.505056215277778, 0.7194392209766832, 0.0
0.0168, 0.7237747987982934, 3.505111076388889, 0.7237472402639687, 0.0
0.0169, 0.7280406128685154, 3.5050421875, 0.7280552595512543, 0.0
0.017, 0.7323613808845439, 3.5050661805555556, 0.7323632788385398, 0.0
0.0171, 0.7367103068118032, 3.505131006944444, 0.7366712981258253, 0.0
0.0172, 0.7409449922223411, 3.5050224652777766, 0.7409793174131108, 0.0
0.0173, 0.7449279489451888, 3.504558298611111, 0.7452873367003964, 0.0
0.0174, 0.7487212001582387, 3.5038628125, 0.7495953559876819, 0.0
0.0175, 0.752389334371254, 3.503033888888888, 0.7539033752749673, 0.0
0.0176, 0.7559286903530139, 3.502068645833334, 0.7582113945622528, 0.0
0.0177, 0.7594010347889194, 3.5010656944444443, 0.7625194138495384, 0.0
0.0178, 0.762775513458612, 3.499969062499998, 0.7668274331368239, 0.0
0.0179, 0.7660828906032499, 3.4988293749999997, 0.7711354524241094, 0.0
0.018, 0.7692583087142502, 3.4975422569444445, 0.7754434717113949, 0.0
0.0181, 0.7724502308764359, 3.496335590277777, 0.7797514909986805, 0.0
0.0182, 0.7755690414354265, 3.4950754513888898, 0.784059510285966, 0.0
0.0183, 0.7785836842300449, 3.493706388888889, 0.7883675295732515, 0.0
0.0184, 0.7815820588150488, 3.4923694097222224, 0.7926755488605369, 0.0
0.0185, 0.7844638392966958, 3.490897395833334, 0.7969835681478225, 0.0
0.0186, 0.7873433283044949, 3.4894811458333335, 0.801291587435108, 0.0
0.0187, 0.7901493876499144, 3.4879961805555553, 0.8055996067223935, 0.0
0.0188, 0.7929213433610243, 3.4865194444444434, 0.809907626009679, 0.0
0.0189, 0.7956540640621886, 3.485029444444444, 0.8142156452969646, 0.0
0.019, 0.7983009862722563, 3.4834483680555555, 0.8185236645842501, 0.0
0.0191, 0.8009455174022482, 3.4819202083333325, 0.8228316838715356, 0.0
0.0192, 0.8035066157503926, 3.4803041319444445, 0.8271397031588211, 0.0
0.0193, 0.8060317897577156, 3.4786815277777783, 0.8314477224461065, 0.0
0.0194, 0.8085370539628257, 3.4770758680555556, 0.8357557417333921, 0.0
0.0195, 0.8109523827200334, 3.4753721527777794, 0.8400637610206776, 0.0
0.0196, 0.8133986990165396, 3.473770868055555, 0.8443717803079631, 0.0
0.0197, 0.8157438999551858, 3.472046493055556, 0.8486797995952486, 0.0
0.0198, 0.8180550659049362, 3.4703121527777774, 0.8529878188825342, 0.0
0.0199, 0.8203533473371394, 3.468607083333333, 0.8572958381698197, 0.0
0.02, 0.8225619696441338, 3.4667935069444438, 0.8616038574571052, 0.0
0.0201, 0.8247650509304223, 3.465014930555556, 0.8659118767443906, 0.0
0.0202, 0.8269254094382537, 3.463216145833334, 0.8702198960316762, 0.0
0.0203, 0.8290800783379123, 3.461457013888889, 0.8745279153189617, 0.0
0.0204, 0.8311727954442827, 3.459629027777777, 0.8788359346062472, 0.0
0.0205, 0.8332663439760867, 3.457854131944444, 0.8831439538935327, 0.0
0.0206, 0.8352666134039419, 3.4559522569444447, 0.8874519731808183, 0.0
0.0207, 0.8372827642348657, 3.4541309722222207, 0.8917599924681038, 0.0
0.0208, 0.8392206787611787, 3.4522096875000003, 0.8960680117553893, 0.0
0.0209, 0.8411355844965682, 3.4502914236111115, 0.9003760310426748, 0.0
0.021, 0.8430532630076066, 3.4484260763888894, 0.9046840503299602, 0.0
0.0211, 0.8449269821975635, 3.4465250347222227, 0.9089920696172458, 0.0
0.0212, 0.8467462983737098, 3.4445619791666675, 0.9133000889045313, 0.0
0.0213, 0.8485577110988992, 3.4426309027777777, 0.9176081081918168, 0.0
0.0214, 0.8503149020740609, 3.440639236111113, 0.9219161274791023, 0.0
0.0215, 0.8520737851055327, 3.438697673611112, 0.9262241467663879, 0.0
0.0216, 0.8537919673769157, 3.4367144444444437, 0.9305321660536734, 0.0
0.0217, 0.8554780429562573, 3.4347162847222217, 0.9348401853409589, 0.0
0.0218, 0.8571147703083168, 3.432665868055556, 0.9391482046282444, 0.0
