#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 51.17755447140035
#Number of monomers: 2916666.666666667
#Number of chains: 291.6666666666669
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 1.0E-4
#x-link fraction increment: 1.75E-6
#Reservoir swelling ratio: 5.5154305577278135
#Mean swelling ratio: 5.516138506944445
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.16777925547269204
#Actual volume fraction: 0.0
#MC steps: 100000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.05
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#Mean pair energy <E_pair>/N [kT]: 0.069488647774039
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.0022, 0.7302976334996677, 6.990659826388891, 0.7311579643611926, 0.14017952429113842, 3.175E-5, 0.0053994411333410765
0.0023, 0.739385859647901, 6.915142847222223, 0.7403086738301488, 0.127055771048147, 3.35E-5, 0.005117490087214033
0.0023, 0.7172861419325579, 6.836973159722221, 0.7181539448951542, 0.13689682192698882, 3.525E-5, 0.004863678704220367
0.0024, 0.727103929390858, 6.772817673611116, 0.7280264661504938, 0.13242795724059253, 3.7000000000000005E-5, 0.004633263035883193
0.0025, 0.7369157409228408, 6.710393680555552, 0.7377420124461587, 0.12197467017855465, 3.875000000000001E-5, 0.004423972710535752
0.0025, 0.7178870274543707, 6.646349652777782, 0.7185600821020911, 0.13062135139385297, 4.050000000000001E-5, 0.004232950177798158
0.0025, 0.7000623298152553, 6.585287777777783, 0.7006589077655382, 0.1358137846653915, 4.225000000000001E-5, 0.004057499469236925
0.0026, 0.7105411320630381, 6.532964097222233, 0.7112629109296461, 0.12839481403153297, 4.400000000000001E-5, 0.0038962470745760713
0.0026, 0.6942319373365103, 6.478848923611111, 0.6949138906343091, 0.14060045663216253, 4.5750000000000014E-5, 0.0037470791705243294
0.0026, 0.6789304955400979, 6.427707881944443, 0.679534571246403, 0.14895758230655803, 4.7500000000000016E-5, 0.0036091021928900445
0.0027, 0.6900878189677747, 6.381022222222222, 0.6906150513028853, 0.1321676540283006, 4.925000000000002E-5, 0.003481079146512731
0.0028, 0.7007778300417413, 6.336571458333332, 0.7014420935756327, 0.12477444363775383, 5.100000000000002E-5, 0.0033613874680482594
0.0028, 0.6868549221858072, 6.29289184027778, 0.687478559311749, 0.13688357452576436, 5.275000000000002E-5, 0.003249944036093121
0.0028, 0.6737409031775601, 6.249751527777777, 0.6742380161102653, 0.13877738360577496, 5.4500000000000024E-5, 0.003145479965060014
0.0029, 0.6847446092483304, 6.210001388888889, 0.6852896502401631, 0.129163182908291, 5.6250000000000026E-5, 0.003047626641660607
0.0029, 0.6723743593305354, 6.170576250000002, 0.6728946218994999, 0.13758570111167207, 5.800000000000003E-5, 0.0029556986938461464
0.0029, 0.6605836200134352, 6.132468993055559, 0.6610823883341519, 0.1431321048759241, 5.975000000000003E-5, 0.0028691377443268596
0.003, 0.6716986014077524, 6.098289444444442, 0.672218467943519, 0.1369005878417442, 6.150000000000003E-5, 0.002787456446083559
0.003, 0.6606400219491635, 6.062639999999998, 0.6610781076571188, 0.14074929417856727, 6.325000000000003E-5, 0.0027104841095111445
0.0031, 0.6716261989503566, 6.030234618055557, 0.672099445684393, 0.13461691481731988, 6.500000000000003E-5, 0.0026374173146667982
