#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 44.31012825084239
#Number of monomers: 2916666.666666667
#Number of chains: 291.6666666666669
#Flory interaction parameter (chi): 0.2
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 0.001
#x-link fraction increment: 1.75E-6
#Reservoir swelling ratio: 4.988451945781708
#Mean swelling ratio: 4.988
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.6455066527361406
#Actual volume fraction: 0.0
#MC steps: 150000
#Equilibration steps: 50000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.0033, 0.7753052099263851, 6.26, 0.8095943929793745, 0.14785404172335545, 3.175E-5, 0.005399325084364454
0.00336, 0.7676388912346538, 6.193, 0.7984052616485949, 0.14678107567599757, 3.35E-5, 0.00511727078891258
0.00342, 0.7600722841159815, 6.131, 0.7884040043558095, 0.147898100186834, 3.525E-5, 0.00486322188449848
0.00347, 0.7516497750627256, 6.072, 0.777198018121675, 0.147588877956504, 3.7000000000000005E-5, 0.004633204633204632
0.00351, 0.7418889627614406, 6.017, 0.7648389248531479, 0.1476934592330911, 3.875000000000001E-5, 0.00442396313364055
0.00358, 0.738239290021015, 5.965, 0.7598632391215497, 0.14651581218260828, 4.050000000000001E-5, 0.004232804232804231
0.00364, 0.7332869383731218, 5.915, 0.7534055053139019, 0.1454179254404292, 4.225000000000001E-5, 0.004057480980557903
0.00371, 0.7307541114951668, 5.867, 0.7495855334970248, 0.14034452145030574, 4.400000000000001E-5, 0.003896103896103895
0.00373, 0.7191073272440418, 5.822, 0.736353674900461, 0.1480201723555151, 4.5750000000000014E-5, 0.003747072599531614
0.0038, 0.7171022822731782, 5.779, 0.7336200105854284, 0.14754449118369156, 4.7500000000000016E-5, 0.0036090225563909753
0.00387, 0.7154462823398862, 5.738, 0.731241913973287, 0.14769343104455376, 4.925000000000002E-5, 0.003480783176214646
0.00391, 0.7090596603876518, 5.698, 0.723630414253441, 0.1465053187391342, 5.100000000000002E-5, 0.0033613445378151236
0.00397, 0.7061063132875778, 5.66, 0.7201541349467591, 0.14873173212542043, 5.275000000000002E-5, 0.0032498307379823952
0.00403, 0.703715709966165, 5.624000000000001, 0.7170019127104323, 0.1469519234598374, 5.4500000000000024E-5, 0.003145478374836171
