phi0,phi,<alpha>,zeta,lindemannParameter,x-link,kT/E_Before_Conversion,kT/E
"0.00156,",0.517927958550997,"6.923802101851853,","0.5184579474610342,","0.14783543959023215,","3.175E-5,",0.0053995840525875,5.3995840525875
"0.00161,",0.517700761023646,"6.850365750000003,","0.5182155091967982,","0.14841017319347885,","3.35E-5,",0.0051172752078491,5.1172752078491
"0.00166,",0.517812042995498,"6.781367851851859,","0.5183199895051579,","0.14835724861855026,","3.525E-5,",0.0048632277905615,4.8632277905615
"0.00171,",0.518230961962421,"6.716426009259258,","0.5187197627094943,","0.14763210184784803,","3.7000000000000005E-5,",0.0046332193851972,4.6332193851972
"0.00175,",0.515952014490019,"6.655071749999998,","0.5164195085776857,","0.14762821887439598,","3.875000000000001E-5,",0.004423965043381,4.423965043381
"0.00179,",0.514041969455688,"6.596963537037039,","0.514488714888258,","0.1480059020886027,","4.050000000000001E-5,",0.0042328291393494,4.2328291393494
"0.00184,",0.515223181963903,"6.5416571666666705,","0.5156856409201426,","0.14971828175029717,","4.225000000000001E-5,",0.0040575558778514,4.0575558778514
"0.00188,",0.513891445552252,"6.489327305555556,","0.5142979812987694,","0.14936291279338834,","4.400000000000001E-5,",0.0038961052653147,3.8961052653147
"0.00193,",0.515430009251193,"6.439204768518516,","0.5158401756701332,","0.1489367910395255,","4.5750000000000014E-5,",0.0037471718358128,3.7471718358128
"0.00197,",0.514487824548365,"6.3914250740740775,","0.5148788057603096,","0.14704083114425578,","4.7500000000000016E-5,",0.0036090419817286,3.6090419817286
"0.00204,",0.521373562338395,"6.345526935185185,","0.5217978300402916,","0.14097096458194958,","4.925000000000002E-5,",0.0034808866325464,3.4808866325464
"0.00206,",0.51569567013335,"6.301875666666668,","0.5160609366406367,","0.14659445361511175,","5.100000000000002E-5,",0.0033613451836082,3.3613451836082
"0.0021,",0.515190667684226,"6.259559861111112,","0.5156095526096506,","0.14804459672429718,","5.275000000000002E-5,",0.0032498750420165,3.2498750420165
"0.00213,",0.512565772893555,"6.219434629629627,","0.5129019158959801,","0.14783755607351648,","5.4500000000000024E-5,",0.0031455553389198,3.1455553389198
"0.0022,",0.519543631317694,"6.180550546296295,","0.5198747176211672,","0.14087310708758297,","5.6250000000000026E-5,",0.0030476555160682,3.0476555160682
"0.00223,",0.517055412355164,"6.1428688333333366,","0.5174326435331714,","0.14175875719174874,","5.800000000000003E-5,",0.0029556774497219,2.9556774497219
"0.00225,",0.512557656409809,"6.106802333333334,","0.5129084522975753,","0.14897779355955051,","5.975000000000003E-5,",0.0028691936876116,2.8691936876116
"0.00231,",0.517211715767852,"6.071730611111107,","0.5176085037508626,","0.146104428813798,","6.150000000000003E-5,",0.0027874801437969,2.7874801437969
"0.00234,",0.515286862739113,"6.038159805555554,","0.5156403225205863,","0.146950699460261,","6.325000000000003E-5,",0.0027103899041495,2.7103899041495
"0.00237,",0.513513886471752,"6.005666935185177,","0.5138317138466384,","0.14596470541178672,","6.500000000000003E-5,",0.0026373791442239,2.6373791442239
"0.00241,",0.51394493621481,"5.973925898148145,","0.514301889069751,","0.14829215507786184,","6.675000000000004E-5,",0.0025682185052523,2.5682185052523
"0.00246,",0.516607544348023,"5.943399648148145,","0.5169439628961543,","0.14524547036285348,","6.850000000000004E-5,",0.0025026248580017,2.5026248580017
"0.0025,",0.517180631376754,"5.9137160370370365,","0.5175173292590711,","0.14777239870959522,","7.025000000000004E-5,",0.0024405525599024,2.4405525599024
"0.00252,",0.513754248678377,"5.884973305555557,","0.5140714417858634,","0.1484012004772855,","7.200000000000004E-5,",0.0023810333203308,2.3810333203308
"0.00256,",0.514481319514899,"5.856922935185185,","0.5148189349283633,","0.14969822878492975,","7.375000000000004E-5,",0.0023244746568993,2.3244746568993
"0.0026,",0.515327635121403,"5.82992010185185,","0.5156141999961842,","0.14739938913587003,","7.550000000000005E-5,",0.0022705830675489,2.2705830675489
"0.00264,",0.516140083174547,"5.803370666666667,","0.5164538134539177,","0.1478764521126636,","7.725000000000005E-5,",0.0022191681448256,2.2191681448256
"0.00265,",0.511239621886733,"5.777658953703705,","0.5115454066214868,","0.14993543216052646,","7.900000000000005E-5,",0.0021699821799425,2.1699821799425
"0.0027,",0.514148748541575,"5.752641203703703,","0.5144447988127606,","0.14623667149475897,","8.075000000000005E-5,",0.0021229793087106,2.1229793087106
"0.00274,",0.515157051741369,"5.728247194444442,","0.5154477187040483,","0.14607161614167907,","8.250000000000005E-5,",0.0020779367743447,2.0779367743447
"0.00278,",0.516166118461525,"5.7043607129629645,","0.5164810184367504,","0.1464617786732126,","8.425000000000006E-5,",0.0020347896270188,2.0347896270188
"0.00281,",0.515447510525419,"5.681347037037039,","0.5157081725704827,","0.14366916885792347,","8.600000000000006E-5,",0.0019933943981967,1.9933943981967
"0.00283,",0.512901348210204,"5.6585819537037025,","0.5131906522761993,","0.14901093556034653,","8.775000000000006E-5,",0.0019536314185427,1.9536314185427
"0.00289,",0.517646930618947,"5.636420916666667,","0.5179517798385851,","0.1440829046193035,","8.950000000000006E-5,",0.0019154873021561,1.9154873021561
"0.00289,",0.51172002044569,"5.6148265185185195,","0.5120197832624847,","0.14992622875871114,","9.125000000000006E-5,",0.0018786707174353,1.8786707174353
"0.00293,",0.513000116244576,"5.593814740740739,","0.5132736533323892,","0.14593001895301447,","9.300000000000007E-5,",0.0018433179752722,1.8433179752722
"0.00296,",0.512539311900043,"5.573180787037032,","0.5128109552748409,","0.14760545868551664,","9.475000000000007E-5,",0.0018092751238412,1.8092751238412
"0.003,",0.513870073867943,"5.553097129629632,","0.5141154032237366,","0.14593845393759747,","9.650000000000007E-5,",0.0017764775665826,1.7764775665826
0.00216,0.517475810478419,6.21021189814814,0,0.145561478780816,0.0000549,0.0031226547906588,3.1226547906588
0.00268,0.513937890118907,5.76612644444444,0,0.147736847324488,0.0000798,0.0021482322749714,2.1482322749714
0.00317,0.517276591122676,5.46401637962963,0,0.146736318060353,0.0001047,0.0016374709167518,1.6374709167518
0.00357,0.513214784657384,5.23800963888889,0,0.144209659404088,0.0001296,0.0013227658675766,1.3227658675766
0.00395,0.511626086687431,5.05910100925926,0,0.147391842926265,0.0001545,0.0011095702782461,1.1095702782461
0.00431,0.510911774225564,4.91182947222222,0,0.148484044229287,0.0001794,0.000955585722202066,0.955585722202066
0.00463,0.508145251479411,4.78727425,0,0.149948096180777,0.0002043,0.000839103563383393,0.839103563383393
0.00498,0.510599132944262,4.67988645370371,0,0.148367512611553,0.0002292,0.000747943625968136,0.747943625968136
0.00529,0.510237762293081,4.58553292592593,0,0.148889405349343,0.0002541,0.000674651309877253,0.674651309877253
0.00562,0.512905050906209,4.50177248148148,0,0.148055238231952,0.000279,0.000614449935601855,0.614449935601855
0.00589,0.511087016472075,4.42665631481482,0,0.148144476325976,0.0003039,0.000564095332118978,0.564095332118978
0.00616,0.510210923173591,4.35851222222222,0,0.149209203625785,0.0003288,0.000521377493055461,0.521377493055461
0.00645,0.511697700757739,4.29634655555555,0,0.147203053333172,0.0003537,0.000484684239333446,0.484684239333446
0.0067,0.510626367789561,4.23926136111111,0,0.147577047303702,0.0003786,0.000452796082840316,0.452796082840316
0.00693,0.508674325724138,4.18648028703704,0,0.149745696439686,0.0004035,0.000424855664696395,0.424855664696395
0.00718,0.50874909376765,4.13751257407408,0,0.14569850684498,0.0004284,0.000400160446151943,0.400160446151943
0.00743,0.509215232774452,4.09182000925926,0,0.149572644783357,0.0004533,0.000378179319863082,0.378179319863082
0.00766,0.508692727982053,4.04905761111111,0,0.149941096038367,0.0004782,0.000358487541111685,0.358487541111685
0.00793,0.511113037973499,4.00890646296296,0,0.142768266179664,0.0005031,0.00034074551479138,0.34074551479138
0.00804,0.503712556068251,3.97117932407407,0,0.14892765728245,0.000528,0.000324678139968045,0.324678139968045
0.00837,0.510326109630951,3.93536080555556,0,0.149667640753028,0.0005529,0.000310053496807244,0.310053496807244
0.0086,0.510963845264132,3.90158014814815,0,0.149781118464609,0.0005778,0.000296691897949525,0.296691897949525
0.0088,0.510024403827986,3.86941674074074,0,0.149501036461081,0.0006027,0.000284434351022615,0.284434351022615
0.00895,0.506541174818629,3.83889485185185,0,0.149958073882154,0.0006276,0.000273150096014704,0.273150096014704
0.0092,0.508902451605647,3.80970205555556,0,0.149583524102421,0.0006525,0.000262725779977542,0.262725779977542
0.00946,0.511910850576318,3.78189392592593,0,0.144709929216433,0.0006774,0.000253068849610337,0.253068849610337
0.00959,0.508088949094695,3.75533284259259,0,0.148774010219987,0.0007023,0.000244096470516882,0.244096470516882
0.00983,0.510253336503623,3.72979534259259,0,0.147650349890526,0.0007272,0.000235737919545322,0.235737919545322
0.00992,0.504853963038203,3.70531386111111,0,0.148910947106242,0.0007521,0.00022793321789044,0.22793321789044
0.01014,0.506283542699536,3.68178790740741,0,0.148983485196858,0.000777,0.000220630278335685,0.220630278335685
0.01036,0.507800028771865,3.65918408333333,0,0.147260025001839,0.0008019,0.000213778131554208,0.213778131554208
0.01054,0.507451151744964,3.63739376851852,0,0.149687949506465,0.0008268,0.000207340702129782,0.207340702129782
0.01072,0.507224083208436,3.61638007407408,0,0.149583267849626,0.0008517,0.000201279110518366,0.201279110518366
0.01092,0.508053916003977,3.59612298148148,0,0.149213443805271,0.0008766,0.00019556113049735,0.19556113049735
0.01107,0.506647296370059,3.57649698148148,0,0.14490562122761,0.0009015,0.000190159258603491,0.190159258603491
0.01127,0.507653255798448,3.55756299074074,0,0.149670707627289,0.0009264,0.000185048216262956,0.185048216262956
0.01148,0.509147030552478,3.53919776851852,0,0.146741646377009,0.0009513,0.000180204558699688,0.180204558699688
0.0012,0.518438975371981,7.55908872222222,0,0.148374009348939,0.000020417,0.0083978104481887,8.3978104481887
0.00122,0.520761678291604,7.52876316666667,0,0.144391423199092,0.000020834,0.008229325216295,8.229325216295
0.00123,0.518855999890907,7.49913325,0,0.143679692520634,0.000021251,0.0080668473349734,8.0668473349734
0.00125,0.52117956997318,7.47004077777778,0,0.141589635985076,0.000021668,0.0079116625260219,7.9116625260219
0.00126,0.519419708102768,7.44183217592593,0,0.149676268961887,0.000022085,0.0077633651991839,7.7633651991839
0.00128,0.521793376573341,7.41412737962963,0,0.143273806383778,0.000022502,0.0076184752564821,7.6184752564821
0.00129,0.520187687919166,7.38732553703704,0,0.148087035546103,0.000022919,0.0074804430501054,7.4804430501054
0.00129,0.51462216880656,7.36088325000001,0,0.147327687499187,0.000023336,0.0073462583726794,7.3462583726794
0.00131,0.517079321432758,7.33486725925926,0,0.148412585012217,0.000023753,0.0072173716474241,7.2173716474241
0.00133,0.519561078997941,7.30957277777778,0,0.149016147456905,0.00002417,0.0070927593582227,7.0927593582227
0.00135,0.521995874766008,7.28463961111111,0,0.146479240253653,0.000024587,0.0069725133095462,6.9725133095462
0.00137,0.524425103573609,7.26024341666666,0,0.14402979167929,0.000025004,0.0068560956307686,6.8560956307686
0.00138,0.523110649844918,7.23660781481482,0,0.142314110398821,0.000025421,0.0067435875149833,6.7435875149833
0.00138,0.518054363713343,7.21321649074074,0,0.14967872577201,0.000025838,0.0066348005058199,6.6348005058199
0.0014,0.520542080419376,7.19017526851852,0,0.146667690669932,0.000026255,0.0065298524521752,6.5298524521752
0.0014,0.515699606545953,7.16780884259259,0,0.149269599859174,0.000026672,0.0064273713373626,6.4273713373626
0.00142,0.518233881471401,7.14566282407408,0,0.148422422093907,0.000027089,0.0063283568471437,6.3283568471437
0.00143,0.517188935262839,7.12417048148149,0,0.146164215014236,0.000027506,0.0062324943733541,6.2324943733541
0.00145,0.519721077863702,7.1028197037037,0,0.144947719777421,0.000027923,0.0061398521691028,6.1398521691028
0.00146,0.518688021151669,7.08186710185185,0,0.141723245304999,0.00002834,0.0060490556127159,6.0490556127159
0.00147,0.51773116402142,7.06142376851852,0,0.147553145200978,0.000028757,0.005961308912412,5.961308912412
0.00149,0.520281768164284,7.04120980555556,0,0.144000879847079,0.000029174,0.0058761332008944,5.8761332008944
0.00153,0.521322137844957,6.98395358333334,0,0.139686608874822,0.0000304,0.0056394424703703,5.6394424703703
0.00154,0.520597354744968,6.96557131481482,0,0.148289232176827,0.0000308,0.0055658681230273,5.5658681230273
0.00155,0.519928829869123,6.94758404629629,0,0.148021176442116,0.0000312,0.0054945117674662,5.4945117674662
0.00357,0.513214784657384,5.23800963888889,0,0.144209659404088,0.0001296,0.0013227658675766,1.4227658675766
