phi0,  phi, <alpha>,zeta,  lindemannParameter,    x-link,    kT/E_Before_Conversion,kT/E
0.00344,0.708809054543313,5.944,0.722437904240775,0.142866379931481,0.0000549,0.0031225604996096,3.1225604996096
0.004,0.665278082584644,5.519,0.672512828123398,0.146519516722957,0.0000798,0.0021482277121374,2.1482277121374
0.00452,0.641947137695592,5.23,0.646747129351458,0.149770522598498,0.0001047,0.0016373311502251,1.6373311502251
0.00504,0.631741293125346,5.014,0.635425143516775,0.149470673957312,0.0001296,0.0013227513227513,1.3227513227513
0.00549,0.620905305665625,4.843,0.623709747509421,0.144185563049272,0.0001545,0.0011095700416088,1.1095700416088
0.00592,0.613315752756472,4.702,0.615628533571827,0.145015901759125,0.0001794,0.000955566172957477,0.955566172957477
0.00633,0.607610462261827,4.583,0.609561717937532,0.145776450037253,0.0002043,0.000839102160688064,0.839102160688064
0.00669,0.600262686137844,4.48,0.601903298153516,0.145222978468406,0.0002292,0.00074794315632012,0.74794315632012
0.00706,0.596199237064474,4.39,0.597667761643641,0.148649075421201,0.0002541,0.000674650025299376,0.674650025299376
0.00741,0.592334922662403,4.31,0.593636132656683,0.1488671075935,0.000279,0.000614439324116743,0.614439324116743
0.00771,0.586171519798354,4.239,0.5873108812827,0.148792215859948,0.0003039,0.000564095332111127,0.564095332111127
0.00801,0.581501770790334,4.174,0.582501064417869,0.149783163209924,0.0003288,0.000521376433785193,0.521376433785193
0.00842,0.585586408054714,4.114,0.586558356872104,0.148297230870653,0.0003537,0.000484672240397431,0.484672240397431
0.00871,0.582056575781873,4.06,0.582951446331257,0.148970614963874,0.0003786,0.000452796015395065,0.452796015395065
0.00899,0.578739440749397,4.009,0.579571596282849,0.149641279998248,0.0004035,0.000424853956452469,0.424853956452469
0.00931,0.578685730684692,3.962,0.579448573720952,0.147873313870013,0.0004284,0.00040016006402561,0.40016006402561
0.00958,0.576076107297115,3.919,0.576792570235859,0.149775986605095,0.0004533,0.000378179067788598,0.378179067788598
0.0099,0.576958965111794,3.878,0.577639653622698,0.147456370352802,0.0004782,0.000358487184083169,0.358487184083169
0.01014,0.573648980615931,3.84,0.574282617085841,0.149127240122083,0.0005031,0.000340744526791038,0.340744526791038
0.01043,0.573591647277089,3.804,0.574209084818081,0.14820575216195,0.000528,0.000324675324675325,0.324675324675325
0.01068,0.571732838629107,3.77,0.57230633770458,0.149462167861309,0.0005529,0.000310053484226029,0.310053484226029
0.01095,0.571287147827906,3.737,0.571827445207162,0.148122102668268,0.0005778,0.000296691885476932,0.296691885476932
0.01119,0.569592047248046,3.707,0.570102318326946,0.148192337640422,0.0006027,0.000284434331223779,0.284434331223779
0.01144,0.568693670165333,3.677,0.569193460415237,0.149358511822282,0.0006276,0.000273149412728763,0.273149412728763
0.01164,0.56565522089058,3.65,0.566113559748278,0.149153847208376,0.0006525,0.000262725779967159,0.262725779967159
0.01193,0.567175797959435,3.623,0.567651079704666,0.14970733315973,0.0006774,0.000253068455017082,0.253068455017082
0.01221,0.568404827507622,3.598,0.568846211686153,0.147106574892743,0.0007023,0.000244095929700372,0.244095929700372
0.0124,0.56564637547837,3.573,0.566059467536272,0.147355513342551,0.0007272,0.000235737859500236,0.235737859500236
0.01266,0.566261936149194,3.55,0.566679253398928,0.149488353823358,0.0007521,0.000227933215567838,0.227933215567838
0.01288,0.565276267313732,3.528,0.565671389582483,0.148321356020093,0.000777,0.000220628792057363,0.220628792057363
0.01306,0.562742195164724,3.506,0.563118922363912,0.148895795417172,0.0008019,0.000213777991555769,0.213777991555769
0.01332,0.563814761635432,3.485,0.56417848438772,0.145676421230896,0.0008268,0.000207339829981339,0.207339829981339
0.01361,0.566194872581892,3.465,0.566578124105565,0.148144179661427,0.0008517,0.000201278116036834,0.201278116036834
0.0138,0.564561065843205,3.446,0.564921970474131,0.148680414694847,0.0008766,0.000195560770509436,0.195560770509436
0.01398,0.562682989327705,3.427,0.563031434869739,0.148422685190118,0.0009015,0.000190159258378892,0.190159258378892
0.01418,0.56175642179458,3.409,0.562099709680219,0.149778489108407,0.0009264,0.000185048112509252,0.185048112509252
0.01443,0.562925847271483,3.392,0.56324679898066,0.147797089732727,0.0009513,0.000180204532143983,0.180204532143983
