#Number of particles: 108
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of dry radius]: 31.337547843725233
#Number of monomers: 2916666.666666667
#Number of chains: 2919.875000000001
#Flory interaction parameter (chi): 0.1
#Young's calibration factor: 1.0
#Minimum x-link fraction: 3.0E-5
#Maximum x-link fraction: 0.001
#x-link fraction increment: 2.49E-5
#Reservoir swelling ratio: 3.35878015756607
#Mean swelling ratio: 3.358
#Max Dry volume fraction: 10.0
#Minimum Dry volume fraction: 0.001
#Reservoir volume fraction: 0.5570088190499286
#Actual volume fraction: 0.0
#MC steps: 150000
#Equilibration steps: 50000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		   phi,       	   <alpha>,      		zeta, 	 	 	  lindemannParameter, 			x-link, 		kT/E
0.00344, 0.7088090545433127, 5.944, 0.7224379042407748, 0.1428663799314811, 5.49E-5, 0.0031225604996096795
0.004, 0.6652780825846443, 5.519, 0.6725128281233981, 0.14651951672295693, 7.98E-5, 0.0021482277121374865
0.00452, 0.6419471376955921, 5.23, 0.6467471293514575, 0.14977052259849843, 1.047E-4, 0.001637331150225133
0.00504, 0.6317412931253458, 5.014, 0.635425143516775, 0.14947067395731192, 1.296E-4, 0.0013227513227513225
0.00549, 0.6209053056656251, 4.843, 0.6237097475094214, 0.14418556304927194, 1.5450000000000001E-4, 0.0011095700416088761
0.00592, 0.6133157527564721, 4.702, 0.6156285335718273, 0.14501590175912488, 1.7940000000000002E-4, 9.555661729574771E-4
0.00633, 0.6076104622618274, 4.583, 0.6095617179375321, 0.14577645003725256, 2.0430000000000003E-4, 8.391021606880636E-4
0.00669, 0.6002626861378443, 4.48, 0.6019032981535163, 0.1452229784684056, 2.2920000000000004E-4, 7.479431563201195E-4
0.00706, 0.5961992370644739, 4.39, 0.5976677616436414, 0.14864907542120137, 2.5410000000000005E-4, 6.746500252993757E-4
0.00741, 0.5923349226624034, 4.3100000000000005, 0.5936361326566834, 0.1488671075935004, 2.7900000000000006E-4, 6.144393241167434E-4
0.00771, 0.5861715197983536, 4.239, 0.5873108812826998, 0.14879221585994792, 3.0390000000000007E-4, 5.640953321111266E-4
0.00801, 0.5815017707903339, 4.174, 0.5825010644178689, 0.1497831632099244, 3.288000000000001E-4, 5.213764337851927E-4
0.00842, 0.5855864080547136, 4.114, 0.5865583568721043, 0.14829723087065252, 3.537000000000001E-4, 4.8467224039743114E-4
0.00871, 0.5820565757818731, 4.0600000000000005, 0.5829514463312565, 0.14897061496387387, 3.786000000000001E-4, 4.5279601539506445E-4
0.00899, 0.5787394407493974, 4.009, 0.579571596282849, 0.14964127999824803, 4.035000000000001E-4, 4.248539564524693E-4
0.00931, 0.5786857306846921, 3.962, 0.5794485737209518, 0.14787331387001293, 4.284000000000001E-4, 4.0016006402561016E-4
0.00958, 0.5760761072971151, 3.919, 0.5767925702358585, 0.1497759866050954, 4.533000000000001E-4, 3.781790677885978E-4
0.0099, 0.5769589651117939, 3.878, 0.5776396536226983, 0.1474563703528024, 4.7820000000000013E-4, 3.584871840831689E-4
0.01014, 0.5736489806159311, 3.84, 0.5742826170858413, 0.14912724012208287, 5.031000000000001E-4, 3.407445267910384E-4
0.01043, 0.5735916472770889, 3.8040000000000007, 0.5742090848180812, 0.14820575216194973, 5.280000000000001E-4, 3.246753246753245E-4
0.01068, 0.5717328386291067, 3.77, 0.5723063377045803, 0.1494621678613089, 5.529000000000002E-4, 3.100534842260289E-4
0.01095, 0.5712871478279055, 3.737, 0.571827445207162, 0.14812210266826786, 5.778000000000002E-4, 2.9669188547693203E-4
0.01119, 0.5695920472480457, 3.7070000000000007, 0.5701023183269457, 0.14819233764042192, 6.027000000000002E-4, 2.844343312237786E-4
