phi0,phi,<alpha>,zeta,lindemannParameter,x-link,kT/E_Before_Conversion,kT/E
"0.00177,",0.514544028811639,"6.623853416666675,","0.5151029784666296,","0.14636603745121704,","3.175E-5,",0.0053994714460396,5.3994714460396
"0.00185,",0.520864168768789,"6.553578240740743,","0.5214358466698478,","0.14597152117354711,","3.35E-5,",0.0051178859466892,5.1178859466892
"0.00189,",0.516242846087827,"6.487710296296298,","0.5167832425697372,","0.14777853117716647,","3.525E-5,",0.0048634575047906,4.8634575047906
"0.00196,",0.520107158494628,"6.42548787962963,","0.5206688331580389,","0.1451224806658698,","3.7000000000000005E-5,",0.0046332259762142,4.6332259762142
"0.00199,",0.513787792158796,"6.3670363611111105,","0.5142789308399378,","0.1499766016316966,","3.875000000000001E-5,",0.0044240145136702,4.4240145136702
"0.00204,",0.513022611744777,"6.31144724074074,","0.513505748003215,","0.14875343229097573,","4.050000000000001E-5,",0.0042330732509409,4.2330732509409
"0.00211,",0.517459284714565,"6.258802064814811,","0.5179090179883709,","0.1477565432189727,","4.225000000000001E-5,",0.0040574846790761,4.0574846790761
"0.00216,",0.517029461823275,"6.20840864814815,","0.5175183617327046,","0.14477491693718814,","4.400000000000001E-5,",0.0038961360838344,3.8961360838344
"0.00222,",0.519226450908144,"6.160666148148144,","0.5196797273105629,","0.14770269817391302,","4.5750000000000014E-5,",0.0037471331248373,3.7471331248373
"0.00228,",0.521438041410248,"6.114798361111112,","0.5219276043887481,","0.14427913725661207,","4.7500000000000016E-5,",0.0036090564859984,3.6090564859984
"0.00231,",0.517073819287945,"6.071175722222226,","0.5175252333601618,","0.14952331456422863,","4.925000000000002E-5,",0.0034807893776578,3.4807893776578
"0.00234,",0.513008806496228,"6.029233398148153,","0.5134599317366739,","0.14930647010157053,","5.100000000000002E-5,",0.0033613455147321,3.3613455147321
"0.00239,",0.513585036394264,"5.989132629629628,","0.5140038416541117,","0.14849304997587667,","5.275000000000002E-5,",0.0032498744133489,3.2498744133489
"0.00245,",0.516365417216518,"5.950535166666664,","0.5167716407313003,","0.1449085756780551,","5.4500000000000024E-5,",0.0031457319213491,3.1457319213491
"0.00252,",0.521191687208013,"5.913226555555558,","0.5216312420763326,","0.14748510197400394,","5.6250000000000026E-5,",0.0030476783230596,3.0476783230596
"0.00253,",0.513878867934817,"5.877673212962963,","0.5142400394674105,","0.14467881525683307,","5.800000000000003E-5,",0.0029556834466536,2.9556834466536
"0.00258,",0.514823711712397,"5.843027796296304,","0.5152098641981567,","0.14693729492540175,","5.975000000000003E-5,",0.0028691402360335,2.8691402360335
"0.00261,",0.511941731881934,"5.809672898148149,","0.5123258798069474,","0.14979887023135238,","6.150000000000003E-5,",0.002787689059903,2.787689059903
"0.00268,",0.516976236874377,"5.777458287037039,","0.5173580380803517,","0.14351141435257603,","6.325000000000003E-5,",0.0027103432293483,2.7103432293483
"0.00271,",0.514364352807471,"5.746347064814813,","0.5147252260427945,","0.14902850213257837,","6.500000000000003E-5,",0.0026373694420006,2.6373694420006
"0.00277,",0.517503328241607,"5.716135064814815,","0.5178742358998274,","0.14539924075783056,","6.675000000000004E-5,",0.0025682292002125,2.5682292002125
"0.0028,",0.5151639074173,"5.687047925925928,","0.5154881682953255,","0.14378563278676024,","6.850000000000004E-5,",0.0025026070506281,2.5026070506281
"0.00285,",0.516504431318936,"5.658491407407407,","0.5168820991569658,","0.1487202061074357,","7.025000000000004E-5,",0.0024404605251449,2.4404605251449
"0.00288,",0.514374301141933,"5.63101183333333,","0.5147372859256227,","0.14782990511426028,","7.200000000000004E-5,",0.00238116706754,2.38116706754
"0.00291,",0.51239567365341,"5.604388611111109,","0.512726577178221,","0.1496259050292988,","7.375000000000004E-5,",0.0023245687146012,2.3245687146012
"0.00294,",0.51051159934316,"5.578405157407408,","0.5108406946933582,","0.14920851730080684,","7.550000000000005E-5,",0.0022705953679963,2.2705953679963
"0.003,",0.513872708296827,"5.553095648148146,","0.5142150314379794,","0.1450336900891688,","7.725000000000005E-5,",0.0022191689853671,2.2191689853671
"0.00305,",0.515542349658287,"5.528558398148143,","0.5158706066797135,","0.14464012161326162,","7.900000000000005E-5,",0.0021700486299672,2.1700486299672
"0.00308,",0.513881995422873,"5.5046265740740745,","0.5142063858574834,","0.1470375110937784,","8.075000000000005E-5,",0.0021229724689051,2.1229724689051
"0.00312,",0.513955514638803,"5.481259787037037,","0.5142903061849633,","0.14843202584181542,","8.250000000000005E-5,",0.0020779313688313,2.0779313688313
"0.00316,",0.51410838341648,"5.458574250000001,","0.5144285154218814,","0.1483954164979045,","8.425000000000006E-5,",0.0020347980105982,2.0347980105982
"0.00318,",0.511106886297846,"5.436483879629634,","0.5113993106803565,","0.1494637253412577,","8.600000000000006E-5,",0.0019933612655604,1.9933612655604
"0.00324,",0.514555793673376,"5.414837472222222,","0.5148501741239007,","0.1429998276238391,","8.775000000000006E-5,",0.0019536209512756,1.9536209512756
"0.00326,",0.511693998508722,"5.393704435185185,","0.5119879486016925,","0.14973557005517613,","8.950000000000006E-5,",0.001915505047632,1.915505047632
"0.00329,",0.510506572010451,"5.373094898148147,","0.5107911301986999,","0.1499109279848864,","9.125000000000006E-5,",0.0018786732976879,1.8786732976879
"0.00335,",0.513948450090475,"5.352799416666665,","0.5142724007917368,","0.1493955169060177,","9.300000000000007E-5,",0.001843423329332,1.843423329332
"0.00339,",0.514357737169185,"5.333076361111108,","0.5146833410448616,","0.14596365776948567,","9.475000000000007E-5,",0.0018092730886059,1.8092730886059
"0.00343,",0.514839617647221,"5.313921342592593,","0.5151280330917004,","0.1478946062417537,","9.650000000000007E-5,",0.0017764768125332,1.7764768125332
0.00246,0.516201650643748,5.94183026851852,0,0.147142441184206,0.0000549,0.003122792350308,3.122792350308
0.00307,0.515793365556893,5.51742049074074,0,0.14891915082724,0.0000798,0.0021482443245508,2.1482443245508
0.00357,0.510573645483603,5.22900303703704,0,0.148957922719668,0.0001047,0.001637334191062,1.637334191062
0.00406,0.511651051195597,5.01306351851852,0,0.148663424938756,0.0001296,0.0013227513376783,1.3227513376783
0.00451,0.51217995634414,4.84211032407407,0,0.148510084233265,0.0001545,0.0011095902543035,1.1095902543035
0.00496,0.51559474359144,4.7013997962963,0,0.146585416322051,0.0001794,0.000955594060951904,0.955594060951904
0.00531,0.511152536312773,4.58250064814815,0,0.146313490444697,0.0002043,0.000839102177461732,0.839102177461732
0.00567,0.509947772587363,4.47985425,0,0.148940499007791,0.0002292,0.00074795627339552,0.74795627339552
0.00603,0.510322026258051,4.38992908333333,0,0.147480851056019,0.0002541,0.00067465104352213,0.674651043522131
0.00639,0.511763738521859,4.30993690740741,0,0.149804371324805,0.000279,0.000614440148797099,0.614440148797099
0.00669,0.509482529816441,4.23820215740741,0,0.14938746823583,0.0003039,0.000564097451884889,0.564097451884889
0.00701,0.509643748175165,4.1731355462963,0,0.149908823276324,0.0003288,0.000521377605993678,0.521377605993678
0.00732,0.509807160841205,4.11380787962963,0,0.148413133752056,0.0003537,0.000484673567349684,0.484673567349684
0.00763,0.510561018765729,4.0593145,0,0.14562679233359,0.0003786,0.000452800395472185,0.452800395472185
0.00793,0.511128441206036,4.00894336111111,0,0.14868367127878,0.0004035,0.000424861183576009,0.424861183576009
0.00818,0.509012588878621,3.96219175,0,0.148956345941775,0.0004284,0.000400160129315203,0.400160129315203
0.00845,0.508661737904444,3.9186290462963,0,0.149168591071932,0.0004533,0.000378193110509468,0.378193110509468
0.00873,0.509275072696802,3.87783087962963,0,0.147262544232035,0.0004782,0.000358488875644014,0.358488875644014
0.00901,0.5101925785443,3.83953512962963,0,0.146653648348611,0.0005031,0.000340744563494666,0.340744563494666
0.00925,0.509143023186423,3.8034200462963,0,0.146659056078005,0.000528,0.000324675459010572,0.324675459010572
0.00951,0.509519807626935,3.76936244444445,0,0.146619232552209,0.0005529,0.000310055281825528,0.310055281825528
0.00975,0.509082558597624,3.73710334259259,0,0.14683115756899,0.0005778,0.000296691895636214,0.296691895636214
0.00999,0.508882138347435,3.70644587962963,0,0.147826414421415,0.0006027,0.00028443606866901,0.28443606866901
0.01024,0.509387834929842,3.67724656481482,0,0.147172981495783,0.0006276,0.000273149489828231,0.273149489828231
0.01044,0.507649638682663,3.64944927777778,0,0.149051649656852,0.0006525,0.000262726983938708,0.262726983938708
0.01067,0.507610595488798,3.62293925,0,0.147043054244365,0.0006774,0.00025306943895504,0.25306943895504
0.01094,0.509587489995295,3.59754027777778,0,0.147879562070938,0.0007023,0.00024409660931466,0.24409660931466
0.01114,0.508452022696768,3.57322146296296,0,0.14998939544733,0.0007272,0.000235738226590031,0.235738226590031
0.01139,0.509750651153998,3.54989700925926,0,0.149137500225446,0.0007521,0.00022793323298758,0.22793323298758
0.01154,0.506742963297915,3.52748135185185,0,0.149646087332831,0.000777,0.000220628829226667,0.220628829226667
0.01177,0.507436225190808,3.50594701851852,0,0.149542796709204,0.0008019,0.000213778062214477,0.213778062214477
0.01199,0.507779312897975,3.4851532962963,0,0.149572111284579,0.0008268,0.000207340758669788,0.207340758669788
0.01223,0.509047946825364,3.46508308333333,0,0.147146497387705,0.0008517,0.000201278165307291,0.201278165307291
0.01239,0.507130467881331,3.44576572222222,0,0.149588926857661,0.0008766,0.000195560848900583,0.195560848900583
0.01264,0.508973341243728,3.42703424074074,0,0.147839560775226,0.0009015,0.000190159336179911,0.190159336179911
0.01283,0.508509435834993,3.40899541666667,0,0.149044895274545,0.0009264,0.000185049074632023,0.185049074632023
0.01304,0.508915382436292,3.39149289814815,0,0.149314808911123,0.0009513,0.000180205316666966,0.180205316666966
0.00137,0.518135625651766,7.23107774074075,0,0.146331991310724,0.000020417,0.0083963823095906,8.3963823095906
0.00138,0.515651855178729,7.20202385185186,0,0.148515248225158,0.000020834,0.0082285306102041,8.2285306102041
0.00142,0.524326103257362,7.17353291666667,0,0.141394488148829,0.000021251,0.0080668819551744,8.0668819551744
0.00142,0.518314072872896,7.14600797222222,0,0.148536777370756,0.000021668,0.0079116620595052,7.9116620595052
0.00143,0.516087167786186,7.11908574074074,0,0.146362099602539,0.000022085,0.0077623987208264,7.7623987208264
0.00146,0.521030380387821,7.09248711111111,0,0.145423583458654,0.000022502,0.0076188411225831,7.6188411225831
0.00147,0.518848189778158,7.06647563888889,0,0.148173362202465,0.000022919,0.0074797783045599,7.4797783045599
0.00149,0.52035036832767,7.0414954074074,0,0.144533029010805,0.000023336,0.0073461119790053,7.3461119790053
0.00151,0.521788582492111,7.01672493518519,0,0.146295633271033,0.000023753,0.0072172770278898,7.2172770278898
0.00152,0.519843859286903,6.99259136111111,0,0.141803882852718,0.00002417,0.0070926905446743,7.0926905446743
0.00154,0.521306296439241,6.96871251851852,0,0.146831716835212,0.000024587,0.0069723280942157,6.9723280942157
0.00154,0.516161816396159,6.94571130555555,0,0.149727418520587,0.000025004,0.0068560503791918,6.8560503791918
0.00156,0.517653565611698,6.92255774074074,0,0.148732220653361,0.000025421,0.0067438930622557,6.7438930622557
0.00158,0.51929865436957,6.90051781481481,0,0.141816894321644,0.000025838,0.0066348093310302,6.6348093310302
0.00159,0.517626632982788,6.87862125925926,0,0.149936113784111,0.000026255,0.0065297540763769,6.5297540763769
0.00161,0.519198536241417,6.85694472222222,0,0.146365274059158,0.000026672,0.0064275684759771,6.4275684759771
0.00163,0.520812975468509,6.83585508333334,0,0.147911648114277,0.000027089,0.006328669686529,6.328669686529
0.00164,0.519261302151583,6.81514893518518,0,0.145899623644574,0.000027506,0.0062325665266813,6.2325665266813
0.00165,0.517770370499979,6.79483833333334,0,0.148076712358453,0.000027923,0.0061393346914077,6.1393346914077
0.00167,0.519474909125302,6.77502268518519,0,0.148476502103519,0.00002834,0.0060490660265237,6.0490660265237
0.00168,0.518056162894829,6.75539358333333,0,0.146383542989379,0.000028757,0.0059612816160769,5.9612816160769
0.0017,0.519683871685031,6.73583647222222,0,0.149986572365403,0.000029174,0.0058761097540297,5.8761097540297
0.00174,0.519085383458393,6.681248,0,0.142654121002985,0.0000304,0.0056390977683925,5.6390977683925
0.00174,0.515098869209486,6.66410100925926,0,0.147547808982813,0.0000308,0.0055659568965884,5.5659568965884
