phi0,phi,<alpha>,zeta,lindemannParameter,x-link,kT/E_Before_Conversion,kT/E
"0.00253,",0.735253955695492,"6.690226990740743,","0.7362769440140587,","0.14979773589008735,","3.175E-5,",0.0053993356233143,5.3993356233143
"0.00262,",0.737415462185249,"6.6172140555555545,","0.7384661152523034,","0.1454807377576598,","3.35E-5,",0.0051173105916148,5.1173105916148
"0.00267,",0.729056711079182,"6.546403129629627,","0.7300588624648047,","0.1494482094209311,","3.525E-5,",0.0048632239991692,4.8632239991692
"0.00274,",0.726909273738729,"6.480077824074071,","0.7278732869942803,","0.14248613311578578,","3.7000000000000005E-5,",0.0046333766465332,4.6333766465332
"0.00277,",0.715008675898959,"6.4161895740740755,","0.7158557378719496,","0.14573278058590627,","3.875000000000001E-5,",0.0044239790122662,4.4239790122662
"0.00282,",0.709089845554031,"6.35767097222222,","0.7098470937392058,","0.14924831855769807,","4.050000000000001E-5,",0.0042328050388686,4.2328050388686
"0.0029,",0.710995514477861,"6.302406259259254,","0.7118177197414584,","0.1430663967540403,","4.225000000000001E-5,",0.0040575195183773,4.0575195183773
"0.00295,",0.705958248221051,"6.249948046296296,","0.7067948484947745,","0.14525081769173329,","4.400000000000001E-5,",0.0038961117131854,3.8961117131854
"0.00301,",0.703832837338236,"6.20006458333333,","0.7046118358879173,","0.145991796864584,","4.5750000000000014E-5,",0.0037471768110076,3.7471768110076
"0.00306,",0.69977807784604,"6.152822425925924,","0.700481051806082,","0.14904996734928588,","4.7500000000000016E-5,",0.0036090233384049,3.6090233384049
"0.0031,",0.693780900343518,"6.1067378611111165,","0.6945131923806174,","0.14895664470047973,","4.925000000000002E-5,",0.0034811144712785,3.4811144712785
"0.00316,",0.69268686689083,"6.063010509259261,","0.6933906599583185,","0.14795584897098263,","5.100000000000002E-5,",0.0033613584692491,3.3613584692491
"0.00317,",0.681102598005821,"6.019620101851853,","0.6817549650184038,","0.1498295311332103,","5.275000000000002E-5,",0.003249875500003,3.249875500003
"0.00327,",0.689092843530162,"5.981463185185184,","0.6897314435740213,","0.14505237722028208,","5.4500000000000024E-5,",0.003146060187983,3.146060187983
"0.0033,",0.682451731672594,"5.942961629629627,","0.6830887171278761,","0.1497543274709709,","5.6250000000000026E-5,",0.0030476372752559,3.0476372752559
"0.00337,",0.6843057362248,"5.905827268518521,","0.6849766336272223,","0.14674790009777297,","5.800000000000003E-5,",0.0029557290220366,2.9557290220366
"0.00338,",0.674384251029881,"5.869387185185186,","0.6749650219092354,","0.14815700509250637,","5.975000000000003E-5,",0.0028691222855244,2.8691222855244
"0.00346,",0.678558219641361,"5.835828759259264,","0.6791744056999811,","0.1470828410708455,","6.150000000000003E-5,",0.0027874637650564,2.7874637650564
"0.00348,",0.671209656286665,"5.801522324074074,","0.671794100574437,","0.14563986431845347,","6.325000000000003E-5,",0.0027103522180175,2.7103522180175
"0.00354,",0.671807889875825,"5.770261435185188,","0.6723718438985554,","0.14699755659937153,","6.500000000000003E-5,",0.0026373640147288,2.6373640147288
"0.00359,",0.670648560930906,"5.739416768518519,","0.6711799369981817,","0.14881586350715698,","6.675000000000004E-5,",0.0025686010463903,2.5686010463903
"0.0036,",0.662270155528252,"5.708288046296293,","0.6627702479358156,","0.14902465919080607,","6.850000000000004E-5,",0.002502673386611,2.502673386611
"0.00368,",0.666868067185729,"5.679612037037042,","0.6674124266149896,","0.14423799074387136,","7.025000000000004E-5,",0.0024404275768258,2.4404275768258
"0.00372,",0.664343039178352,"5.6514434259259305,","0.6648686017486581,","0.14447766571770945,","7.200000000000004E-5,",0.0023814150819084,2.3814150819084
"0.00375,",0.66024494189985,"5.62364024074074,","0.6607292274482955,","0.14389574761947335,","7.375000000000004E-5,",0.0023244552122839,2.3244552122839
"0.00378,",0.656285393025252,"5.597386222222229,","0.6567955451051648,","0.14993607552710633,","7.550000000000005E-5,",0.0022705861554497,2.2705861554497
"0.00385,",0.659440839937312,"5.572156268518521,","0.659909141646045,","0.1481026654100191,","7.725000000000005E-5,",0.0022191476469719,2.2191476469719
"0.00388,",0.655773757455625,"5.5464892222222275,","0.6562559368417865,","0.14823112987888384,","7.900000000000005E-5,",0.0021700313919676,2.1700313919676
"0.00392,",0.653971751677999,"5.522162407407408,","0.6544445208449728,","0.1498157306790875,","8.075000000000005E-5,",0.0021229623618282,2.1229623618282
"0.00397,",0.653912505611772,"5.498301833333331,","0.6544016052211598,","0.14918451726245244,","8.250000000000005E-5,",0.0020779407817378,2.0779407817378
"0.00399,",0.649097354164492,"5.474567370370372,","0.6495476146071645,","0.14730974793927534,","8.425000000000006E-5,",0.0020347869953257,2.0347869953257
"0.00403,",0.647659647369134,"5.452033731481481,","0.6480942697284058,","0.14864134863412826,","8.600000000000006E-5,",0.0019934423303237,1.9934423303237
"0.00408,",0.647894257853674,"5.43022796296296,","0.6483307093190861,","0.1495872679802781,","8.775000000000006E-5,",0.0019537299480181,1.9537299480181
"0.00411,",0.645085327272186,"5.408617814814815,","0.6454817773886365,","0.14932634356896365,","8.950000000000006E-5,",0.0019154211008313,1.9154211008313
"0.00415,",0.643871122648459,"5.387130870370373,","0.6443112358968662,","0.14689395597365154,","9.125000000000006E-5,",0.0018786769271622,1.8786769271622
"0.00419,",0.642813443619952,"5.367029249999995,","0.643224187552355,","0.14940641316428036,","9.300000000000007E-5,",0.0018433179771189,1.8433179771189
"0.00425,",0.644835188236866,"5.347127879629624,","0.6452523525642081,","0.14827877348258303,","9.475000000000007E-5,",0.0018092734879277,1.8092734879277
"0.00426,",0.639395928029213,"5.327007009259259,","0.6397807938358088,","0.14646590170191773,","9.650000000000007E-5,",0.0017765033589955,1.7765033589955
0.00326,0.683977711083049,5.97216925925925,0.684635920879339,0.149222161011771,0.0000549,0.0031225640356238,3.1225640356238
0.00388,0.651847001671831,5.53440901851852,0.652337443279697,0.146499871010902,0.0000798,0.0021482596799033,2.1482596799033
0.00444,0.6349426773713,5.24042030555555,0.635300277504529,0.146176070116807,0.0001047,0.0016374513605658,1.6374513605658
0.00493,0.621251845331233,5.021478,0.621556737606687,0.145401756014445,0.0001296,0.0013227634160898,1.3227634160898
0.0054,0.613207388223091,4.84869827777778,0.613484997550251,0.147412795855333,0.0001545,0.0011095821085568,1.1095821085568
0.00586,0.609132183938606,4.70681535185185,0.609389055191032,0.144829389459615,0.0001794,0.000955568432239992,0.955568432239992
0.00624,0.600640613165321,4.58693938888889,0.60089496365406,0.14752825348435,0.0002043,0.000839137935253907,0.839137935253907
0.00662,0.595394400741314,4.48367318518519,0.595605356319324,0.145949528313635,0.0002292,0.000748025977696436,0.748025977696436
0.007,0.592392531067396,4.39324402777778,0.592588432224574,0.149508960823995,0.0002541,0.000674650080956088,0.674650080956088
0.00732,0.586248437923397,4.31277635185185,0.586425977199315,0.146400446949218,0.000279,0.000614440286171584,0.614440286171584
0.00769,0.585610703619248,4.24070408333333,0.585787377051098,0.145680727758689,0.0003039,0.000564096481227262,0.564096481227262
0.00801,0.582353571344294,4.17548089814815,0.582501064417869,0.148371764284779,0.0003288,0.000521398186015633,0.521398186015633
0.00828,0.576671305925009,4.11588157407407,0.576805605095134,0.149718667156026,0.0003537,0.000484674993875168,0.484674993875168
0.00864,0.57812639701816,4.06113752777778,0.578266417485885,0.144856189079599,0.0003786,0.000452798354437487,0.452798354437487
0.00892,0.574923244149441,4.01064490740741,0.575058802985875,0.149998566326663,0.0004035,0.000424858867641283,0.424858867641283
0.00918,0.571225731360266,3.9637129537037,0.571357455076084,0.148767177660033,0.0004284,0.000400162504711774,0.400162504711774
0.00947,0.570036784262246,3.92002184259259,0.570169691036908,0.148047524913739,0.0004533,0.00037818715935946,0.37818715935946
0.00975,0.568758980963535,3.87913999074074,0.568887537658718,0.149029712121318,0.0004782,0.000358490018863678,0.358490018863678
0.00998,0.56508926460257,3.84069702777778,0.565220958433599,0.148926494248866,0.0005031,0.000340744535522887,0.340744535522887
0.01028,0.565821609147702,3.80453176851852,0.565951044288579,0.146039105599149,0.000528,0.000324675617085342,0.324675617085342
0.01056,0.565762980966856,3.77044407407408,0.565875929415765,0.149467312235602,0.0005529,0.00031005356522837,0.31005356522837
0.0108,0.563880111395569,3.73807237962963,0.563994192533092,0.148509234727419,0.0005778,0.000296691922035938,0.296691922035938
0.01102,0.561320535435803,3.70734272222222,0.561441246466751,0.147813976347258,0.0006027,0.000284435296771668,0.284435296771668
0.01133,0.563612485751057,3.67818618518519,0.563720446372783,0.147672869111646,0.0006276,0.000273150391419179,0.273150391419179
0.01153,0.560672416977903,3.65035774074074,0.560763689338286,0.146447502031186,0.0006525,0.000262725826449772,0.262725826449772
0.01177,0.559940190182927,3.62377122222222,0.560037988945844,0.149723417356084,0.0006774,0.000253068588231396,0.253068588231396
0.01199,0.558505556878198,3.59835121296296,0.55859673039451,0.149700592570165,0.0007023,0.000244096015418452,0.244096015418452
0.01217,0.555470843863241,3.57395356481482,0.555559977412615,0.147977574721563,0.0007272,0.000235739543874338,0.235739543874338
0.01238,0.554056782836336,3.55059801851852,0.554146062960405,0.149861302313134,0.0007521,0.000227933336962577,0.227933336962577
0.01269,0.557240796095716,3.52817282407407,0.557326858214419,0.147272279363619,0.000777,0.00022063298434754,0.22063298434754
0.0129,0.556132602866203,3.50654739814815,0.556220068797432,0.146020759096909,0.0008019,0.000213782435589235,0.213782435589235
0.01312,0.555633280412765,3.48577268518519,0.55570733597349,0.147183633873608,0.0008268,0.00020733994697379,0.20733994697379
0.01332,0.554424551384925,3.46570140740741,0.55450555570067,0.149559018670438,0.0008517,0.000201278404568677,0.201278404568677
0.01357,0.555418581707807,3.446329,0.555506604299562,0.149198543528424,0.0008766,0.000195560796783102,0.195560796783102
0.01378,0.554889473459699,3.42761462962963,0.554976621781473,0.149782193784434,0.0009015,0.000190160093866784,0.190160093866784
0.01396,0.553299595185205,3.40953672222222,0.553378839713389,0.149658826563268,0.0009264,0.000185048112616849,0.185048112616849
0.01416,0.552625840861937,3.39200739814815,0.552707877586011,0.147053892233234,0.0009513,0.000180205334309378,0.180205334309378
0.00211,0.797334710774691,7.3628275,0.799094373605958,0.145122301747626,0.000020417,0.0083964950933246,8.3964950933246
0.00211,0.787905718573068,7.32524999999999,0.789509343917728,0.148117639548264,0.000020834,0.0082283828103778,8.2283828103778
0.00215,0.793316271471247,7.29831025,0.795017055018964,0.144890569139004,0.000021251,0.0080673289162332,8.0673289162332
0.00216,0.78780959258776,7.26564605555555,0.789503657954337,0.147832098046041,0.000021668,0.007911935909117,7.911935909117
0.00219,0.789776600636143,7.23694727777777,0.791414057118576,0.143381423234347,0.000022085,0.0077642450568304,7.7642450568304
0.00219,0.781024043749832,7.20474525000001,0.782629405224544,0.148999775729873,0.000022502,0.0076206397938529,7.6206397938529
0.0022,0.776084045629987,7.17615717592592,0.777634082265927,0.149373206120337,0.000022919,0.0074797751098597,7.4797751098597
0.00222,0.774836696904669,7.14719532407407,0.776305890214316,0.148383643703488,0.000023336,0.0073477885155728,7.3477885155728
0.00224,0.773580854384764,7.11964937962963,0.775064858831106,0.146620422510351,0.000023753,0.0072179663831311,7.2179663831311
0.00227,0.775800821578372,7.09380078703703,0.777331131406233,0.145012679821272,0.00002417,0.0070930883628433,7.0930883628433
0.00229,0.77471208335206,7.07058062037037,0.776216894051713,0.14886707368068,0.000024587,0.0069723600694117,6.9723600694117
0.0023,0.770399510768512,7.04225667592592,0.771824279294912,0.145694481630058,0.000025004,0.0068560863689918,6.8560863689918
0.00231,0.766110519841615,7.01761081481483,0.767568215755643,0.149378898449058,0.000025421,0.0067475382281365,6.7475382281365
0.00231,0.758815188699763,6.98958581481481,0.76015306296954,0.148248952584111,0.000025838,0.0066350520641092,6.6350520641092
0.00235,0.764572164440452,6.96894349074074,0.765964915985988,0.146213235559692,0.000026255,0.0065294634936802,6.5294634936802
0.00235,0.757524126749901,6.94257725,0.758799224152741,0.147038113909193,0.000026672,0.0064274302499211,6.4274302499211
0.00236,0.753786296175512,6.91838425,0.755008689640076,0.149202992907786,0.000027089,0.0063283851366735,6.3283851366735
0.00238,0.753253163889968,6.89776416666666,0.754501527402042,0.149999594005602,0.000027506,0.0062324458864985,6.2324458864985
0.0024,0.75282555699414,6.87559915740741,0.754044038715091,0.148086752388455,0.000027923,0.0061395995594566,6.1395995594566
0.00241,0.749272222899787,6.85276163888888,0.750519392084742,0.148323400815227,0.00002834,0.006049345892323,6.049345892323
0.00244,0.752095647197646,6.83327195370371,0.753271875042548,0.146338711465769,0.000028757,0.0059615366719263,5.9615366719263
0.00244,0.745695422405491,6.81034746296297,0.746832380415825,0.147966250749078,0.000029174,0.0058760757897293,5.8760757897293
0.0025,0.745484748161558,6.75242266666666,0.746641754597746,0.144937327618533,0.0000304,0.0056393098932909,5.6393098932909
0.00251,0.742730482431784,6.73363960185185,0.74380767855722,0.148021407024121,0.0000308,0.0055677910273664,5.5677910273664
