phi,kT/E
0.49402696,0.0
0.52881759,0.082397004
0.53577572,0.15730337
0.55317104,0.32209738
0.57055635,0.50187266
0.60535698,0.89625468
0.64014761,1.670412
0.67493825,2.494382
0.72016607,3.3333333
0.75147763,3.9925094
0.80018452,4.99262547
0.84193328,5.7003745
0.91151454,6.6741573
0.94630517,7.1385768
0.97413767,7.4082397
1.0019702,7.588015
1.0298027,7.7977528
1.0506771,7.9925094
1.0993839,8.3370787
1.1341746,8.5468165
1.1639652,8.6966292
1.1967977,8.7715356
1.2315883,8.8314607
1.2594209,8.8314607
1.2594209,8.8314607
1.2942115,8.8014981
1.3359602,8.6966292
1.377709,8.5617978
1.4264159,8.3295838
1.489039,7.9925094
1.5307878,7.6928839
1.5934109,7.1385768
1.6421178,6.6741573
1.6908247,6.1797573
1.7325734,5.7153558
1.7951966,5.011236
1.8299872,4.4419476
1.8647778,4.0074906
1.8856522,3.7677903
1.8926103,3.6779026
1.8995685,3.589015
