phi0,phi,<alpha>,zeta,lindemannParameter,x-link,kT/E_Before_Conversion,kT/E
"0.00211,",0.517007735451059,"6.256956851851849,","0.5176501711201321,","0.1466835055119026,","3.175E-5,",0.0053993774072829,5.3993774072829
"0.00219,",0.519748767956115,"6.190722379629632,","0.5203881552140417,","0.14606520601138984,","3.35E-5,",0.0051172727300627,5.1172727300627
"0.00226,",0.520371511920178,"6.1285789907407455,","0.5209928643200803,","0.14749640335797817,","3.525E-5,",0.0048632513537847,4.8632513537847
"0.0023,",0.514620968403215,"6.070312694444447,","0.515145499644817,","0.14843026721126792,","3.7000000000000005E-5,",0.0046332084882753,4.6332084882753
"0.00236,",0.513708241894618,"6.014863851851856,","0.5142504744660611,","0.14878539560264567,","3.875000000000001E-5,",0.0044240468681318,4.4240468681318
"0.00243,",0.515239369464836,"5.962454268518519,","0.5157729966170632,","0.14993660987914498,","4.050000000000001E-5,",0.0042330169222219,4.2330169222219
"0.00249,",0.514844391054194,"5.912659194444442,","0.5153793928187737,","0.14918119094969376,","4.225000000000001E-5,",0.0040574820828556,4.0574820828556
"0.00255,",0.514716324064903,"5.865428657407409,","0.515213993056228,","0.14928086302168342,","4.400000000000001E-5,",0.0038961374818207,3.8961374818207
"0.00261,",0.514781241738205,"5.820377444444448,","0.5152503009850444,","0.14584541364809564,","4.5750000000000014E-5,",0.0037470732863855,3.7470732863855
"0.00269,",0.518825181927796,"5.777143740740741,","0.5193253812125291,","0.14720936577100233,","4.7500000000000016E-5,",0.0036090281241459,3.6090281241459
"0.00275,",0.519118075400905,"5.7358963425925875,","0.5196159293848643,","0.1421231910385856,","4.925000000000002E-5,",0.0034810840087857,3.4810840087857
"0.0028,",0.517721380633888,"5.69642844444444,","0.5182006553174384,","0.14923473257761707,","5.100000000000002E-5,",0.0033613532838992,3.3613532838992
"0.00284,",0.514723606877034,"5.6585909166666655,","0.515172867298176,","0.14748296684580303,","5.275000000000002E-5,",0.0032502186489031,3.2502186489031
"0.00291,",0.517287552403933,"5.622153101851851,","0.5177359284184764,","0.14955829116598668,","5.4500000000000024E-5,",0.0031454948636592,3.1454948636592
"0.00297,",0.51814213644005,"5.587106175925928,","0.5185852242388094,","0.14565191386157744,","5.6250000000000026E-5,",0.0030476192093145,3.0476192093145
"0.00302,",0.517366602004636,"5.553325537037036,","0.5178094344392886,","0.14813149989721877,","5.800000000000003E-5,",0.0029556710961225,2.9556710961225
"0.00305,",0.513393693842112,"5.520851824074074,","0.5138032838737843,","0.1474185445165421,","5.975000000000003E-5,",0.0028691261733155,2.8691261733155
"0.00312,",0.516234107992343,"5.489335287037039,","0.5166650810842522,","0.14735198261582316,","6.150000000000003E-5,",0.0027874660975713,2.7874660975713
"0.00317,",0.515846858447693,"5.458952314814817,","0.5162759952114306,","0.14901560466985386,","6.325000000000003E-5,",0.0027105015871231,2.7105015871231
