phi0,  phi, <alpha>,zeta,  lindemannParameter,    x-link,    kT/E_Before_Conversion,kT/E
0.00299,0.703738878269203,6.212,0.716859095202907,0.144851564791203,0.0000549,0.0031225604996096,3.1225604996096
0.00351,0.666114354905545,5.767,0.673504676558123,0.147093072093408,0.0000798,0.0021482277121374,2.1482277121374
0.004,0.648032497387205,5.465,0.653038819923441,0.144768678586986,0.0001047,0.0016373311502251,1.6373311502251
0.00438,0.62640300861299,5.239,0.629933517649155,0.149406848744256,0.0001296,0.0013227513227513,1.3227513227513
0.0048,0.619174875753724,5.06,0.621941472364209,0.144642967711887,0.0001545,0.0011095700416088,1.1095700416088
0.0052,0.614246643350484,4.912,0.616618911496309,0.147836500749606,0.0001794,0.000955566172957477,0.955566172957477
0.00555,0.607360234364487,4.788,0.609322832939713,0.148745262352469,0.0002043,0.000839102160688064,0.839102160688064
0.00584,0.597327039094567,4.68,0.59893800916888,0.147285625735556,0.0002292,0.000747943156320119,0.747943156320119
0.00619,0.595767558575519,4.586,0.59723672981901,0.149515441641397,0.0002541,0.000674650025299376,0.674650025299376
0.00653,0.5948136513038,4.502,0.596144190361935,0.149247499270191,0.000279,0.000614439324116743,0.614439324116743
0.00682,0.590751930735998,4.427,0.591931161920731,0.148216401139699,0.0003039,0.000564095332111127,0.564095332111127
0.0071,0.587167989984048,4.359,0.588214880108545,0.147891974729321,0.0003288,0.000521376433785193,0.521376433785193
0.00737,0.583861173686463,4.297,0.584820261799016,0.149527387026351,0.0003537,0.000484672240397431,0.484672240397431
0.00766,0.583019950092386,4.24,0.583907292840508,0.145894456703192,0.0003786,0.000452796015395064,0.452796015395064
0.00791,0.579919659880699,4.187,0.580725460398344,0.147892344095363,0.0004035,0.000424853956452469,0.424853956452469
0.00819,0.57963801068744,4.138,0.580421675627249,0.148659718629403,0.0004284,0.00040016006402561,0.40016006402561
0.00845,0.578530514763248,4.092,0.579234709623261,0.144809319772016,0.0004533,0.000378179067788598,0.378179067788598
0.00866,0.574570328717159,4.049,0.57521915555214,0.146071075227502,0.0004782,0.000358487184083169,0.358487184083169
0.00895,0.576327105231743,4.009,0.576975689729544,0.149495403738688,0.0005031,0.000340744526791038,0.340744526791038
0.00914,0.57212852828789,3.971,0.572705487434173,0.147879010052914,0.000528,0.000324675324675325,0.324675324675325
0.00937,0.570857734901111,3.936,0.571412320231681,0.148231781952326,0.0005529,0.000310053484226029,0.310053484226029
