phi0,  phi, <alpha>,zeta,  lindemannParameter,    x-link,    kT/E_Before_Conversion,kT/E,      ,,, , , 
0.00402,0.699332871713391,5.616,0.712123414428472,0.148384447524474,0.0000549,0.0031225604996096,3.1225604996096,,,,,,
0.00474,0.665188020284898,5.215,0.672552648260917,0.147938923322105,0.0000798,0.0021482277121374,2.1482277121374,,,,,,
0.00541,0.648582398075208,4.943,0.653566351554967,0.144394701129775,0.0001047,0.0016373311502251,1.6373311502251,,,,,,
0.00594,0.628943821623213,4.739,0.632535685401387,0.149313569930268,0.0001296,0.0013227513227513,1.3227513227513,,,,,,
0.00647,0.618295780664016,4.578,0.62105886170378,0.147336884532971,0.0001545,0.0011095700416088,1.1095700416088,,,,,,
0.00703,0.615528850974617,4.446,0.617890246161212,0.145317997084931,0.0001794,0.000955566172957477,0.955566172957477,,,,,,
0.00743,0.603012305080474,4.334,0.604916277180952,0.149528604829394,0.0002043,0.000839102160688063,0.839102160688063,,,,,,
0.00795,0.60318368699052,4.237,0.604901500295217,0.148319286396216,0.0002292,0.000747943156320119,0.747943156320119,,,,,,
0.00833,0.595084365133086,4.152,0.596534434120696,0.149652273557716,0.0002541,0.000674650025299376,0.674650025299376,,,,,,
0.00876,0.592511547820827,4.077,0.593819756368346,0.148314282737124,0.000279,0.000614439324116743,0.614439324116743,,,,,,
0.00916,0.5893671091723,4.009,0.590563450342008,0.14980456594411,0.0003039,0.000564095332111127,0.564095332111127,,,,,,
0.00954,0.586278383815689,3.948,0.587317788565742,0.145833434108764,0.0003288,0.000521376433785193,0.521376433785193,,,,,,
0.00994,0.585357922631799,3.892,0.586335774638125,0.148497872507814,0.0003537,0.000484672240397431,0.484672240397431,,,,,,
0.01028,0.581820994366827,3.841,0.582727210880639,0.149764023731294,0.0003786,0.000452796015395064,0.452796015395064,,,,,,
0.01065,0.580804460352658,3.794,0.581632272053298,0.149155405255494,0.0004035,0.000424853956452469,0.424853956452469,,,,,,
0.01097,0.577753878221783,3.75,0.578514504069725,0.149466349793526,0.0004284,0.00040016006402561,0.40016006402561,,,,,,
