phi0,  phi, <alpha>,zeta,  lindemannParameter,,,,      ,,, , , 
0.0011,0.294956411029607,6.61933462962963,0.318517560952962,0.934334340117573,,,,,,,,,
0.0012,0.312003026580425,6.61925680041152,0.347473702857777,1.10818627086056,,,,,,,,,
0.0013,0.335944049048299,6.61956933127572,0.376429844762592,1.04019329650114,,,,,,,,,
0.0014,0.357463999277128,6.61942748971193,0.405385986667406,1.12555741333907,,,,,,,,,
0.0015,0.379512808832385,6.62013221193415,0.434342128572221,1.09162043312964,,,,,,,,,
0.0016,0.408395485991356,6.62205894032922,0.463298270477036,1.05673876581001,,,,,,,,,
0.0017,0.415268143390031,6.62076820987654,0.492254412381851,1.22550413485592,,,,,,,,,
0.0018,0.4357050722297,6.62208889917695,0.521210554286665,1.16939235049609,,,,,,,,,
0.0019,0.449845881173328,6.62140335390947,0.55016669619148,1.23881364629118,,,,,,,,,
0.002,0.468770830840183,6.62150176954733,0.579122838096295,1.28777159047515,,,,,,,,,
0.0021,0.492963717302341,6.62463095679012,0.60807898000111,1.18646939366515,,,,,,,,,
0.0022,0.510776582575003,6.62528888888889,0.637035121905924,1.25987324229364,,,,,,,,,
0.0023,0.537086452443339,6.62714252057613,0.665991263810739,1.21040611503155,,,,,,,,,
0.0024,0.694116980050183,6.66181543209877,0.694947405715554,0.177594173143682,,,,,,,,,
0.0025,0.723061381450692,6.66464427983539,0.723903547620368,0.139095232442519,,,,,,,,,
0.0026,0.751808760722861,6.66963616255144,0.752859689525183,0.119660639549751,,,,,,,,,
0.0027,0.780526672727852,6.67891204732511,0.781815831429998,0.106007138305567,,,,,,,,,
0.0028,0.809078822577434,6.69033173868313,0.810771973334812,0.0921625515918577,,,,,,,,,
0.0029,0.837434283802943,6.70672722222223,0.839728115239627,0.0809126389412964,,,,,,,,,
0.003,0.865472069288812,6.73198723251029,0.868684257144442,0.0727090440783924,,,,,,,,,
0.0031,0.892748344024842,6.76763300411522,0.897640399049257,0.0664244857446061,,,,,,,,,
0.0032,0.918929669595371,6.81830387860082,0.926596540954071,0.062050637058299,,,,,,,,,
0.0033,0.942520585757127,6.88418380658436,0.955552682858886,0.0599786377467432,,,,,,,,,
0.0034,0.96076799150245,6.956945,0.984508824763701,0.0613238913638428,,,,,,,,,
0.0035,0.59261412812488,6.64083905349794,1.01346496666852,1.70129359951237,,,,,,,,,
0.0036,0.572725850710726,6.6188175,1.04242110857333,1.85677235449595,,,,,,,,,
0.0037,0.578307754785114,6.61880382716049,1.07137725047814,1.87699675246364,,,,,,,,,
0.0038,0.577561423136102,6.61908516460905,1.10033339238296,1.82896160174573,,,,,,,,,
0.0039,0.567212601400359,6.61873079218107,1.12928953428777,1.92741017316769,,,,,,,,,
