phi0,  phi, <alpha>,zeta,  lindemannParameter,,,,      ,,, , , 
0.0011,0.330174720606275,7.005,0.378160689557234,1.35495439568402,,,,,,,,,
0.0012,0.353096785194938,7.005,0.412538934062437,1.33897205516421,,,,,,,,,
0.0013,0.374684873936066,7.005,0.44691717856764,1.46006323941901,,,,,,,,,
0.0014,0.399926634270844,7.005,0.481295423072843,1.42062287376933,,,,,,,,,
0.0015,0.413772158462806,7.005,0.515673667578046,1.46877754545506,,,,,,,,,
0.0016,0.435207540941882,7.005,0.550051912083249,1.5365741311126,,,,,,,,,
0.0017,0.458334937435107,7.005,0.584430156588452,1.50840016294622,,,,,,,,,
0.0018,0.480642956168883,7.005,0.618808401093655,1.53905551582243,,,,,,,,,
0.0019,0.495801230721348,7.005,0.653186645598858,1.63592325837347,,,,,,,,,
0.002,0.507336604609144,7.005,0.687564890104061,1.59914619252171,,,,,,,,,
0.0021,0.554568123391313,7.005,0.721943134609264,1.41677046379371,,,,,,,,,
0.0022,0.582552355910757,7.005,0.756321379114467,1.36027974969463,,,,,,,,,
0.0023,0.608179447705217,7.005,0.79069962361967,1.33874804366071,,,,,,,,,
0.0024,0.68487983350204,7.005,0.825077868124873,0.931361255331306,,,,,,,,,
0.0025,0.81354054855072,7.005,0.859456112630076,0.129802033362344,,,,,,,,,
0.0026,0.837597168241685,7.005,0.893834357135279,0.123368497579296,,,,,,,,,
0.0027,0.860588311566636,7.005,0.928212601640482,0.113539640215276,,,,,,,,,
0.0028,0.880415057838679,7.005,0.962590846145685,0.11063371327081,,,,,,,,,
0.0029,0.898384485981469,7.005,0.996969090650888,0.106150816271616,,,,,,,,,
0.003,0.913762473673997,7.005,1.03134733515609,0.104552946392808,,,,,,,,,
0.0031,0.926819060072598,7.005,1.06572557966129,0.104616136484523,,,,,,,,,
0.0032,0.937792007315102,7.005,1.1001038241665,0.1057991155847,,,,,,,,,
0.0033,0.94711118210621,7.005,1.1344820686717,0.105420454854418,,,,,,,,,
0.0034,0.95429660125422,7.005,1.1688603131769,0.107443372175424,,,,,,,,,
0.0035,0.959705278990696,7.005,1.20323855768211,0.115440632290167,,,,,,,,,
0.0036,0.963728308025191,7.005,1.23761680218731,0.118743903362003,,,,,,,,,
0.0037,0.528942573812608,7.005,1.27199504669251,2.08788061526566,,,,,,,,,
0.0038,0.599650628385395,7.005,1.30637329119771,1.87224740847959,,,,,,,,,
0.0039,0.510673941177092,7.005,1.34075153570292,2.24591178444453,,,,,,,,,
0.004,0.558509495969713,7.005,1.37512978020812,2.18475694513661,,,,,,,,,
0.0041,0.492574353391636,7.005,1.40950802471332,2.26778075397443,,,,,,,,,
0.0042,0.509044839826299,7.005,1.44388626921853,2.31578460308903,,,,,,,,,
0.0043,0.487946123039877,7.005,1.47826451372373,2.38832973660465,,,,,,,,,
0.0044,0.492470971101869,7.005,1.51264275822893,2.27607928132182,,,,,,,,,
