phi0,phi,alpha,zeta,lindemannParameter
0.0011,0.29400937302926,6.615,0.318517560952962,1.25213368860122
0.0012,0.313546178031315,6.615,0.347473702857777,1.16945262033243
0.0013,0.334902297028488,6.615,0.376429844762592,1.21871273593337
0.0014,0.352456974807887,6.615,0.405385986667406,1.31379709033043
0.0015,0.377973674627341,6.615,0.434342128572221,1.31341232667313
0.0016,0.399539383738199,6.615,0.463298270477036,1.29873182531373
0.0017,0.416764303189831,6.615,0.492254412381851,1.41898890672568
0.0018,0.428966681833019,6.615,0.521210554286665,1.45672149985185
0.0019,0.457944740911065,6.615,0.55016669619148,1.2840970448873
0.002,0.495553518675673,6.615,0.579122838096295,1.18254730016207
0.0021,0.511242194634551,6.615,0.60807898000111,1.15188653282797
0.0022,0.632574572657449,6.615,0.637035121905924,0.139484472602059
0.0023,0.660902504972186,6.615,0.665991263810739,0.118097057028093
0.0024,0.689159418177938,6.615,0.694947405715554,0.0998028491720422
0.0025,0.717161247841642,6.615,0.723903547620368,0.0848271464825243
0.0026,0.74470433898189,6.615,0.752859689525183,0.0717830064623764
0.0027,0.771723823780401,6.615,0.781815831429998,0.060132990167133
0.0028,0.797764442074831,6.615,0.810771973334812,0.0495690130502057
0.0029,0.822072473995928,6.615,0.839728115239627,0.0418135154296915
0.003,0.844179534800093,6.615,0.868684257144442,0.0364830489041433
0.0031,0.864046339823482,6.615,0.897640399049257,0.0332507059741536
0.0032,0.881876990183464,6.615,0.926596540954071,0.0311159304031132
0.0033,0.897853633467583,6.615,0.955552682858886,0.0297640537091226
0.0034,0.912159292719818,6.615,0.984508824763701,0.0285762544627933
0.0035,0.924817839687203,6.615,1.01346496666852,0.0281127993670303
0.0036,0.935951130167683,6.615,1.04242110857333,0.0278964030601563
0.0037,0.945568348112718,6.615,1.07137725047814,0.0286862240957096
0.0038,0.953779171249409,6.615,1.10033339238296,0.0299281706760167
0.0039,0.9606172034283,6.615,1.12928953428777,0.0323508577111156
