phi0,	phi, alpha, zeta, lindemannParameter
0.0101,-1.209580393578757,7.005,3.472202695025507,0.8817622805332632
0.0102,-1.2828849847839805,7.005,3.50658093953071,0.910401191823002
0.0103,-1.3555920080009176,7.005,3.5409591840359127,0.9104254770852566
0.0104,-1.4244730920757631,7.005,3.575337428541116,0.9102155107895048
0.0105,-1.5021145144895918,7.005,3.609715673046319,0.9186088974956528
0.0106,-1.5752724702993712,7.005,3.644093917551521,0.9463459105192176
0.0107,-1.652275117511012,7.005,3.678472162056724,0.9162472228227306
0.0108,-1.7321485079063723,7.005,3.712850406561927,0.8950587545409094
0.0109,-1.808792693265613,7.005,3.7472286510671298,0.8960819491472017
0.011,-1.892867908258764,7.005,3.7816068955723328,0.9393011964409343
0.0111,-1.9728200190361935,7.005,3.8159851400775353,0.903370151381696
0.0112,-2.0551293730211038,7.005,3.8503633845827374,0.9233668736292538
0.0113,-2.1387361510101086,7.005,3.884741629087941,0.8549399158336793
0.0114,-2.2224798861073656,7.005,3.919119873593144,0.8954388145169067
0.0115,-2.3082973217289275,7.005,3.953498118098347,0.905588924625668
0.0116,-2.3931351147901547,7.005,3.98787636260355,0.936296340030478
0.0117,-2.4823263952771137,7.005,4.022254607108753,0.8773250911810662
0.0118,-2.570206492956926,7.005,4.056632851613955,0.8967320884494494
0.0119,-2.6597375559319403,7.005,4.091011096119158,0.9140526336148485
0.012,-2.7511066780699003,7.005,4.125389340624361,0.882539340544701
0.0121,-2.8472893281957283,7.005,4.159767585129564,0.8952747312225608
0.0122,-2.940230162942149,7.005,4.194145829634767,0.8945016262508424
0.0123,-3.0322262947288983,7.005,4.22852407413997,0.9380246487923972
0.0124,-3.1300193591328123,7.005,4.262902318645172,0.9827179605437508
0.0125,-3.228693315648905,7.005,4.297280563150375,0.9314853773044436
0.0126,-3.319268660095641,7.005,4.331658807655578,0.9254959315712428
0.0127,-3.422059498028031,7.005,4.366037052160781,0.9235341117812692
0.0128,-3.5216298933961614,7.005,4.400415296665984,0.8787654730208437
0.0129,-3.6274218487871104,7.005,4.434793541171187,0.8654073726675245
0.013,-3.72515199232991,7.005,4.469171785676389,0.7849423107367632
0.0131,-3.836776722153233,7.005,4.503550030181592,0.8267744865546047
0.0132,-3.936415912019379,7.005,4.537928274686795,0.8647030894232676
0.0133,-4.040489850295789,7.005,4.572306519191998,0.8649707052927837
0.0134,-4.1448586203947855,7.005,4.606684763697201,0.8482200000443344
0.0135,-4.2537928620242,7.005,4.641063008202403,0.8053233057106838
0.0136,-4.363188771288407,7.005,4.675441252707606,0.8431229166707469
0.0137,-4.472344992896038,7.005,4.709819497212809,0.8106307342736155
0.0138,-4.5851583399025575,7.005,4.744197741718012,0.8039141826536982
0.0139,-4.6980919118434565,7.005,4.778575986223215,0.8697604790251472
0.014,-4.813089716437636,7.005,4.812954230728418,0.7655080764755217
0.0141,-4.929907188615335,7.005,4.84733247523362,0.7879550594867832
0.0142,-5.043187565324777,7.005,4.881710719738823,0.7705359803285361
0.0143,-5.164658861656239,7.005,4.916088964244026,0.8260792970526105
0.0144,-5.280667130427352,7.005,4.950467208749229,0.7927339379718547
0.0145,-5.402677702365209,7.005,4.984845453254432,0.7989499897151702
0.0146,-5.517444143353081,7.005,5.019223697759634,0.7451466134359472
0.0147,-5.641662574507611,7.005,5.053601942264837,0.767306008658826
0.0148,-5.764542490203334,7.005,5.08798018677004,0.7011256271200997
0.0149,-5.893332606342338,7.005,5.122358431275243,0.7207170018049791
0.015,-6.013132279125418,7.005,5.156736675780446,0.6767387093157045
0.0151,-6.148304331269729,7.005,5.191114920285649,0.7607821500920842
0.0152,-6.26765078507604,7.005,5.225493164790851,0.6748916759627747
0.0153,-6.394998274356652,7.005,5.259871409296054,0.6601474375854861
0.0154,-6.528375764009798,7.005,5.294249653801257,0.6849663492735757
0.0155,-6.658622165281615,7.005,5.32862789830646,0.5888455474011428
