#Number of particles: 32
#Initial configuration: FCC
#Dry microgel radius [nm]: 50.0
#Box length [units of drsoftnessy radius]: 28.164093606817637
#Number of monomers: 2916666.666666667
#Number of chains: 875.0
#Flory interaction parameter (chi): 0.0
#Young's calibration factor: 0.1
#x-link fraction: 3.0E-4
#x-link fraction increment: 0.0
#MC steps: 20000
#Equilibration steps: 10000.0
#Snapshot interval: 100
#Displacement tolerance: 0.1
#Particle radius change tolerance: 0.0
#Particle radius bin width: 0.001
#g(r) bin width: 0.005
#phi0,		  phi,			 <alpha>,      		zeta, 	 	 	  lindemannParameter
0.0011, 0.09611959188764621, 4.438, 0.09620460932380907, 0.6026244748265245
0.0012, 0.10483191105473626, 4.438, 0.1049504828987008, 0.6728336191824703
0.0013, 0.11350404454308455, 4.438, 0.11369635647359255, 0.7490663989696342
0.0014, 0.12229468420885689, 4.438, 0.12244223004848429, 0.7167364693224431
0.0015, 0.13094811167552248, 4.438, 0.13118810362337602, 0.7245161903138988
0.0016, 0.13968492425998089, 4.438, 0.13993397719826775, 0.6676358370739879
0.0017, 0.1484387640789021, 4.438, 0.1486798507731595, 0.7003612504757367
0.0018, 0.1571462921347728, 4.438, 0.15742572434805124, 0.7154804001638012
0.0019, 0.1657737519294993, 4.438, 0.16617159792294298, 0.7192468498266338
0.002, 0.17455267817595613, 4.438, 0.1749174714978347, 0.7396703817560298
0.0021, 0.1831746604873825, 4.438, 0.18366334507272644, 0.9076556760091846
0.0022, 0.19193307334273985, 4.438, 0.19240921864761815, 0.6377487943060147
0.0023, 0.2006106800899046, 4.438, 0.20115509222250988, 0.7116575215522929
0.0024, 0.2091680895723565, 4.438, 0.20990096579740158, 0.8319806705807322
0.0025, 0.21799776531682571, 4.438, 0.2186468393722933, 0.8073739860147471
0.0026, 0.2265850177358743, 4.438, 0.22739271294718502, 0.6973752250218994
0.0027, 0.23515874021277205, 4.438, 0.23613858652207673, 0.7787331451450925
0.0028, 0.24382416474588348, 4.438, 0.24488446009696846, 0.8107266498516386
0.0029, 0.25232533150410463, 4.438, 0.25363033367186016, 0.7352242079069833
0.003, 0.2612972472513104, 4.438, 0.26237620724675187, 0.8560274837297189
0.0031, 0.2697881985151098, 4.438, 0.27112208082164363, 0.7841005062607168
0.0032, 0.27845993384272716, 4.438, 0.27986795439653533, 0.8565760394729215
0.0033, 0.2871215422178184, 4.438, 0.28861382797142704, 0.8012394570604605
0.0034, 0.2959225766389142, 4.438, 0.29735970154631874, 0.7619447642413513
0.0035, 0.30433346440761644, 4.438, 0.3061055751212105, 0.7983466650562192
0.0036, 0.31290772071267237, 4.438, 0.3148514486961022, 0.6598877201562661
0.0037, 0.3215855232397031, 4.438, 0.3235973222709939, 0.848096090245335
0.0038, 0.33062027694646756, 4.438, 0.3323431958458856, 0.7791417979735603
0.0039, 0.33876835302327946, 4.438, 0.3410890694207774, 0.7821621362418726
0.004, 0.3473666653291587, 4.438, 0.34983494299566914, 0.7875028686723072
0.0041, 0.35616626973460724, 4.438, 0.3585808165705609, 0.9532630106109803
0.0042, 0.3647397254339122, 4.438, 0.3673266901454526, 0.7103610556129859
0.0043, 0.37309445361268173, 4.438, 0.37607256372034437, 0.7694906694147391
0.0044, 0.38152947146317134, 4.438, 0.3848184372952361, 0.7767385136522534
0.0045, 0.38976395758807514, 4.438, 0.3935643108701279, 0.7469927767519177
0.0046, 0.39839866999718615, 4.438, 0.40231018444501965, 0.8632505663728421
0.0047, 0.40728660790332, 4.438, 0.4110560580199114, 0.6876899992130755
0.0048, 0.4150574097555591, 4.438, 0.41980193159480317, 0.8184369705790994
0.0049, 0.4235809613696356, 4.438, 0.42854780516969493, 0.7253479237953798
0.005, 0.43267223164946167, 4.438, 0.4372936787445867, 0.7866564200644142
0.0051, 0.4411533219511979, 4.438, 0.44603955231947845, 0.756786276338903
0.0052, 0.44946806990235444, 4.438, 0.4547854258943702, 0.8291871239853246
0.0053, 0.45765723408571707, 4.438, 0.46353129946926197, 0.8019386918210049
0.0054, 0.4664576798881288, 4.438, 0.47227717304415373, 0.6831852734396572
0.0055, 0.4743491391636598, 4.438, 0.48102304661904544, 0.731647647589835
0.0056, 0.4832700637118259, 4.438, 0.4897689201939372, 0.7161307846790829
0.0057, 0.49118367354168574, 4.438, 0.49851479376882896, 0.7010791411394638
0.0058, 0.4995726448934338, 4.438, 0.5072606673437208, 0.6699170045163194
